,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-01-03,110.47,119.54,109.62,119.31,110.47,116.9845,0.0,0.0,111.0,119.99,109.37,118.89,1.0,1.0,7527353.0,22307608.0
2017-01-04,110.86,120.19,111.06,119.67,110.86,117.6206,0.0,0.0,111.22,120.41,110.61,119.6561,1.0,1.0,4904119.0,19749074.0
2017-01-05,112.58,120.87,112.16,120.16,112.58,118.2861,0.0,0.0,112.94,120.95,112.07,120.1,1.0,1.0,9606761.0,20644254.0
2017-01-06,111.75,121.93,111.81,120.99,111.75,119.3234,0.0,0.0,112.38,122.25,111.57,120.685,1.0,1.0,7686070.0,24074305.0
2017-01-09,112.67,122.33,112.39,122.03,112.67,119.7149,0.0,0.0,113.0399,122.55,112.18,121.95,1.0,1.0,5674636.0,18909234.0
2017-01-10,113.15,122.6,112.94,122.37,113.15,119.9791,0.0,0.0,113.45,122.97,112.635,122.1,1.0,1.0,6093404.0,16176631.0
2017-01-11,113.5,122.93,112.87,122.63,113.5,120.3021,0.0,0.0,114.19,122.93,112.17,122.02,1.0,1.0,9918689.0,20685983.0
2017-01-12,113.91,122.74,114.52,122.49,113.91,120.1161,0.0,0.0,114.93,122.819,113.805,121.6,1.0,1.0,8457319.0,19622511.0
2017-01-13,114.21,123.16,113.65,122.81,114.21,120.5271,0.0,0.0,114.31,123.37,113.19,122.8,1.0,1.0,7261454.0,16930803.0
2017-01-17,115.85,122.79,115.89,122.79,115.85,120.1651,0.0,0.0,115.96,123.03,115.495,122.4342,1.0,1.0,9142370.0,14538484.0
2017-01-18,114.87,123.04,115.74,122.96,114.87,120.4097,0.0,0.0,115.92,123.16,114.56,122.66,1.0,1.0,6498109.0,12499663.0
