date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2000-10-27,72.62,72.62,72.44,72.44,49.4733,33000,0.0,1.0,OEF
2000-10-30,72.48,73.66,72.48,73.66,50.3065,700,0.0,1.0,OEF
2000-10-31,74.33,74.37,74.33,74.37,50.7914,3200,0.0,1.0,OEF
2000-11-01,75.0,75.33,74.59,74.59,50.9417,1600,0.0,1.0,OEF
2000-11-02,75.39,75.39,75.31,75.31,51.4334,3800,0.0,1.0,OEF
2000-11-03,75.0,75.39,75.0,75.31,51.4334,4000,0.0,1.0,OEF
2000-11-06,75.59,76.05,75.27,75.55,51.5973,16500,0.0,1.0,OEF
2000-11-07,75.17,76.12,75.17,76.09,51.9661,9200,0.0,1.0,OEF
2000-11-08,74.87,74.87,74.56,74.56,50.9212,1100,0.0,1.0,OEF
2000-11-09,74.09,74.09,73.0,73.87,50.4499,3800,0.0,1.0,OEF
2000-11-10,73.0,73.0,72.39,72.39,49.4392,2000,0.0,1.0,OEF
2000-11-13,72.39,72.39,72.39,72.39,49.4392,0,0.0,1.0,OEF
2000-11-14,72.44,72.86,72.44,72.78,49.7055,3500,0.0,1.0,OEF
2000-11-15,73.22,73.81,73.22,73.81,50.4089,4100,0.0,1.0,OEF
2000-11-16,73.0,73.0,72.75,72.75,49.685,1800,0.0,1.0,OEF
2000-11-17,73.03,73.03,72.3,72.3,49.3777,6000,0.0,1.0,OEF
2000-11-20,72.3,72.3,72.3,72.3,49.3777,0,0.0,1.0,OEF
2000-11-21,71.59,71.7,71.53,71.53,48.8518,1100,0.0,1.0,OEF
2000-11-22,70.44,70.5,70.25,70.25,47.9776,6600,0.0,1.0,OEF
2000-11-24,70.25,70.25,70.25,70.25,47.9776,0,0.0,1.0,OEF
2000-11-27,70.25,70.25,70.25,70.25,47.9776,0,0.0,1.0,OEF
2000-11-28,71.87,71.87,71.75,71.75,49.0021,3000,0.0,1.0,OEF
2000-11-29,71.5,71.5,71.5,71.5,48.8313,23400,0.0,1.0,OEF
2000-11-30,70.0,70.0,68.94,68.94,47.083,1100,0.0,1.0,OEF
2000-12-01,70.5,70.5,70.47,70.47,48.1279,600,0.0,1.0,OEF
2000-12-04,69.37,70.56,69.37,70.56,48.1893,16500,0.0,1.0,OEF
2000-12-05,71.37,72.66,71.36,72.66,49.6235,3300,0.0,1.0,OEF
2000-12-06,72.72,72.72,72.72,72.72,49.6645,100,0.0,1.0,OEF
2000-12-07,71.19,71.19,71.19,71.19,48.6196,1000,0.0,1.0,OEF
2000-12-08,72.5,72.95,72.28,72.87,49.767,2700,0.0,1.0,OEF
2000-12-11,73.69,73.69,73.62,73.62,50.2792,2500,0.0,1.0,OEF
2000-12-12,73.62,73.62,73.62,73.62,50.2792,0,0.0,1.0,OEF
2000-12-13,73.59,73.59,72.62,72.62,49.6972,2600,0.1479,1.0,OEF
2000-12-14,71.87,71.87,71.87,71.87,49.184,2900,0.0,1.0,OEF
