date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2000-01-03,148.25,148.25,143.875,145.4375,100.9159,8164300,0.0,1.0,SPY
2000-01-04,143.5312,144.0625,139.6406,139.75,96.9695,8089800,0.0,1.0,SPY
2000-01-05,139.9375,141.5312,137.25,140.0,97.143,12177900,0.0,1.0,SPY
2000-01-06,139.625,141.5,137.75,137.75,95.5818,6227200,0.0,1.0,SPY
2000-01-07,140.3125,145.75,140.0625,145.75,101.1328,8066500,0.0,1.0,SPY
2000-01-10,146.25,146.9062,145.0312,146.25,101.4797,5741700,0.0,1.0,SPY
2000-01-11,145.8125,146.0937,143.5,144.5,100.2654,7503700,0.0,1.0,SPY
2000-01-12,144.5937,144.5937,142.875,143.0625,99.268,6907700,0.0,1.0,SPY
2000-01-13,144.4687,145.75,143.2812,145.0,100.6124,5158300,0.0,1.0,SPY
2000-01-14,146.5312,147.4687,145.9687,146.9687,101.9784,7437300,0.0,1.0,SPY
2000-01-18,145.3437,146.625,145.1875,145.8125,101.1762,6488500,0.0,1.0,SPY
2000-01-19,145.3125,147.0,145.0,147.0,102.0001,6157900,0.0,1.0,SPY
2000-01-20,146.9687,146.9687,143.8125,144.75,100.4389,5800100,0.0,1.0,SPY
2000-01-21,145.5,145.5,144.0625,144.4375,100.2221,6244800,0.0,1.0,SPY
2000-01-24,145.6562,145.8437,139.4062,140.3437,97.3815,7896900,0.0,1.0,SPY
2000-01-25,140.5156,141.9375,139.0,141.9375,98.4874,9942500,0.0,1.0,SPY
2000-01-26,141.0,141.5468,140.0937,140.8125,97.7068,5158100,0.0,1.0,SPY
2000-01-27,141.8437,142.2187,138.125,140.25,97.3165,10922700,0.0,1.0,SPY
2000-01-28,139.4375,140.0625,135.5312,135.875,94.2807,11916200,0.0,1.0,SPY
2000-01-31,135.8125,139.6718,135.0,139.5625,96.8394,10768700,0.0,1.0,SPY
2000-02-01,139.75,141.6875,138.5312,140.9375,97.7935,8419900,0.0,1.0,SPY
2000-02-02,141.2812,142.25,140.375,141.0625,97.8802,6205900,0.0,1.0,SPY
2000-02-03,140.875,143.25,140.0,143.1875,99.3547,7997500,0.0,1.0,SPY
2000-02-04,143.1875,144.0,142.125,142.5937,98.9427,4925400,0.0,1.0,SPY
2000-02-07,142.5625,142.7812,141.4375,142.375,98.7909,5845800,0.0,1.0,SPY
2000-02-08,143.9687,144.5625,143.625,144.3125,100.1353,4936400,0.0,1.0,SPY
2000-02-09,144.4687,144.4687,141.2656,141.2812,98.032,8511500,0.0,1.0,SPY
2000-02-10,141.625,142.5625,140.875,141.5625,98.2272,6690600,0.0,1.0,SPY
2000-02-11,141.8437,141.9375,138.0312,138.6875,96.2323,9849800,0.0,1.0,SPY
