date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,28.79,28.9938,28.01,28.08,28.08,6828642,0.0,1.0
2019-11-29,28.92,29.265,28.66,28.74,28.74,2970843,0.0,1.0
2019-11-27,29.07,29.33,28.7416,28.95,28.95,3387635,0.0,1.0
2019-11-26,28.95,29.07,28.565,29.05,29.05,5941469,0.0,1.0
2019-11-25,28.8,29.18,28.62,28.99,28.99,5174519,0.0,1.0
2019-11-22,28.2,28.72,28.13,28.68,28.68,4827418,0.0,1.0
2019-11-21,28.27,28.48,27.84,27.93,27.93,6071758,0.0,1.0
2019-11-20,29.14,29.24,28.05,28.23,28.23,9937115,0.0,1.0
2019-11-19,28.93,29.38,28.73,29.29,29.29,5966379,0.0,1.0
2019-11-18,28.64,28.89,28.2787,28.6,28.6,5368970,0.0,1.0
2019-11-15,28.95,29.2,28.8,28.86,28.86,4551993,0.0,1.0
2019-11-14,28.75,28.9,28.46,28.77,28.77,4393223,0.0,1.0
2019-11-13,29.03,29.155,28.565,28.66,28.66,7179903,0.0,1.0
2019-11-12,30.58,30.67,29.4,29.52,29.52,8663841,0.0,1.0
2019-11-11,30.54,30.75,30.2,30.59,30.59,4110020,0.0,1.0
2019-11-08,30.72,30.85,29.96,30.76,30.76,6352970,0.0,1.0
2019-11-07,31.21,31.44,30.75,30.89,30.89,6342457,0.0,1.0
2019-11-06,31.17,31.19,30.65,30.96,30.96,4270307,0.0,1.0
2019-11-05,31.0,31.58,30.91,31.18,31.18,5500164,0.1,1.0
2019-11-04,30.71,30.99,30.47,30.95,30.8511,5888649,0.0,1.0
2019-11-01,30.3,30.61,30.015,30.56,30.4623,8270943,0.0,1.0
2019-10-31,30.07,30.21,29.46,30.06,29.9639,8779591,0.0,1.0
2019-10-30,30.77,30.94,29.9349,30.29,30.1932,10356079,0.0,1.0
2019-10-29,31.42,31.49,30.675,30.92,30.8212,6843245,0.0,1.0
2019-10-28,31.0,31.67,31.0,31.36,31.2597,10260157,0.0,1.0
2019-10-25,29.4,30.89,29.3,30.86,30.7613,13835748,0.0,1.0
2019-10-24,29.27,29.85,28.49,29.41,29.316,17963268,0.0,1.0
2019-10-23,28.25,28.4,27.88,28.29,28.1996,8437075,0.0,1.0
2019-10-22,28.5,28.69,27.815,28.26,28.1697,8093942,0.0,1.0
2019-10-21,28.51,28.91,28.425,28.62,28.5285,6746391,0.0,1.0
2019-10-18,27.8,28.32,27.705,28.22,28.1298,5669252,0.0,1.0
2019-10-17,28.31,28.44,27.85,27.93,27.8407,6710008,0.0,1.0
2019-10-16,28.33,28.81,28.03,28.05,27.9603,6373517,0.0,1.0
2019-10-15,27.63,28.3746,27.28,28.27,28.1796,7047547,0.0,1.0
2019-10-14,27.37,27.66,27.14,27.615,27.5267,3190555,0.0,1.0
2019-10-11,27.63,28.02,27.34,27.355,27.2675,7531394,0.0,1.0
2019-10-10,26.68,27.25,26.5,27.18,27.0931,7095959,0.0,1.0
2019-10-09,26.78,27.33,26.69,27.065,26.9785,8191541,0.0,1.0
2019-10-08,25.56,26.8,25.45,26.26,26.176,9049444,0.0,1.0
2019-10-07,25.8,26.06,25.52,25.83,25.7474,5876908,0.0,1.0
