date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,163.95,164.24,160.39,161.06,161.06,1146527,0.0,1.0
2019-11-29,165.09,165.57,163.69,163.86,163.86,705434,0.0,1.0
2019-11-27,163.3,166.26,162.14,165.65,165.65,1378622,0.0,1.0
2019-11-26,163.85,164.22,161.11,162.13,162.13,2035318,0.0,1.0
2019-11-25,160.34,164.22,160.3,163.35,163.35,1905886,0.0,1.0
2019-11-22,160.47,162.65,157.84,158.49,158.49,2274694,0.0,1.0
2019-11-21,165.86,166.58,159.62,161.59,161.59,3498115,0.0,1.0
2019-11-20,176.13,177.15,172.86,173.67,173.67,1131421,0.0,1.0
2019-11-19,177.04,178.0,173.5,175.99,175.99,1284992,0.0,1.0
2019-11-18,177.59,178.17,176.73,177.0,177.0,1064583,0.0,1.0
2019-11-15,178.83,179.95,177.11,177.86,177.86,1570163,0.85,1.0
2019-11-14,175.97,176.97,174.325,176.6,175.76,824109,0.0,1.0
2019-11-13,174.2,177.35,173.14,176.35,175.5112,930489,0.0,1.0
2019-11-12,175.13,176.23,173.65,174.42,173.5904,888868,0.0,1.0
2019-11-11,173.63,175.34,171.46,174.43,173.6004,630955,0.0,1.0
2019-11-08,170.33,174.28,170.33,174.21,173.3814,648901,0.0,1.0
2019-11-07,173.58,174.0,171.52,171.95,171.1322,960518,0.0,1.0
2019-11-06,171.22,172.76,168.33,172.52,171.6994,1397973,0.0,1.0
2019-11-05,174.17,175.32,171.43,171.98,171.162,1715519,0.0,1.0
2019-11-04,174.78,175.43,172.46,174.02,173.1923,1046885,0.0,1.0
2019-11-01,170.13,173.14,169.27,172.42,171.5999,1462541,0.0,1.0
2019-10-31,167.67,170.2484,160.4,169.04,168.236,2595772,0.0,1.0
2019-10-30,171.82,173.94,169.21,172.96,172.1373,1706475,0.0,1.0
2019-10-29,174.1,175.32,170.19,170.28,169.4701,1693582,0.0,1.0
2019-10-28,171.02,175.25,171.02,174.78,173.9487,1580130,0.0,1.0
2019-10-25,167.69,170.29,166.7989,169.94,169.1317,1101685,0.0,1.0
2019-10-24,164.0,168.945,163.46,168.74,167.9374,1838377,0.0,1.0
2019-10-23,161.14,162.22,158.27,158.72,157.9651,1141315,0.0,1.0
2019-10-22,163.88,164.8509,162.34,162.82,162.0456,1235371,0.0,1.0
2019-10-21,160.31,164.29,159.87,164.0,163.22,1776437,0.0,1.0
2019-10-18,160.63,162.02,158.32,159.69,158.9305,1186923,0.0,1.0
2019-10-17,162.71,167.95,161.0375,161.51,160.7418,1614062,0.0,1.0
2019-10-16,160.8,161.97,159.0816,159.64,158.8807,1299884,0.0,1.0
2019-10-15,160.08,163.54,159.58,162.56,161.7868,885626,0.0,1.0
2019-10-14,159.62,160.948,158.31,159.0,158.2437,1140563,0.0,1.0
2019-10-11,160.97,162.49,158.93,160.22,159.4579,1180240,0.0,1.0
2019-10-10,158.02,159.26,156.6,157.4,156.6514,894800,0.0,1.0
2019-10-09,157.17,158.81,156.11,157.48,156.731,1027582,0.0,1.0
2019-10-08,158.76,159.0255,154.33,154.52,153.7851,1485100,0.0,1.0
2019-10-07,160.7,162.68,160.2006,161.05,160.284,975599,0.0,1.0
2019-10-04,157.64,161.29,157.47,161.11,160.3437,1194290,0.0,1.0
2019-10-03,155.47,157.69,153.69,156.96,156.2134,1300268,0.0,1.0
2019-10-02,156.28,157.4972,153.63,155.05,154.3125,1588944,0.0,1.0
2019-10-01,160.79,162.41,157.7292,158.29,157.5371,919702,0.0,1.0
2019-09-30,159.46,160.3,157.65,159.45,158.6916,1139849,0.0,1.0
2019-09-27,160.16,161.32,157.48,158.48,157.7262,1459134,0.0,1.0
2019-09-26,160.88,162.68,159.935,161.95,161.1797,1281045,0.0,1.0
2019-09-25,156.35,160.93,156.17,160.59,159.8262,1232245,0.0,1.0
2019-09-24,159.31,160.55,155.5333,156.5,155.7556,1726008,0.0,1.0
2019-09-23,155.2,158.63,155.2,157.58,156.8305,1122836,0.0,1.0
2019-09-20,158.01,158.54,154.37,155.5,154.7604,3188169,0.0,1.0
2019-09-19,158.61,159.3,156.46,157.22,156.4722,1393878,0.0,1.0
2019-09-18,152.59,158.09,151.7,157.98,157.2286,2735174,0.0,1.0
2019-09-17,153.21,155.78,150.16,152.6,151.8742,2144300,0.0,1.0
2019-09-16,148.76,151.92,148.06,151.19,150.4709,1192212,0.0,1.0
2019-09-13,149.58,151.645,147.8,150.32,149.605,1879788,0.0,1.0
2019-09-12,152.43,152.7662,149.39,149.61,148.8984,2282125,0.0,1.0
2019-09-11,150.0,150.77,148.63,150.65,149.9335,2790205,0.0,1.0
2019-09-10,149.77,149.77,146.06,148.75,148.0425,1885753,0.0,1.0
2019-09-09,151.99,152.76,148.53,150.51,149.7941,2245848,0.0,1.0
2019-09-06,150.85,152.52,150.591,150.98,150.2619,1985381,0.0,1.0
2019-09-05,153.68,155.33,150.92,151.0,150.2818,2581984,0.0,1.0
2019-09-04,151.58,152.0,149.97,150.65,149.9335,1982503,0.0,1.0
