date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,52.4,52.85,52.12,52.84,52.84,5899456,0.0,1.0
2019-11-29,53.1,53.1,52.23,52.54,52.54,4424742,0.0,1.0
2019-11-27,52.73,53.04,52.44,52.73,52.73,5210859,0.0,1.0
2019-11-26,52.1,52.65,51.95,52.62,52.62,7632978,0.0,1.0
2019-11-25,51.85,52.075,51.7,52.04,52.04,5633869,0.0,1.0
2019-11-22,52.31,52.33,51.43,51.8,51.8,3863537,0.0,1.0
2019-11-21,52.26,52.335,51.95,52.07,52.07,3848439,0.0,1.0
2019-11-20,52.67,52.79,52.16,52.41,52.41,4381964,0.0,1.0
2019-11-19,53.03,53.22,52.57,52.71,52.71,4760584,0.0,1.0
2019-11-18,52.63,53.41,52.63,53.08,53.08,5052552,0.0,1.0
2019-11-15,53.06,53.1,52.382,52.82,52.82,5059962,0.0,1.0
2019-11-14,52.74,52.93,52.515,52.9,52.9,5393420,0.0,1.0
2019-11-13,52.08,52.83,51.84,52.7,52.7,5945666,0.0,1.0
2019-11-12,52.05,52.1585,51.84,52.07,52.07,3543996,0.0,1.0
2019-11-11,51.63,51.99,51.63,51.8,51.8,3506460,0.0,1.0
2019-11-08,51.82,51.955,51.51,51.73,51.73,3521328,0.0,1.0
2019-11-07,52.17,52.28,51.6,51.74,51.74,6795642,0.0,1.0
2019-11-06,51.89,52.55,51.77,52.22,52.22,5478372,0.0,1.0
2019-11-05,51.87,51.94,51.42,51.7,51.7,5747604,0.0,1.0
2019-11-04,52.09,52.22,51.5,51.74,51.74,6019171,0.0,1.0
2019-11-01,52.67,52.83,51.95,52.03,52.03,4841887,0.0,1.0
2019-10-31,52.24,52.86,51.99,52.45,52.45,5774650,0.0,1.0
2019-10-30,51.77,52.915,51.26,52.03,52.03,17324084,0.0,1.0
2019-10-29,52.56,53.13,52.28,52.83,52.83,8126687,0.0,1.0
2019-10-28,52.65,53.04,52.24,52.41,52.41,7755674,0.0,1.0
2019-10-25,53.09,53.1225,52.35,52.77,52.77,5964295,0.0,1.0
2019-10-24,52.77,53.06,52.09,53.04,53.04,5617829,0.0,1.0
2019-10-23,52.57,52.95,52.5,52.65,52.65,6607171,0.0,1.0
2019-10-22,53.51,53.85,52.39,52.71,52.71,7944364,0.0,1.0
2019-10-21,54.79,54.82,53.52,53.57,53.57,5798550,0.0,1.0
2019-10-18,54.77,54.87,54.46,54.48,54.48,4721137,0.0,1.0
2019-10-17,54.78,54.86,54.44,54.63,54.63,4722215,0.0,1.0
2019-10-16,54.01,54.4,53.77,54.27,54.27,4980525,0.0,1.0
2019-10-15,54.42,54.59,54.01,54.04,54.04,3848066,0.0,1.0
2019-10-14,54.71,55.16,54.19,54.22,54.22,4584121,0.0,1.0
2019-10-11,55.67,55.69,54.8,54.82,54.82,4812569,0.0,1.0
2019-10-10,54.83,55.74,54.77,55.41,55.41,4424364,0.0,1.0
2019-10-09,55.04,55.13,54.42,54.95,54.95,3475051,0.0,1.0
2019-10-08,54.92,55.2,54.53,54.56,54.56,5224160,0.0,1.0
2019-10-07,55.68,55.81,54.98,55.07,55.07,6134487,0.0,1.0
2019-10-04,54.78,56.06,54.7234,55.98,55.98,5955561,0.0,1.0
2019-10-03,54.23,54.81,53.68,54.52,54.52,5241892,0.0,1.0
2019-10-02,54.52,54.62,53.7768,53.98,53.98,6710859,0.0,1.0
2019-10-01,55.33,55.58,54.61,54.64,54.64,5424849,0.0,1.0
2019-09-30,55.38,55.8236,55.245,55.32,55.32,4473133,0.0,1.0
2019-09-27,55.45,55.62,55.03,55.39,55.39,6598448,0.285,1.0
2019-09-26,55.5,55.8,55.26,55.69,55.4049,4302897,0.0,1.0
2019-09-25,55.1,55.41,54.92,55.19,54.9075,4348118,0.0,1.0
2019-09-24,55.0,55.595,54.73,55.05,54.7682,6349784,0.0,1.0
2019-09-23,54.56,55.09,54.36,54.61,54.3305,4871507,0.0,1.0
2019-09-20,55.02,55.18,54.6,54.65,54.3702,11536696,0.0,1.0
2019-09-19,54.87,55.55,54.6,55.04,54.7583,5063976,0.0,1.0
2019-09-18,54.7,54.7571,53.96,54.72,54.4399,7981098,0.0,1.0
2019-09-17,53.64,55.16,53.5003,54.7,54.42,6714835,0.0,1.0
2019-09-16,53.89,54.29,53.6507,54.05,53.7733,3531200,0.0,1.0
2019-09-13,54.46,54.755,53.79,54.08,53.8032,6183357,0.0,1.0
2019-09-12,54.82,55.58,54.68,54.81,54.5294,5549743,0.0,1.0
2019-09-11,54.31,54.765,54.035,54.51,54.231,5544944,0.0,1.0
2019-09-10,56.02,56.28,53.915,54.33,54.0519,8968595,0.0,1.0
2019-09-09,56.71,56.71,56.21,56.48,56.1909,5781665,0.0,1.0
2019-09-06,56.36,56.72,56.08,56.63,56.3401,4940148,0.0,1.0
2019-09-05,56.4,56.59,56.055,56.14,55.8526,5001354,0.0,1.0
