date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,136.65,136.65,134.44,135.88,135.88,3851469,0.0,1.0
2019-11-29,136.06,136.42,135.26,135.83,135.83,2978437,0.0,1.0
2019-11-27,135.7,136.52,135.33,135.91,135.91,2476283,0.0,1.0
2019-11-26,134.29,135.865,133.8703,135.7,135.7,4947826,0.0,1.0
2019-11-25,134.66,134.78,133.2101,133.83,133.83,3612786,0.0,1.0
2019-11-22,133.92,134.53,133.02,134.07,134.07,3014865,0.0,1.0
2019-11-21,133.43,134.21,133.086,133.91,133.91,3391228,0.0,1.0
2019-11-20,134.31,135.2,133.4,133.74,133.74,3047718,0.0,1.0
2019-11-19,134.65,135.06,134.0692,134.57,134.57,3019092,0.0,1.0
2019-11-18,134.0,135.69,133.91,134.06,134.06,3619873,0.0,1.0
2019-11-15,133.66,133.92,132.8,133.81,133.81,3648701,0.0,1.0
2019-11-14,133.6,133.91,132.73,133.33,133.33,2142100,0.0,1.0
2019-11-13,132.63,133.57,132.01,133.29,133.29,3194724,0.0,1.0
2019-11-12,132.68,132.68,131.59,131.98,131.98,3246698,0.0,1.0
2019-11-11,133.03,133.03,131.965,132.39,132.39,2227544,0.0,1.0
2019-11-08,133.29,134.13,132.57,133.13,133.13,2603954,0.0,1.0
2019-11-07,134.41,134.5,133.12,133.32,133.32,3338757,0.0,1.0
2019-11-06,134.5,134.88,133.55,134.44,134.44,3645614,0.0,1.0
2019-11-05,134.83,135.1001,132.6,134.01,134.01,4300812,0.0,1.0
2019-11-04,136.8,137.1,134.73,135.16,135.16,3202380,0.0,1.0
2019-11-01,137.55,138.34,136.7,136.93,136.93,3054900,0.0,1.0
2019-10-31,136.8,137.53,136.1,137.17,137.17,4492250,0.0,1.0
2019-10-30,135.86,137.285,135.41,136.9,136.9,2653724,0.0,1.0
2019-10-29,136.83,137.12,135.94,136.08,136.08,2550254,0.0,1.0
2019-10-28,136.55,137.55,136.15,136.57,136.57,3089930,0.0,1.0
2019-10-25,137.78,137.92,136.23,136.64,136.64,2520038,0.0,1.0
2019-10-24,137.7,138.11,136.79,137.89,137.89,2311103,0.0,1.0
2019-10-23,136.61,137.5,136.61,137.45,137.45,2332068,0.0,1.0
2019-10-22,136.65,137.35,136.31,136.66,136.66,3395610,0.0,1.0
2019-10-21,136.34,136.74,135.66,136.12,136.12,2829410,0.0,1.0
2019-10-18,137.27,137.37,136.23,136.25,136.25,3488946,0.0,1.0
2019-10-17,137.07,137.6153,136.6,136.96,136.96,2466495,0.0,1.0
2019-10-16,136.14,136.49,135.5756,136.42,136.42,2812979,0.0,1.0
2019-10-15,137.48,137.945,136.16,136.33,136.33,3395335,0.0,1.0
2019-10-14,137.84,138.3,137.24,137.45,137.45,2386269,0.0,1.0
2019-10-11,138.08,138.7,137.09,137.64,137.64,2779534,0.0,1.0
2019-10-10,137.11,138.25,136.64,137.89,137.89,2303335,0.0,1.0
2019-10-09,137.32,138.17,136.83,137.85,137.85,3089472,0.0,1.0
2019-10-08,137.65,138.45,137.08,137.24,137.24,4848087,0.0,1.0
2019-10-07,139.29,139.61,137.97,138.34,138.34,4377580,0.0,1.0
2019-10-04,137.84,140.45,137.62,140.28,140.28,5319752,0.0,1.0
2019-10-03,138.44,139.75,136.5,137.93,137.93,9742607,0.0,1.0
2019-10-02,136.89,137.38,133.485,133.94,133.94,5804773,0.0,1.0
2019-10-01,136.93,137.94,136.09,137.37,137.37,3712057,0.0,1.0
2019-09-30,136.07,137.73,135.87,137.1,137.1,3911466,0.0,1.0
2019-09-27,136.24,136.24,134.67,135.6,135.6,3559446,0.0,1.0
2019-09-26,135.87,136.33,135.01,135.72,135.72,4479586,0.0,1.0
2019-09-25,135.21,135.66,134.51,135.09,135.09,3602062,0.0,1.0
2019-09-24,136.25,136.445,134.58,135.36,135.36,4885280,0.0,1.0
2019-09-23,134.96,135.75,134.96,135.44,135.44,3501488,0.0,1.0
2019-09-20,135.0,135.76,134.48,134.71,134.71,6765445,0.0,1.0
2019-09-19,135.41,135.84,135.08,135.48,135.48,2830949,0.0,1.0
2019-09-18,135.81,135.9999,134.1,135.5,135.5,2695692,0.0,1.0
2019-09-17,134.96,136.31,134.51,135.7,135.7,4026765,0.0,1.0
2019-09-16,136.39,136.5,134.38,134.88,134.88,2953553,0.0,1.0
2019-09-13,136.08,136.95,135.68,136.44,136.44,4008193,0.0,1.0
2019-09-12,136.74,138.29,136.74,137.29,137.29,4146873,0.0,1.0
2019-09-11,135.27,136.79,134.88,136.36,136.36,5005115,0.0,1.0
2019-09-10,135.74,136.515,134.68,135.86,135.86,4175107,0.0,1.0
2019-09-09,136.4,136.68,135.4275,136.4,136.4,4062076,0.0,1.0
2019-09-06,136.93,137.42,136.02,137.37,137.37,3051948,0.0,1.0
2019-09-05,138.8,138.8,135.55,135.98,135.98,4994610,0.955,1.0
2019-09-04,137.81,139.18,137.25,139.15,138.1796,3201744,0.0,1.0
2019-09-03,136.35,137.67,135.88,137.46,136.5013,2989834,0.0,1.0
2019-08-30,136.11,137.11,135.76,136.73,135.7764,3743235,0.0,1.0
2019-08-29,135.61,136.44,134.52,136.02,135.0714,3045711,0.0,1.0
2019-08-28,134.5,135.34,134.28,135.19,134.2472,3939919,0.0,1.0
2019-08-27,134.2,135.3597,133.68,134.76,133.8202,7187846,0.0,1.0
2019-08-26,130.82,133.75,130.586,133.74,132.8073,3954641,0.0,1.0
2019-08-23,132.45,133.35,129.54,130.27,129.3615,4239733,0.0,1.0
2019-08-22,131.75,132.93,131.32,132.66,131.7348,2484691,0.0,1.0
2019-08-21,132.91,133.64,131.6236,132.34,131.417,2936911,0.0,1.0
2019-08-20,132.8,133.1,131.93,132.06,131.139,3160263,0.0,1.0
2019-08-19,132.07,132.85,131.94,132.57,131.6454,3101259,0.0,1.0
2019-08-16,131.42,132.32,130.64,131.76,130.8411,3609658,0.0,1.0
2019-08-15,129.66,131.22,129.4,130.72,129.8083,3782454,0.0,1.0
2019-08-14,129.52,130.53,128.8,129.12,128.2195,6232736,0.0,1.0
2019-08-13,128.28,130.38,127.94,129.93,129.0239,4168535,0.0,1.0
2019-08-12,128.45,129.15,127.87,128.35,127.4549,2920857,0.0,1.0
2019-08-09,129.71,129.74,127.32,128.6,127.7031,2929485,0.0,1.0
2019-08-08,128.1,129.75,127.0005,129.47,128.5671,3702122,0.0,1.0
2019-08-07,126.4,128.34,124.63,127.78,126.8888,6148983,0.0,1.0
2019-08-06,124.78,127.0,124.38,126.45,125.5681,6258660,0.0,1.0
2019-08-05,128.35,129.15,123.88,124.4,123.5324,6192794,0.0,1.0
2019-08-02,127.1,128.82,126.5049,127.92,127.0279,5573338,0.0,1.0
2019-08-01,128.96,129.4,126.77,127.14,126.2533,6199379,0.0,1.0
2019-07-31,130.48,130.48,126.24,127.81,126.9186,5757555,0.0,1.0
2019-07-30,131.34,132.08,130.23,130.48,129.57,3367872,0.0,1.0
2019-07-29,131.5,132.06,131.1755,131.53,130.6127,4533441,0.0,1.0
2019-07-26,129.44,131.42,128.71,131.22,130.3049,4581001,0.0,1.0
2019-07-25,128.63,129.525,128.39,128.99,128.0904,3335188,0.0,1.0
2019-07-24,131.2,131.2,128.62,129.21,128.3089,4669749,0.0,1.0
2019-07-23,131.13,132.24,130.41,130.74,129.8282,4145846,0.0,1.0
2019-07-22,130.49,130.813,129.63,130.28,129.3714,4412036,0.0,1.0
2019-07-19,133.17,133.19,130.01,130.09,129.1827,5022155,0.0,1.0
2019-07-18,132.61,133.2,131.52,132.88,131.9533,3698643,0.0,1.0
2019-07-17,133.92,134.28,132.47,132.78,131.854,4105122,0.0,1.0
2019-07-16,134.08,135.24,133.05,133.8,132.8669,4019662,0.0,1.0
2019-07-15,133.6,134.16,132.55,134.15,133.2144,3077887,0.0,1.0
2019-07-12,134.0,134.43,132.61,133.28,132.3505,4481150,0.0,1.0
2019-07-11,134.21,134.74,133.35,134.35,133.413,3944397,0.0,1.0
2019-07-10,132.4,134.46,131.87,134.41,133.4726,6141500,0.0,1.0
2019-07-09,133.0,133.4,130.72,131.74,130.8212,8233230,0.0,1.0
2019-07-08,133.1,133.39,132.04,132.56,131.6355,5854533,0.0,1.0
2019-07-05,132.89,133.4899,131.55,133.02,132.0923,3356086,0.0,1.0
2019-07-03,132.98,134.09,132.77,133.99,133.0555,2859168,0.0,1.0
2019-07-02,132.09,132.65,131.35,132.43,131.5064,3233403,0.0,1.0
2019-07-01,131.99,132.29,131.07,131.87,130.9503,3548924,0.0,1.0
2019-06-28,132.28,132.41,130.76,131.13,130.2155,6318523,0.0,1.0
2019-06-27,132.25,132.44,131.38,131.69,130.7716,4750934,0.0,1.0
2019-06-26,133.06,133.77,132.3,132.32,131.3972,6024090,0.0,1.0
2019-06-25,133.98,134.48,133.54,133.81,132.8768,4176399,0.0,1.0
2019-06-24,134.65,135.242,133.94,134.14,133.2045,3685771,0.0,1.0
2019-06-21,134.16,134.56,133.63,133.96,133.0257,7696290,0.0,1.0
2019-06-20,133.87,134.45,133.34,134.16,133.2244,3847549,0.0,1.0
2019-06-19,132.06,133.29,131.33,132.85,131.9235,4349918,0.0,1.0
2019-06-18,134.42,134.42,131.8625,132.06,131.139,4378222,0.0,1.0
2019-06-17,132.72,133.235,131.885,132.52,131.5958,2725751,0.0,1.0
2019-06-14,133.01,133.54,132.555,132.73,131.8043,3291805,0.0,1.0
2019-06-13,133.45,133.79,131.85,132.94,132.0129,2851536,0.0,1.0
2019-06-12,134.01,134.44,132.66,133.14,132.2115,3302751,0.0,1.0
2019-06-11,134.06,134.3392,132.69,133.2,132.271,3553620,0.0,1.0
2019-06-10,133.18,133.68,132.36,133.59,132.6583,2957855,0.0,1.0
2019-06-07,132.84,134.71,132.59,133.47,132.5392,6332717,0.0,1.0
2019-06-06,131.08,132.2703,130.56,131.98,131.0596,5527984,0.955,1.0
2019-06-05,129.22,131.605,128.8625,131.39,129.5364,5084169,0.0,1.0
2019-06-04,129.75,129.81,128.02,129.07,127.2491,4242361,0.0,1.0
2019-06-03,127.86,129.155,127.49,128.98,127.1604,3588681,0.0,1.0
2019-05-31,128.0,128.45,126.99,128.0,126.1942,4191171,0.0,1.0
2019-05-30,128.15,128.91,127.78,128.61,126.7956,2710688,0.0,1.0
2019-05-29,127.58,128.31,126.84,128.17,126.3618,5502814,0.0,1.0
2019-05-28,129.5,129.9,127.36,127.63,125.8294,8805969,0.0,1.0
2019-05-24,130.33,130.48,128.96,129.5,127.673,2702733,0.0,1.0
2019-05-23,129.6,130.9,129.51,129.97,128.1364,3901599,0.0,1.0
2019-05-22,129.1,130.64,128.9483,130.07,128.235,3588006,0.0,1.0
2019-05-21,130.58,130.58,128.855,129.05,127.2294,4080776,0.0,1.0
2019-05-20,130.04,130.45,129.55,129.99,128.1561,3965560,0.0,1.0
2019-05-17,129.92,130.87,129.65,130.51,128.6688,4011704,0.0,1.0
2019-05-16,129.37,130.745,128.76,130.27,128.4322,4812909,0.0,1.0
