date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,6.97,6.98,6.88,6.89,6.89,28133490,0.0,1.0
2019-11-29,6.96,7.0,6.88,6.98,6.98,11191655,0.0,1.0
2019-11-27,6.88,6.95,6.88,6.93,6.93,20603715,0.0,1.0
2019-11-26,6.86,6.9,6.8237,6.9,6.9,24802331,0.0,1.0
2019-11-25,6.83,6.88,6.77,6.85,6.85,22622309,0.0,1.0
2019-11-22,7.0,7.0,6.8,6.805,6.805,60460134,0.0,1.0
2019-11-21,6.94,6.97,6.84,6.96,6.96,24245542,0.0,1.0
2019-11-20,6.93,6.97,6.835,6.9,6.9,13479364,0.0,1.0
2019-11-19,6.96,6.99,6.91,6.97,6.97,14484425,0.0,1.0
2019-11-18,6.92,6.97,6.91,6.95,6.95,14965881,0.0,1.0
2019-11-15,6.99,7.0,6.91,6.92,6.92,16344128,0.0,1.0
2019-11-14,6.89,6.99,6.88,6.98,6.98,18932459,0.0,1.0
2019-11-13,6.92,6.98,6.88,6.88,6.88,23208022,0.0,1.0
2019-11-12,6.95,6.98,6.9,6.93,6.93,17860209,0.0,1.0
2019-11-11,6.82,6.99,6.805,6.96,6.96,14044436,0.0,1.0
2019-11-08,6.8,6.88,6.77,6.85,6.85,15188207,0.0,1.0
2019-11-07,6.79,6.8581,6.78,6.8,6.8,17093475,0.0133,1.0
2019-11-06,6.83,6.85,6.76,6.78,6.7668,16716471,0.0,1.0
2019-11-05,6.78,6.88,6.75,6.83,6.8167,16268599,0.0,1.0
2019-11-04,6.85,6.86,6.75,6.77,6.7568,16884875,0.0,1.0
2019-11-01,6.74,6.835,6.72,6.82,6.8067,29940442,0.0,1.0
2019-10-31,6.48,6.75,6.48,6.72,6.7069,38352458,0.0,1.0
2019-10-30,6.4,6.47,6.29,6.47,6.4574,19987100,0.0,1.0
2019-10-29,6.44,6.47,6.35,6.37,6.3576,19939216,0.0,1.0
2019-10-28,6.45,6.49,6.44,6.46,6.4474,11815779,0.0,1.0
2019-10-25,6.44,6.5,6.4,6.44,6.4274,17305661,0.0,1.0
2019-10-24,6.41,6.47,6.32,6.46,6.4474,23866564,0.0,1.0
2019-10-23,6.41,6.47,6.4,6.45,6.4374,12630155,0.0,1.0
2019-10-22,6.42,6.43,6.38,6.4,6.3875,16274552,0.0,1.0
2019-10-21,6.44,6.49,6.37,6.42,6.4075,14247658,0.0,1.0
2019-10-18,6.5,6.5,6.41,6.43,6.4174,13504751,0.0,1.0
2019-10-17,6.47,6.5,6.4025,6.48,6.4673,15217307,0.0,1.0
2019-10-16,6.41,6.48,6.37,6.43,6.4174,16380338,0.0,1.0
2019-10-15,6.34,6.465,6.34,6.435,6.4224,17847700,0.0,1.0
2019-10-14,6.31,6.36,6.25,6.33,6.3176,10815263,0.0,1.0
2019-10-11,6.31,6.375,6.3,6.31,6.2977,14012565,0.0,1.0
2019-10-10,6.23,6.31,6.22,6.25,6.2378,13877760,0.0,1.0
2019-10-09,6.26,6.28,6.19,6.245,6.2328,11386133,0.0,1.0
2019-10-08,6.31,6.32,6.23,6.24,6.2278,17502246,0.0,1.0
2019-10-07,6.36,6.405,6.31,6.33,6.3176,15029251,0.0,1.0
2019-10-04,6.35,6.45,6.35,6.38,6.3675,14727699,0.0,1.0
2019-10-03,6.23,6.37,6.18,6.35,6.3376,21984751,0.0,1.0
2019-10-02,6.18,6.255,6.165,6.23,6.2178,17832545,0.0,1.0
2019-10-01,6.28,6.34,6.17,6.18,6.1679,15153792,0.0,1.0
2019-09-30,6.25,6.27,6.22,6.255,6.2428,12749119,0.0,1.0
2019-09-27,6.29,6.31,6.17,6.205,6.1929,14444353,0.0,1.0
2019-09-26,6.3,6.33,6.22,6.26,6.2478,10511500,0.0,1.0
2019-09-25,6.23,6.34,6.23,6.315,6.3027,12816707,0.0,1.0
2019-09-24,6.36,6.3662,6.22,6.23,6.2178,18699626,0.0,1.0
2019-09-23,6.29,6.33,6.28,6.29,6.2777,13617674,0.0,1.0
2019-09-20,6.36,6.37,6.23,6.26,6.2478,44965245,0.0,1.0
2019-09-19,6.38,6.39,6.33,6.34,6.3276,15744160,0.0,1.0
