date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,98.1,99.05,97.55,98.36,98.36,1747341,0.44,1.0
2019-11-29,98.9,99.88,98.1,98.3,97.8622,900047,0.0,1.0
2019-11-27,99.55,100.13,99.11,99.63,99.1863,991118,0.0,1.0
2019-11-26,100.5,100.705,98.78,99.12,98.6786,2237503,0.0,1.0
2019-11-25,98.5,101.12,98.14,100.82,100.371,2253981,0.0,1.0
2019-11-22,96.9,97.87,96.39,97.84,97.4043,1767997,0.0,1.0
2019-11-21,96.4,97.0,95.58,96.41,95.9806,1478517,0.0,1.0
2019-11-20,95.63,97.65,95.6,96.04,95.6123,2156872,0.0,1.0
2019-11-19,98.08,98.1,95.3,96.61,96.1798,2529436,0.0,1.0
2019-11-18,98.9,99.21,97.17,97.45,97.016,2671306,0.0,1.0
2019-11-15,99.68,100.1,98.54,99.42,98.9772,2687771,0.0,1.0
2019-11-14,100.0,100.42,98.37,98.75,98.3102,2593475,0.0,1.0
2019-11-13,95.6,101.99,95.55,101.14,100.6896,7344547,0.0,1.0
2019-11-12,101.93,102.87,100.43,101.59,101.1376,4361634,0.0,1.0
2019-11-11,100.05,100.56,99.25,100.38,99.933,1519571,0.0,1.0
2019-11-08,98.6,100.81,98.48,100.44,99.9927,1736479,0.0,1.0
2019-11-07,99.2,99.51,97.93,98.64,98.2007,1484702,0.0,1.0
2019-11-06,98.12,98.5599,97.2,98.13,97.693,1486690,0.0,1.0
2019-11-05,98.75,99.95,98.58,98.72,98.2804,1906789,0.0,1.0
2019-11-04,99.14,99.27,98.23,98.48,98.0414,1903279,0.0,1.0
2019-11-01,94.65,98.57,94.59,98.3,97.8622,3874147,0.0,1.0
2019-10-31,90.59,91.06,89.29,91.06,90.6545,1694596,0.0,1.0
2019-10-30,91.52,91.52,89.95,90.97,90.5649,1068384,0.0,1.0
2019-10-29,91.5,91.62,90.5,91.21,90.8038,1212595,0.0,1.0
2019-10-28,90.98,91.94,90.8,91.66,91.2518,1363787,0.0,1.0
2019-10-25,90.01,90.59,89.69,90.06,89.6589,1296319,0.0,1.0
2019-10-24,90.3,90.9,89.07,89.69,89.2906,1595494,0.0,1.0
2019-10-23,87.63,89.66,87.31,89.29,88.8924,1359779,0.0,1.0
2019-10-22,89.65,89.84,88.94,88.96,88.5638,1222081,0.0,1.0
2019-10-21,88.21,90.01,88.2,89.89,89.4897,1676096,0.0,1.0
2019-10-18,87.29,88.27,86.74,87.77,87.3791,2045610,0.0,1.0
2019-10-17,86.5,87.64,85.88,87.55,87.1601,2010849,0.0,1.0
2019-10-16,86.47,86.62,85.23,85.66,85.2785,1374963,0.0,1.0
2019-10-15,85.6,87.08,84.94,86.64,86.2542,1633666,0.0,1.0
2019-10-14,85.1,85.32,84.6,84.98,84.6015,1352562,0.0,1.0
2019-10-11,86.05,86.47,83.61,85.4,85.0197,2576019,0.0,1.0
2019-10-10,83.11,85.49,83.05,84.89,84.5119,2913729,0.0,1.0
2019-10-09,80.1,81.13,79.58,80.71,80.3506,1318190,0.0,1.0
2019-10-08,80.21,80.6,78.93,79.0,78.6482,1829310,0.0,1.0
2019-10-07,80.56,81.71,80.24,80.88,80.5198,1519787,0.0,1.0
2019-10-04,79.0,80.7,78.8,80.645,80.2859,1836363,0.0,1.0
2019-10-03,75.75,77.44,74.42,77.27,76.9259,1498947,0.0,1.0
2019-10-02,76.73,76.9833,75.03,75.43,75.0941,2146602,0.0,1.0
2019-10-01,79.81,81.005,77.35,77.41,77.0653,1977729,0.0,1.0
2019-09-30,78.19,79.335,77.88,79.25,78.8971,1944829,0.0,1.0
2019-09-27,80.09,80.74,77.2,77.47,77.125,2876556,0.0,1.0
2019-09-26,79.7,80.73,79.39,80.36,80.0021,2307898,0.0,1.0
2019-09-25,79.23,81.02,78.81,80.99,80.6293,1282709,0.0,1.0
2019-09-24,80.09,80.74,78.96,79.72,79.365,1608944,0.0,1.0
2019-09-23,79.68,80.97,79.4,79.84,79.4844,1008657,0.0,1.0
2019-09-20,79.85,80.96,79.32,79.75,79.3948,2073584,0.0,1.0
2019-09-19,80.3,81.48,79.23,79.27,78.917,1571069,0.0,1.0
2019-09-18,80.82,80.82,78.87,80.24,79.8827,1415173,0.0,1.0
2019-09-17,81.16,81.6099,79.62,80.95,80.5895,1705799,0.0,1.0
2019-09-16,81.78,82.54,80.61,81.98,81.6149,1341989,0.0,1.0
2019-09-13,82.15,83.11,82.07,82.14,81.7742,1676671,0.0,1.0
2019-09-12,83.87,84.3476,81.74,82.33,81.9633,2024629,0.0,1.0
2019-09-11,81.0,83.5949,80.65,83.51,83.1381,2366631,0.0,1.0
2019-09-10,79.5,80.3,78.59,80.3,79.9424,1344193,0.0,1.0
2019-09-09,80.18,80.8293,79.08,79.72,79.365,1343056,0.0,1.0
2019-09-06,79.28,80.14,79.0,79.87,79.5143,1548321,0.0,1.0
2019-09-05,77.58,79.34,77.56,79.33,78.9767,2298592,0.0,1.0
2019-09-04,75.45,76.28,75.33,76.02,75.6814,1127945,0.0,1.0
2019-09-03,74.86,75.24,73.625,74.17,73.8397,1378527,0.0,1.0
2019-08-30,75.48,75.63,74.31,75.27,74.9348,1254903,0.0,1.0
2019-08-29,74.51,75.53,74.03,74.95,74.6162,1227777,0.0,1.0
2019-08-28,72.33,73.56,71.51,73.37,73.0433,1232316,0.0,1.0
2019-08-27,74.23,74.68,72.8,72.87,72.5455,1405709,0.0,1.0
2019-08-26,74.39,74.49,73.505,73.75,73.4216,1289448,0.44,1.0
2019-08-23,76.16,76.545,73.32,73.55,72.7882,2466369,0.0,1.0
2019-08-22,77.79,78.0,76.5,76.92,76.1233,1088411,0.0,1.0
2019-08-21,78.06,78.19,76.975,77.58,76.7764,1314089,0.0,1.0
2019-08-20,76.49,77.34,76.1,76.74,75.9451,1397159,0.0,1.0
2019-08-19,78.25,78.65,76.9,77.09,76.2915,1261150,0.0,1.0
2019-08-16,76.45,77.02,76.0,76.66,75.866,1571008,0.0,1.0
2019-08-15,76.33,76.47,75.31,75.55,74.7675,1457305,0.0,1.0
2019-08-14,76.51,77.685,75.7248,75.99,75.2029,1914510,0.0,1.0
2019-08-13,75.94,79.73,75.5412,78.44,77.6275,2069954,0.0,1.0
2019-08-12,77.04,77.48,75.88,76.28,75.4899,1868530,0.0,1.0
2019-08-09,79.4,79.6,76.36,77.52,76.7171,2843780,0.0,1.0
2019-08-08,76.74,80.4,75.72,80.27,79.4386,4937473,0.0,1.0
2019-08-07,76.67,79.99,76.58,79.9,79.0724,3364040,0.0,1.0
2019-08-06,76.81,77.86,76.395,77.66,76.8556,2434589,0.0,1.0
2019-08-05,76.86,77.63,75.15,75.82,75.0347,3257640,0.0,1.0
2019-08-02,81.91,82.0,78.79,79.33,78.5083,3396835,0.0,1.0
2019-08-01,85.0,87.7,81.4645,82.77,81.9127,3260424,0.0,1.0
2019-07-31,88.77,88.77,84.5,85.28,84.3967,1600400,0.0,1.0
2019-07-30,86.08,87.83,85.84,87.75,86.8411,1421246,0.0,1.0
2019-07-29,85.98,87.1499,85.38,86.8,85.9009,1246758,0.0,1.0
2019-07-26,86.13,86.36,85.47,85.98,85.0894,974077,0.0,1.0
2019-07-25,86.02,86.17,85.11,85.66,84.7728,1707601,0.0,1.0
2019-07-24,85.0,86.97,84.81,86.35,85.4556,2599339,0.0,1.0
2019-07-23,83.92,84.83,83.47,84.54,83.6644,2090091,0.0,1.0
2019-07-22,81.78,83.41,81.73,83.27,82.4075,1893555,0.0,1.0
2019-07-19,81.85,81.85,81.03,81.32,80.4777,1817078,0.0,1.0
2019-07-18,80.65,81.7767,79.88,81.42,80.5767,2062353,0.0,1.0
2019-07-17,81.99,81.99,80.09,80.17,79.3396,1615170,0.0,1.0
2019-07-16,82.0,82.08,80.93,81.31,80.4678,1612864,0.0,1.0
2019-07-15,81.4,82.34,81.2,82.04,81.1903,1204993,0.0,1.0
2019-07-12,79.34,81.04,79.34,81.01,80.1709,1178768,0.0,1.0
