date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,113.06,113.36,110.93,111.26,111.26,1701859,0.0,1.0
2019-11-29,113.03,114.39,112.44,112.95,112.95,1036675,0.0,1.0
2019-11-27,116.11,116.31,113.03,113.7,113.7,3948863,0.0,1.0
2019-11-26,108.62,115.45,107.51,114.89,114.89,7432903,0.0,1.0
2019-11-25,111.62,113.47,111.32,112.93,112.93,3031509,0.0,1.0
2019-11-22,111.08,111.08,109.14,110.65,110.65,1783561,0.0,1.0
2019-11-21,109.06,109.235,107.85,108.78,108.78,2903049,0.0,1.0
2019-11-20,110.8,110.83,108.22,108.58,108.58,2988293,0.0,1.0
2019-11-19,112.73,113.03,111.57,111.71,111.71,1876162,0.0,1.0
2019-11-18,113.03,113.4,111.7,111.97,111.97,1845257,0.0,1.0
2019-11-15,114.7,114.95,112.59,113.4,113.4,1767396,0.0,1.0
2019-11-14,113.7,113.7,112.54,113.32,113.32,1102241,0.0,1.0
2019-11-13,112.26,114.385,111.91,114.17,114.17,1729378,0.0,1.0
2019-11-12,113.03,114.01,112.74,113.26,113.26,2277128,0.0,1.0
2019-11-11,112.55,112.74,111.42,112.55,112.55,1263530,0.0,1.0
2019-11-08,111.98,113.04,111.1663,113.02,113.02,1123931,0.0,1.0
2019-11-07,113.77,113.82,111.53,112.29,112.29,1139209,0.0,1.0
2019-11-06,113.0,113.22,110.65,112.03,112.03,1676838,0.0,1.0
2019-11-05,111.47,114.43,111.335,113.45,113.45,3043690,0.0,1.0
2019-11-04,111.07,112.26,110.35,111.39,111.39,1696867,0.0,1.0
2019-11-01,107.62,109.92,107.56,109.37,109.37,1991769,0.0,1.0
2019-10-31,107.7,107.7,104.95,106.63,106.63,3847445,0.0,1.0
2019-10-30,110.51,110.99,107.77,108.25,108.25,2543748,0.0,1.0
2019-10-29,109.24,110.12,107.84,108.06,108.06,2766559,0.0,1.0
2019-10-28,107.7,109.078,107.42,108.83,108.83,2072964,0.0,1.0
2019-10-25,105.55,107.03,105.12,106.83,106.83,1867697,0.0,1.0
2019-10-24,106.37,106.675,104.92,105.32,105.32,3053496,0.0,1.0
2019-10-23,107.5,107.75,104.58,105.57,105.57,4596793,0.0,1.0
2019-10-22,111.25,112.24,110.73,110.88,110.88,1664161,0.0,1.0
2019-10-21,110.19,111.48,109.985,111.11,111.11,1327271,0.0,1.0
2019-10-18,110.17,110.43,108.42,109.48,109.48,1428915,0.0,1.0
2019-10-17,111.77,112.26,109.63,110.0,110.0,1494105,0.0,1.0
2019-10-16,112.71,113.25,110.39,110.59,110.59,1963966,0.0,1.0
2019-10-15,110.75,113.41,110.5,113.29,113.29,2629701,0.0,1.0
