date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,35.45,35.62,34.81,34.9,34.9,10065324,0.0,1.0
2019-11-29,35.69,35.855,35.455,35.52,35.52,3128855,0.14,1.0
2019-11-27,35.8,36.02,35.69,35.85,35.7093,7535829,0.0,1.0
2019-11-26,35.675,35.9,35.42,35.75,35.6096,8246489,0.0,1.0
2019-11-25,36.49,36.53,35.34,35.85,35.7093,14172563,0.0,1.0
2019-11-22,34.96,35.23,34.77,35.12,34.9821,6165853,0.0,1.0
2019-11-21,34.92,35.15,34.85,34.94,34.8028,5660379,0.0,1.0
2019-11-20,35.02,35.25,34.74,34.86,34.7231,9520393,0.0,1.0
2019-11-19,35.22,35.41,34.98,35.06,34.9224,5307077,0.0,1.0
2019-11-18,35.14,35.4,35.0,35.1,34.9622,7639316,0.0,1.0
2019-11-15,35.38,35.575,35.185,35.27,35.1315,6301985,0.0,1.0
2019-11-14,34.56,35.095,34.52,34.96,34.8227,6029214,0.0,1.0
2019-11-13,34.85,34.93,34.541,34.64,34.504,6247251,0.0,1.0
2019-11-12,35.29,35.3689,34.97,35.07,34.9323,6182621,0.0,1.0
2019-11-11,35.02,35.305,34.93,35.25,35.1116,3930645,0.0,1.0
2019-11-08,34.74,35.26,34.68,35.14,35.002,10562742,0.0,1.0
2019-11-07,35.51,35.62,34.775,34.89,34.753,10966158,0.0,1.0
2019-11-06,35.63,35.67,35.27,35.5,35.3606,9225831,0.0,1.0
2019-11-05,35.5,35.755,35.31,35.48,35.3407,6434748,0.0,1.0
2019-11-04,35.25,35.5151,35.21,35.41,35.271,7120136,0.0,1.0
2019-11-01,35.5,35.59,35.09,35.25,35.1116,8236505,0.0,1.0
2019-10-31,35.69,35.86,35.13,35.25,35.1116,6921493,0.0,1.0
2019-10-30,36.15,36.19,35.69,35.86,35.7192,5435336,0.0,1.0
2019-10-29,35.9,36.265,35.72,36.11,35.9682,8275441,0.0,1.0
2019-10-28,35.82,36.25,35.82,35.94,35.7989,7900988,0.0,1.0
2019-10-25,35.55,36.0,35.4001,35.84,35.6993,14034397,0.0,1.0
2019-10-24,35.77,36.65,35.19,35.62,35.4802,19671708,0.0,1.0
2019-10-23,38.67,39.33,38.36,39.2,39.0461,7052283,0.0,1.0
2019-10-22,39.23,39.36,38.88,38.94,38.7871,5328739,0.0,1.0
2019-10-21,38.96,39.295,38.915,39.26,39.1059,4786884,0.0,1.0
2019-10-18,39.21,39.35,38.74,38.82,38.6676,6237252,0.0,1.0
2019-10-17,39.16,39.38,38.99,39.09,38.9365,5693739,0.0,1.0
2019-10-16,38.64,39.19,38.59,38.92,38.7672,5319495,0.0,1.0
2019-10-15,38.37,39.04,38.35,38.88,38.7274,4813847,0.0,1.0
2019-10-14,38.54,38.63,38.34,38.36,38.2094,6924194,0.0,1.0
2019-10-11,38.43,38.99,38.43,38.55,38.3987,5067569,0.0,1.0
2019-10-10,37.77,38.26,37.76,37.93,37.7811,7762988,0.0,1.0
2019-10-09,37.62,38.0,37.52,37.85,37.7014,6812376,0.0,1.0
2019-10-08,37.47,37.725,37.23,37.32,37.1735,7170395,0.0,1.0
2019-10-07,38.04,38.1899,37.76,37.82,37.6715,6107767,0.0,1.0
