date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,35.38,36.0,34.89,34.96,34.96,3296556,0.0,1.0
2019-11-29,35.66,35.91,35.43,35.52,35.52,1571970,0.0,1.0
2019-11-27,36.12,36.12,35.55,35.79,35.79,2089255,0.0,1.0
2019-11-26,35.94,36.13,35.79,35.91,35.91,4339510,0.0,1.0
2019-11-25,35.81,36.21,35.67,36.07,36.07,2893527,0.0,1.0
2019-11-22,35.36,35.735,34.95,35.71,35.71,2568769,0.0,1.0
2019-11-21,35.32,35.375,34.915,35.14,35.14,2752305,0.0,1.0
2019-11-20,35.66,35.73,35.05,35.26,35.26,3983493,0.0,1.0
2019-11-19,36.12,36.13,35.69,35.73,35.73,3812884,0.0,1.0
2019-11-18,36.24,36.25,35.66,35.86,35.86,2957748,0.0,1.0
2019-11-15,36.43,36.59,36.085,36.33,36.33,4216221,0.0,1.0
2019-11-14,36.02,36.31,35.73,36.2,36.2,2985192,0.0,1.0
2019-11-13,36.64,36.645,35.97,36.02,36.02,3306949,0.0,1.0
2019-11-12,36.82,37.01,36.57,36.9,36.9,2945497,0.0,1.0
2019-11-11,36.82,36.885,36.56,36.83,36.83,1839677,0.0,1.0
2019-11-08,37.12,37.14,36.83,37.07,37.07,3190259,0.0,1.0
2019-11-07,37.4,37.565,36.79,37.14,37.14,4031130,0.0,1.0
2019-11-06,36.9,37.16,36.475,37.15,37.15,7319857,0.0,1.0
2019-11-05,37.35,37.91,37.01,37.28,37.28,4129088,0.0,1.0
2019-11-04,37.41,37.91,37.18,37.3,37.3,4179840,0.0,1.0
2019-11-01,36.3,37.16,36.2,37.15,37.15,3806764,0.0,1.0
2019-10-31,36.12,36.29,35.47,35.94,35.94,5628971,0.0,1.0
2019-10-30,36.81,36.87,36.01,36.29,36.29,4201275,0.0,1.0
2019-10-29,36.41,36.84,36.37,36.73,36.73,5337293,0.0,1.0
2019-10-28,37.39,37.55,36.69,36.83,36.83,3994687,0.0,1.0
2019-10-25,37.1,37.36,37.04,37.18,37.18,4375803,0.0,1.0
2019-10-24,37.38,37.4973,36.86,37.18,37.18,4267578,0.22,1.0
2019-10-23,37.15,37.8,36.82,37.66,37.4385,5547737,0.0,1.0
