date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,34.96,35.23,34.745,34.815,34.815,1014358,0.0,1.0
2019-11-29,34.9,35.21,34.62,34.98,34.98,528728,0.0,1.0
2019-11-27,35.3,35.39,34.895,35.03,35.03,757250,0.0,1.0
2019-11-26,34.88,35.29,34.78,35.19,35.19,1485605,0.0,1.0
2019-11-25,34.88,35.0,34.5799,34.85,34.85,1108775,0.0,1.0
2019-11-22,34.77,35.17,34.75,34.875,34.875,1140024,0.0,1.0
2019-11-21,35.0,35.43,34.69,34.78,34.78,992110,0.0,1.0
2019-11-20,35.19,35.55,34.9,34.995,34.995,1548949,0.0,1.0
2019-11-19,34.67,35.48,34.47,35.43,35.43,1301555,0.0,1.0
2019-11-18,33.58,34.48,33.55,34.46,34.46,1344346,0.0,1.0
2019-11-15,33.75,33.97,33.39,33.595,33.595,1682434,0.0,1.0
2019-11-14,33.46,33.78,33.28,33.45,33.45,1251312,0.0,1.0
2019-11-13,33.63,33.96,33.47,33.57,33.57,994882,0.0,1.0
2019-11-12,34.21,34.37,33.755,33.81,33.81,995892,0.0,1.0
2019-11-11,34.24,34.33,33.94,34.22,34.22,768824,0.0,1.0
2019-11-08,34.14,34.52,33.91,34.43,34.43,1551508,0.0,1.0
2019-11-07,33.15,34.265,32.74,34.25,34.25,2731812,0.0,1.0
2019-11-06,32.18,32.46,31.67,32.33,32.33,1430337,0.0,1.0
2019-11-05,31.9,32.45,31.9,32.15,32.15,2289616,0.0,1.0
2019-11-04,32.04,32.04,31.73,31.9,31.9,1476123,0.0,1.0
2019-11-01,31.36,31.96,31.18,31.86,31.86,2996985,0.0,1.0
2019-10-31,31.17,31.26,30.9432,31.24,31.24,1531716,0.0,1.0
2019-10-30,31.98,32.06,31.3,31.36,31.36,1198136,0.0,1.0
2019-10-29,32.16,32.21,31.84,32.05,32.05,1129562,0.0,1.0
2019-10-28,31.72,32.66,31.72,32.21,32.21,2133576,0.0,1.0
2019-10-25,31.62,32.06,31.62,31.7,31.7,1282118,0.0,1.0
2019-10-24,32.56,32.73,31.2,31.6,31.6,1456268,0.0,1.0
2019-10-23,32.87,33.01,32.5,32.61,32.61,905060,0.0,1.0
2019-10-22,32.16,32.86,31.9275,32.77,32.77,1523424,0.0,1.0
2019-10-21,31.71,32.155,31.57,32.09,32.09,1581784,0.0,1.0
2019-10-18,31.63,32.07,31.48,31.525,31.525,2453810,0.0,1.0
2019-10-17,31.5,31.72,31.15,31.49,31.49,2047636,0.0,1.0
2019-10-16,31.35,31.59,31.26,31.585,31.585,1160056,0.0,1.0
2019-10-15,31.02,31.51,30.8,31.44,31.44,1148910,0.0,1.0
2019-10-14,31.06,31.13,30.745,31.01,31.01,1178758,0.0,1.0
2019-10-11,30.65,31.48,30.63,31.16,31.16,1571702,0.0,1.0
2019-10-10,30.22,30.53,30.05,30.425,30.425,1167354,0.0,1.0
2019-10-09,30.21,30.41,29.94,30.26,30.26,1147602,0.0,1.0
2019-10-08,30.21,30.21,29.61,30.035,30.035,1234910,0.0,1.0
2019-10-07,30.51,31.04,30.48,30.49,30.49,962561,0.0,1.0
2019-10-04,30.5,30.78,30.34,30.485,30.485,998978,0.0,1.0
2019-10-03,30.25,30.43,29.67,30.39,30.39,1074102,0.0,1.0
2019-10-02,30.99,31.2,30.26,30.31,30.31,1123876,0.0,1.0
2019-10-01,31.7,32.01,31.13,31.18,31.18,880723,0.0,1.0
2019-09-30,31.68,31.85,31.34,31.54,31.54,712092,0.0,1.0
2019-09-27,31.51,31.71,31.13,31.48,31.48,870745,0.0,1.0
2019-09-26,32.06,32.06,31.35,31.47,31.47,1318245,0.0,1.0
2019-09-25,31.48,32.17,31.48,32.0,32.0,1459454,0.0,1.0
2019-09-24,32.32,32.35,31.4,31.53,31.53,1208646,0.0,1.0
2019-09-23,32.16,32.3354,31.88,32.18,32.18,855046,0.0,1.0
2019-09-20,31.89,32.3,31.63,32.08,32.08,1598772,0.0,1.0
2019-09-19,32.57,32.66,31.9,31.97,31.97,635227,0.0,1.0
2019-09-18,32.68,32.84,32.03,32.5,32.5,1212803,0.0,1.0
2019-09-17,33.46,33.46,32.72,32.82,32.82,890641,0.0,1.0
2019-09-16,33.52,33.66,33.35,33.49,33.49,653062,0.0,1.0
2019-09-13,33.68,34.08,33.45,33.71,33.71,938782,0.0,1.0
2019-09-12,34.12,34.12,33.59,33.7,33.7,1159707,0.0,1.0
2019-09-11,34.1,34.23,33.62,33.97,33.97,1073821,0.0,1.0
2019-09-10,33.76,34.42,33.76,34.22,34.22,1421815,0.0,1.0
2019-09-09,33.68,34.02,33.31,33.99,33.99,792534,0.0,1.0
2019-09-06,33.95,34.35,33.73,33.87,33.87,875145,0.0,1.0
2019-09-05,33.52,34.03,33.23,33.91,33.91,965302,0.0,1.0
2019-09-04,32.65,33.26,32.535,33.21,33.21,971059,0.0,1.0
2019-09-03,32.4,32.735,32.16,32.43,32.43,986431,0.23,1.0
2019-08-30,33.27,33.31,32.47,32.8,32.569,1295528,0.0,1.0
2019-08-29,31.78,32.8,31.665,32.45,32.2215,1727754,0.0,1.0
2019-08-28,31.67,31.94,31.33,31.56,31.3377,1001974,0.0,1.0
2019-08-27,31.9,32.05,31.61,31.62,31.3973,1763496,0.0,1.0
2019-08-26,31.67,31.82,31.28,31.71,31.4867,1508608,0.0,1.0
2019-08-23,32.66,32.72,31.33,31.44,31.2186,1475591,0.0,1.0
2019-08-22,33.19,33.34,32.73,32.82,32.5889,1438751,0.0,1.0
2019-08-21,33.47,33.51,32.87,33.15,32.9165,1408738,0.0,1.0
2019-08-20,33.5,33.82,33.25,33.36,33.1251,1711158,0.0,1.0
2019-08-19,33.31,33.9,33.3,33.6,33.3634,1633531,0.0,1.0
2019-08-16,33.09,33.29,32.71,33.01,32.7775,1410314,0.0,1.0
2019-08-15,33.65,34.03,32.71,32.81,32.5789,2016945,0.0,1.0
2019-08-14,34.78,34.78,33.37,33.66,33.423,1372250,0.0,1.0
2019-08-13,34.67,35.53,34.67,35.0,34.7535,1716149,0.0,1.0
2019-08-12,35.28,35.28,34.67,34.81,34.5649,1335099,0.0,1.0
2019-08-09,34.95,35.56,34.88,35.37,35.1209,1337114,0.0,1.0
2019-08-08,37.34,37.34,34.89,35.0,34.7535,3361133,0.0,1.0
2019-08-07,36.05,36.93,35.76,36.79,36.5309,1784859,0.0,1.0
2019-08-06,35.93,36.51,35.85,36.4,36.1437,1536308,0.0,1.0
2019-08-05,36.28,36.48,35.75,36.0,35.7465,2043727,0.0,1.0
2019-08-02,36.84,36.85,36.29,36.56,36.3025,1113369,0.0,1.0
2019-08-01,37.16,37.45,36.69,36.84,36.5806,1757944,0.0,1.0
2019-07-31,37.7,37.7,36.7717,37.2,36.938,1831333,0.0,1.0
2019-07-30,37.5,38.06,37.5,37.85,37.5835,1825475,0.0,1.0
2019-07-29,37.44,37.84,37.34,37.69,37.4246,885755,0.0,1.0
2019-07-26,37.37,38.03,37.33,37.49,37.226,915589,0.0,1.0
2019-07-25,36.91,37.54,36.9,37.43,37.1664,1411803,0.0,1.0
2019-07-24,36.46,37.08,36.44,36.89,36.6302,1233524,0.0,1.0
2019-07-23,36.35,36.75,35.99,36.51,36.2529,2003214,0.0,1.0
2019-07-22,36.47,36.64,36.28,36.32,36.0642,1557766,0.0,1.0
2019-07-19,36.71,36.76,36.2,36.45,36.1933,1934281,0.0,1.0
2019-07-18,36.1,36.76,36.0,36.61,36.3522,3015699,0.0,1.0
2019-07-17,36.62,36.72,36.0934,36.17,35.9153,1892152,0.0,1.0
2019-07-16,37.08,37.11,36.61,36.69,36.4316,1613120,0.0,1.0
