date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,67.25,67.52,65.935,66.12,66.12,5540457,0.0,1.0
2019-11-29,67.04,67.36,66.81,67.24,67.24,2658811,0.0,1.0
2019-11-27,67.28,67.485,66.7,67.12,67.12,4980971,0.0,1.0
2019-11-26,66.68,67.65,66.68,67.28,67.28,6931471,0.0,1.0
2019-11-25,65.55,67.28,65.49,67.22,67.22,7493928,0.0,1.0
2019-11-22,65.79,65.94,65.19,65.26,65.26,4589261,0.0,1.0
2019-11-21,65.1,65.8,64.51,65.73,65.73,5392021,0.0,1.0
2019-11-20,64.78,65.3,64.48,64.88,64.88,7637912,0.0,1.0
2019-11-19,64.73,65.05,64.5,65.0,65.0,6135134,0.0,1.0
2019-11-18,64.88,65.17,63.72,64.29,64.29,6165734,0.0,1.0
2019-11-15,64.16,65.22,64.0,65.07,65.07,6908607,0.0,1.0
2019-11-14,63.23,64.0,62.38,63.81,63.81,7548288,0.0,1.0
2019-11-13,64.15,64.15,63.1,63.33,63.33,4576594,0.0,1.0
2019-11-12,64.56,64.86,64.15,64.32,64.32,4243339,0.0,1.0
2019-11-11,65.02,65.15,64.329,64.64,64.64,3696404,0.0,1.0
2019-11-08,63.53,65.52,63.52,65.38,65.38,4953194,0.0,1.0
2019-11-07,65.02,65.17,63.44,63.96,63.96,7746046,0.0,1.0
2019-11-06,65.63,66.17,65.07,65.41,65.41,6010492,0.0,1.0
2019-11-05,65.41,66.27,65.19,65.39,65.39,6599117,0.0,1.0
2019-11-04,65.16,65.4834,64.03,65.21,65.21,7008716,0.0,1.0
2019-11-01,63.97,64.99,63.76,64.66,64.66,4956821,0.0,1.0
2019-10-31,62.91,63.82,62.74,63.71,63.71,6438062,0.0,1.0
2019-10-30,63.45,63.6,62.67,63.15,63.15,6289188,0.0,1.0
2019-10-29,64.0,64.0,63.25,63.45,63.45,5534229,0.0,1.0
2019-10-28,63.63,63.945,62.78,63.73,63.73,7679718,0.0,1.0
2019-10-25,63.0,64.27,62.52,63.32,63.32,12014712,0.0,1.0
2019-10-24,66.75,66.75,65.625,66.0,66.0,5602506,0.0,1.0
2019-10-23,65.72,66.65,65.53,66.58,66.58,6094254,0.0,1.0
2019-10-22,65.71,66.59,65.67,65.86,65.86,6084316,0.0,1.0
2019-10-21,64.94,65.37,64.8,65.21,65.21,3737043,0.0,1.0
2019-10-18,65.4,65.45,64.2,64.91,64.91,8709961,0.0,1.0
2019-10-17,65.3,65.685,64.78,65.23,65.23,4689297,0.0,1.0
2019-10-16,65.06,65.875,65.0,65.35,65.35,4861533,0.0,1.0
2019-10-15,64.83,65.74,64.61,65.3,65.3,5730401,0.0,1.0
2019-10-14,63.83,65.02,63.83,64.51,64.51,4558996,0.0,1.0
2019-10-11,63.95,64.49,63.67,63.99,63.99,5650620,0.0,1.0
2019-10-10,62.12,63.405,62.0,63.26,63.26,5847015,0.0,1.0
2019-10-09,62.29,62.43,61.76,61.98,61.98,3655779,0.0,1.0
2019-10-08,62.33,62.49,61.37,61.69,61.69,4641075,0.0,1.0
2019-10-07,62.55,63.58,62.28,62.73,62.73,6049800,0.0,1.0
2019-10-04,62.45,62.72,61.92,62.56,62.56,5195798,0.0,1.0
2019-10-03,61.74,62.34,60.89,62.23,62.23,6544306,0.0,1.0
2019-10-02,62.94,62.94,61.52,61.62,61.62,6656097,0.0,1.0
2019-10-01,63.6,64.33,62.96,63.22,63.22,4904759,0.0,1.0
2019-09-30,63.0,63.805,62.86,63.38,63.38,8660980,0.0,1.0
2019-09-27,63.57,63.92,62.57,62.9,62.9,7411390,0.0,1.0
2019-09-26,64.42,64.42,63.09,63.3,63.3,6508116,0.0,1.0
2019-09-25,64.5,64.84,64.02,64.2,64.2,4950634,0.0,1.0
2019-09-24,65.99,66.025,64.24,64.56,64.56,5875501,0.0,1.0
2019-09-23,66.25,66.33,64.88,65.73,65.73,5566567,0.0,1.0
2019-09-20,65.89,67.015,65.89,66.42,66.42,9775357,0.0,1.0
2019-09-19,65.85,66.44,65.64,65.96,65.96,4199770,0.0,1.0
2019-09-18,66.01,66.15,65.11,65.72,65.72,4349705,0.0,1.0
2019-09-17,65.9,66.24,65.28,66.17,66.17,4830276,0.0,1.0
