date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,102.6,102.72,100.07,100.49,100.49,1124183,0.0,1.0
2019-11-29,102.17,102.62,101.19,101.7,101.7,652332,0.0,1.0
2019-11-27,101.0,102.7,100.5,101.93,101.93,1269416,0.0,1.0
2019-11-26,99.96,100.96,98.68,100.44,100.44,2623607,0.0,1.0
2019-11-25,98.5,99.94,98.21,99.19,99.19,2049794,0.0,1.0
2019-11-22,95.9,96.92,95.56,96.12,96.12,1266706,0.0,1.0
2019-11-21,94.96,96.815,94.42,95.42,95.42,1736864,0.0,1.0
2019-11-20,95.11,95.55,94.0,94.91,94.91,1445867,0.0,1.0
2019-11-19,95.7,95.74,95.1,95.25,95.25,1168223,0.0,1.0
2019-11-18,95.02,95.76,94.545,95.36,95.36,1538893,0.0,1.0
2019-11-15,95.6,96.19,95.03,95.41,95.41,1272490,0.0,1.0
2019-11-14,94.0,95.425,93.5101,95.33,95.33,1011896,0.0,1.0
2019-11-13,94.33,94.68,93.8332,94.0,94.0,1152489,0.0,1.0
2019-11-12,95.73,95.9,94.0,94.4,94.4,1338261,0.0,1.0
2019-11-11,95.13,95.99,94.81,95.51,95.51,728101,0.0,1.0
2019-11-08,95.54,96.0,94.36,95.53,95.53,1989752,0.0,1.0
2019-11-07,95.66,96.67,94.77,95.21,95.21,1950851,0.0,1.0
2019-11-06,93.34,95.67,92.59,94.86,94.86,8408657,0.0,1.0
2019-11-05,96.07,99.24,95.78,95.79,95.79,2396925,0.0,1.0
2019-11-04,96.58,98.26,96.3038,97.7,97.7,901954,0.0,1.0
2019-11-01,97.79,98.06,96.29,96.44,96.44,1098137,0.0,1.0
2019-10-31,98.43,98.94,96.8,97.31,97.31,1150111,0.68,1.0
2019-10-30,98.22,99.4,97.16,99.29,98.601,1366544,0.0,1.0
2019-10-29,96.16,98.98,95.64,98.64,97.9555,2562717,0.0,1.0
2019-10-28,96.26,97.26,96.1535,96.64,95.9694,1520434,0.0,1.0
2019-10-25,96.15,96.3865,94.19,96.01,95.3437,2250174,0.0,1.0
2019-10-24,99.29,99.51,95.604,96.16,95.4927,2433627,0.0,1.0
2019-10-23,100.15,101.75,98.055,99.4,98.7102,3211851,0.0,1.0
2019-10-22,101.01,104.95,98.8501,100.02,99.3259,6950781,0.0,1.0
2019-10-21,122.93,122.93,119.4,120.16,119.3262,2064554,0.0,1.0
2019-10-18,122.3,123.05,121.525,121.96,121.1137,911320,0.0,1.0
2019-10-17,122.34,122.97,121.58,122.39,121.5407,802442,0.0,1.0
2019-10-16,121.49,122.58,121.11,121.99,121.1435,647356,0.0,1.0
2019-10-15,121.6,122.48,121.35,121.96,121.1137,546760,0.0,1.0
2019-10-14,120.67,121.64,120.2073,120.9,120.061,509110,0.0,1.0
2019-10-11,120.47,122.1,120.03,121.29,120.4483,611865,0.0,1.0
2019-10-10,118.17,119.7,117.54,119.45,118.6211,625801,0.0,1.0
2019-10-09,117.35,118.89,117.02,118.16,117.34,545107,0.0,1.0
2019-10-08,117.02,118.1,116.65,116.69,115.8802,604025,0.0,1.0
2019-10-07,117.8,118.2,116.5,117.66,116.8435,435935,0.0,1.0
2019-10-04,116.43,118.4729,116.43,118.24,117.4195,513067,0.0,1.0
2019-10-03,115.01,116.6,113.94,116.6,115.7909,497812,0.0,1.0
