date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,30.5,30.955,30.33,30.95,30.95,5777976,0.0,1.0
2019-11-29,30.32,30.56,30.16,30.5,30.5,2442201,0.0,1.0
2019-11-27,30.71,30.85,30.325,30.37,30.37,4408966,0.0,1.0
2019-11-26,31.2,31.25,30.28,30.47,30.47,8847558,0.0,1.0
2019-11-25,30.62,31.13,30.395,31.06,31.06,7148662,0.0,1.0
2019-11-22,30.35,30.64,30.22,30.54,30.54,4664783,0.0,1.0
2019-11-21,31.0,31.0,30.16,30.24,30.24,8815514,0.0,1.0
2019-11-20,31.15,31.44,30.96,31.09,31.09,5271944,0.0,1.0
2019-11-19,31.11,31.4933,31.03,31.3,31.3,6661560,0.0,1.0
2019-11-18,31.24,31.3,30.41,31.01,31.01,7257462,0.0,1.0
2019-11-15,30.96,31.5,30.92,31.3,31.3,6952626,0.0,1.0
2019-11-14,32.49,32.49,30.61,30.96,30.96,14511454,0.4,1.0
2019-11-13,32.87,33.42,32.715,33.3,32.8753,5240869,0.0,1.0
2019-11-12,32.71,33.22,32.58,32.98,32.5593,5993295,0.0,1.0
2019-11-11,32.89,32.89,32.575,32.76,32.3421,3764691,0.0,1.0
2019-11-08,32.76,32.91,32.5,32.85,32.431,4423761,0.0,1.0
2019-11-07,33.17,33.25,32.48,32.72,32.3027,5570181,0.0,1.0
2019-11-06,33.14,33.43,32.97,33.14,32.7173,7070337,0.0,1.0
2019-11-05,33.29,33.29,32.38,32.91,32.4902,7719853,0.0,1.0
2019-11-04,32.9,33.41,32.74,33.33,32.9049,9696386,0.0,1.0
2019-11-01,32.12,33.38,32.12,32.61,32.1941,15048818,0.0,1.0
2019-10-31,30.09,32.463,28.5,32.33,31.9176,38732497,0.0,1.0
2019-10-30,28.1,28.68,27.94,28.5,28.1365,9601502,0.0,1.0
2019-10-29,28.37,28.4,28.035,28.14,27.7811,6071255,0.0,1.0
2019-10-28,28.36,28.48,28.13,28.37,28.0081,5498453,0.0,1.0
2019-10-25,28.42,28.585,28.21,28.38,28.018,3981699,0.0,1.0
2019-10-24,28.63,28.6308,28.12,28.45,28.0871,5087502,0.0,1.0
2019-10-23,28.47,28.61,28.07,28.61,28.2451,6895601,0.0,1.0
2019-10-22,27.83,28.57,27.53,28.5,28.1365,6061407,0.0,1.0
2019-10-21,27.61,28.02,27.41,27.81,27.4553,5091697,0.0,1.0
2019-10-18,27.83,28.165,27.6,27.61,27.2578,5433573,0.0,1.0
2019-10-17,27.5,27.82,27.28,27.77,27.4158,4348824,0.0,1.0
2019-10-16,27.52,27.82,27.385,27.44,27.09,4088432,0.0,1.0
2019-10-15,27.3,27.62,27.103,27.49,27.1394,5055635,0.0,1.0
2019-10-14,27.08,27.395,26.785,27.32,26.9715,4051597,0.0,1.0
2019-10-11,27.03,27.32,26.97,27.08,26.7346,9313817,0.0,1.0
2019-10-10,26.79,27.0666,26.715,26.94,26.5964,3676775,0.0,1.0
2019-10-09,26.87,26.92,26.5352,26.73,26.3891,3813940,0.0,1.0
2019-10-08,26.88,27.0,26.53,26.71,26.3693,5636490,0.0,1.0
2019-10-07,27.03,27.185,26.72,26.94,26.5964,4209546,0.0,1.0
