date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,315.94,316.9906,312.44,313.77,313.77,605456,0.0,1.0
2019-11-29,313.05,319.07,311.8,315.32,315.32,801321,0.0,1.0
2019-11-27,312.14,320.0,305.5,319.24,319.24,1021294,0.0,1.0
2019-11-26,303.61,315.98,301.94,314.51,314.51,1264687,0.0,1.0
2019-11-25,305.0,305.01,298.98,304.59,304.59,1334548,0.0,1.0
2019-11-22,298.38,311.77,298.38,310.4,310.4,1296908,0.0,1.0
2019-11-21,295.0,305.49,288.665,294.39,294.39,1453254,0.0,1.0
2019-11-20,285.0,289.43,283.56,287.81,287.81,620394,0.0,1.0
2019-11-19,292.11,292.54,285.83,288.5,288.5,524922,0.0,1.0
2019-11-18,290.36,292.5287,288.0,290.24,290.24,325791,0.0,1.0
2019-11-15,291.75,294.71,290.43,291.23,291.23,272257,0.0,1.0
2019-11-14,295.66,295.66,287.22,289.68,289.68,450422,0.0,1.0
2019-11-13,290.9,296.725,290.13,295.01,295.01,472622,0.0,1.0
2019-11-12,298.02,298.49,294.0,296.48,296.48,356358,0.0,1.0
2019-11-11,297.33,297.33,292.69,295.27,295.27,309165,0.0,1.0
2019-11-08,298.5,299.5,295.65,299.04,299.04,234803,0.0,1.0
2019-11-07,301.69,303.95,298.36,300.13,300.13,433798,0.0,1.0
2019-11-06,294.42,303.029,292.68,299.31,299.31,633848,0.0,1.0
2019-11-05,308.5,309.01,293.14,294.04,294.04,886115,0.0,1.0
2019-11-04,298.23,309.24,298.23,307.72,307.72,1111793,0.0,1.0
2019-11-01,288.0,292.96,285.37,289.54,289.54,516469,0.0,1.0
2019-10-31,286.18,287.99,282.7,285.86,285.86,467522,0.0,1.0
2019-10-30,284.12,286.64,281.21,286.14,286.14,366109,0.0,1.0
2019-10-29,283.14,284.56,279.75,283.31,283.31,391167,0.0,1.0
2019-10-28,282.16,287.78,280.41,283.67,283.67,406896,0.0,1.0
2019-10-25,282.88,285.8,279.8,281.16,281.16,666882,0.0,1.0
2019-10-24,273.4,285.985,272.75,282.88,282.88,777319,0.0,1.0
2019-10-23,272.63,274.8606,268.98,270.85,270.85,892538,0.0,1.0
2019-10-22,283.23,285.19,272.895,274.26,274.26,773703,0.0,1.0
2019-10-21,290.11,290.997,280.98,281.38,281.38,554093,0.0,1.0
2019-10-18,288.97,291.31,284.8525,286.03,286.03,657761,0.0,1.0
2019-10-17,294.07,295.0,286.51,288.85,288.85,707878,0.0,1.0
2019-10-16,284.3,295.0,283.19,294.77,294.77,1405636,0.0,1.0
2019-10-15,277.42,287.0,277.25,286.29,286.29,1178045,0.0,1.0
2019-10-14,266.44,279.4144,265.5,276.59,276.59,795701,0.0,1.0
2019-10-11,263.88,274.2,262.0,268.79,268.79,812586,0.0,1.0
2019-10-10,257.34,261.29,255.42,258.96,258.96,551553,0.0,1.0
2019-10-09,255.72,258.38,253.755,256.41,256.41,450996,0.0,1.0
2019-10-08,260.75,261.88,252.94,254.64,254.64,815621,0.0,1.0
2019-10-07,263.49,266.44,262.18,264.39,264.39,545655,0.0,1.0
2019-10-04,263.37,265.67,262.02,263.63,263.63,548689,0.0,1.0
2019-10-03,261.48,265.37,259.35,262.97,262.97,649565,0.0,1.0
2019-10-02,262.0,263.97,257.19,260.15,260.15,594217,0.0,1.0
2019-10-01,266.04,267.6,255.345,262.75,262.75,702787,0.0,1.0
2019-09-30,263.37,275.67,263.01,266.18,266.18,1226666,0.0,1.0
2019-09-27,273.35,277.9,255.6,260.69,260.69,1630786,0.0,1.0
2019-09-26,265.91,275.44,265.0,273.35,273.35,546150,0.0,1.0
2019-09-25,260.96,266.5,258.93,265.32,265.32,629752,0.0,1.0
2019-09-24,269.1,269.1,260.6,263.1,263.1,380028,0.0,1.0
2019-09-23,267.15,268.44,265.34,266.7,266.7,571704,0.0,1.0
2019-09-20,270.16,274.18,268.03,269.44,269.44,619376,0.0,1.0
2019-09-19,269.48,275.33,269.15,271.23,271.23,643442,0.0,1.0
2019-09-18,271.11,271.93,266.4207,270.02,270.02,472762,0.0,1.0
2019-09-17,270.89,271.95,265.73,270.16,270.16,619727,0.0,1.0
2019-09-16,272.16,274.42,269.23,270.38,270.38,489812,0.0,1.0
2019-09-13,274.02,278.29,272.39,275.27,275.27,528648,0.0,1.0
2019-09-12,277.3,278.21,272.62,273.54,273.54,395402,0.0,1.0
2019-09-11,273.17,277.71,270.43,275.68,275.68,542228,0.0,1.0
2019-09-10,278.17,279.98,269.9,272.72,272.72,733696,0.0,1.0
2019-09-09,279.0,282.15,278.34,280.34,280.34,584032,0.0,1.0
2019-09-06,272.0,282.2262,271.63,278.81,278.81,1238159,0.0,1.0
