date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,115.75,116.01,113.5,114.76,114.76,2297071,0.0,1.0
2019-11-29,116.47,116.935,115.02,115.58,115.58,1102665,0.0,1.0
2019-11-27,116.88,117.91,116.2,117.41,117.41,1220476,0.0,1.0
2019-11-26,116.87,117.48,115.0,116.63,116.63,3628164,0.0,1.0
2019-11-25,116.46,119.23,115.99,117.08,117.08,3176849,0.0,1.0
2019-11-22,114.39,115.96,114.0,115.22,115.22,2336324,0.0,1.0
2019-11-21,114.31,114.99,112.43,114.26,114.26,3008627,0.0,1.0
2019-11-20,114.5,116.12,113.07,114.74,114.74,3714893,0.0,1.0
2019-11-19,116.93,117.47,113.83,114.01,114.01,3840541,0.0,1.0
2019-11-18,116.54,117.53,115.66,115.92,115.92,2169899,0.0,1.0
2019-11-15,119.08,119.49,116.815,117.48,117.48,2067214,0.0,1.0
2019-11-14,118.27,119.0,116.45,117.99,117.99,2497174,0.0,1.0
2019-11-13,117.72,120.25,117.23,118.77,118.77,2312375,0.0,1.0
2019-11-12,118.95,120.84,118.44,118.94,118.94,4317340,0.0,1.0
2019-11-11,116.89,118.47,116.27,118.26,118.26,2902555,0.0,1.0
2019-11-08,116.22,117.71,115.55,117.62,117.62,2067122,0.0,1.0
2019-11-07,118.19,119.0125,116.66,117.4,117.4,3119523,0.0,1.0
2019-11-06,118.17,118.5,115.53,116.47,116.47,3394529,0.0,1.0
2019-11-05,118.63,120.03,117.51,118.66,118.66,5598765,0.0,1.0
2019-11-04,118.53,119.89,116.455,117.88,117.88,3739758,0.0,1.0
2019-11-01,115.47,118.55,114.83,118.0,118.0,4965563,0.0,1.0
2019-10-31,113.91,114.73,113.0988,113.68,113.68,3482461,0.0,1.0
2019-10-30,114.55,116.1,113.9,114.81,114.81,4095357,0.0,1.0
2019-10-29,114.5,118.5,113.95,114.41,114.41,9320231,0.0,1.0
2019-10-28,106.25,110.25,106.25,108.65,108.65,5326407,0.0,1.0
2019-10-25,105.68,106.31,103.97,105.86,105.86,3594836,0.0,1.0
2019-10-24,104.25,106.29,103.6881,106.07,106.07,3159088,0.0,1.0
2019-10-23,105.295,105.49,101.885,103.21,103.21,5872244,0.0,1.0
2019-10-22,110.19,110.45,107.67,107.78,107.78,2186221,0.0,1.0
2019-10-21,109.77,110.34,108.67,109.98,109.98,1750767,0.0,1.0
2019-10-18,109.7,110.42,108.48,109.01,109.01,1925378,0.0,1.0
2019-10-17,110.01,110.51,108.56,109.81,109.81,2131399,0.0,1.0
2019-10-16,111.37,112.42,108.52,108.61,108.61,3013768,0.0,1.0
2019-10-15,111.17,112.47,110.6,111.97,111.97,1897483,0.0,1.0
2019-10-14,109.86,111.545,109.444,111.24,111.24,2175614,0.0,1.0
2019-10-11,108.81,112.24,108.81,110.76,110.76,4078324,0.0,1.0
2019-10-10,106.37,108.29,105.85,107.25,107.25,2453966,0.0,1.0
2019-10-09,106.21,106.62,104.75,105.96,105.96,2103096,0.0,1.0
2019-10-08,106.67,107.42,103.63,103.75,103.75,3636300,0.0,1.0
2019-10-07,109.38,110.34,107.81,107.99,107.99,1689230,0.0,1.0
2019-10-04,107.56,109.98,107.16,109.88,109.88,1717659,0.0,1.0
2019-10-03,107.08,107.41,104.64,107.32,107.32,3062957,0.0,1.0
2019-10-02,108.4,109.23,106.39,106.7,106.7,2967989,0.0,1.0
2019-10-01,111.64,113.5,108.27,108.97,108.97,4624601,0.0,1.0
2019-09-30,107.59,109.3769,106.61,109.12,109.12,2595092,0.0,1.0
2019-09-27,108.17,108.73,105.42,106.53,106.53,2808975,0.0,1.0
2019-09-26,108.37,109.82,107.84,108.41,108.41,3253948,0.0,1.0
2019-09-25,104.14,108.38,102.83,108.22,108.22,3073760,0.0,1.0
2019-09-24,106.31,107.2,103.66,103.9,103.9,2005718,0.0,1.0
2019-09-23,104.8,107.0083,104.31,106.05,106.05,1746196,0.0,1.0
2019-09-20,108.46,108.94,104.49,104.8,104.8,3345042,0.0,1.0
2019-09-19,108.14,109.075,107.92,108.36,108.36,1434811,0.0,1.0
2019-09-18,107.25,108.925,106.4,107.82,107.82,1261409,0.0,1.0
2019-09-17,106.73,107.98,106.31,107.76,107.76,1490709,0.0,1.0
2019-09-16,109.24,109.93,107.38,107.57,107.57,1980555,0.0,1.0
2019-09-13,109.62,111.42,108.83,110.73,110.73,1751096,0.375,1.0
2019-09-12,110.4,112.06,109.77,110.03,109.6586,3031026,0.0,1.0
2019-09-11,107.63,110.53,107.6,110.0,109.6287,3418522,0.0,1.0
2019-09-10,106.56,108.96,105.905,107.86,107.496,3374171,0.0,1.0
2019-09-09,106.5,108.49,104.8,107.39,107.0275,2929331,0.0,1.0
2019-09-06,105.64,105.99,104.54,105.81,105.4529,1422475,0.0,1.0
2019-09-05,102.66,106.79,102.65,106.0,105.6422,3276939,0.0,1.0
