date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,81.75,81.99,80.65,80.7,80.7,1464334,0.0,1.0
2019-11-29,81.6,82.01,81.28,81.37,81.37,843797,0.0,1.0
2019-11-27,81.67,82.25,81.0,82.16,82.16,1113740,0.0,1.0
2019-11-26,81.64,81.83,80.93,81.78,81.78,1458637,0.0,1.0
2019-11-25,80.69,81.68,80.18,81.52,81.52,1428308,0.0,1.0
2019-11-22,79.98,80.5,79.74,80.44,80.44,1039570,0.0,1.0
2019-11-21,79.27,80.0,78.98,79.79,79.79,1564640,0.0,1.0
2019-11-20,79.0,79.46,78.38,78.85,78.85,1057798,0.0,1.0
2019-11-19,79.93,80.3,79.01,79.43,79.43,1115051,0.0,1.0
2019-11-18,79.54,80.165,79.2,80.03,80.03,1125260,0.0,1.0
2019-11-15,80.25,80.48,79.69,80.22,80.22,1305670,0.0,1.0
2019-11-14,80.28,80.28,79.25,79.53,79.53,1189309,0.0,1.0
2019-11-13,79.13,79.29,78.24,79.14,79.14,1318908,0.0,1.0
2019-11-12,79.91,79.98,79.28,79.43,79.43,1201719,0.0,1.0
2019-11-11,79.58,80.15,79.43,79.915,79.915,842634,0.0,1.0
2019-11-08,79.35,80.11,79.12,80.07,80.07,1099864,0.32,1.0
2019-11-07,80.0,80.57,79.57,79.87,79.5521,1864125,0.0,1.0
2019-11-06,79.45,79.79,78.53,79.68,79.3628,1298376,0.0,1.0
2019-11-05,79.36,80.36,78.59,79.67,79.3529,1943159,0.0,1.0
2019-11-04,78.39,79.42,78.11,79.3,78.9843,1860303,0.0,1.0
2019-11-01,76.43,78.07,76.06,78.05,77.7393,2206206,0.0,1.0
2019-10-31,76.13,76.465,74.77,76.06,75.7572,2355950,0.0,1.0
2019-10-30,76.25,76.81,75.85,76.465,76.1606,1792890,0.0,1.0
2019-10-29,77.02,77.66,76.41,77.32,77.0122,1769792,0.0,1.0
2019-10-28,76.99,77.8,76.93,77.51,77.2015,1486842,0.0,1.0
2019-10-25,75.28,77.18,75.14,76.895,76.5889,1926959,0.0,1.0
2019-10-24,75.38,75.62,74.16,75.3,75.0003,1833366,0.0,1.0
2019-10-23,75.36,76.0,74.3,75.11,74.811,2963123,0.0,1.0
2019-10-22,74.05,76.39,73.0,76.37,76.066,4278260,0.0,1.0
2019-10-21,72.54,74.45,72.49,73.0,72.7094,3501494,0.0,1.0
2019-10-18,70.87,72.42,70.3,72.035,71.7483,2584614,0.0,1.0
2019-10-17,70.5,70.9,70.07,70.78,70.4983,1700760,0.0,1.0
2019-10-16,70.13,70.86,69.84,70.07,69.7911,1630849,0.0,1.0
2019-10-15,69.09,70.71,68.79,70.345,70.065,1421310,0.0,1.0
2019-10-14,68.66,69.59,68.28,69.48,69.2034,1504985,0.0,1.0
2019-10-11,68.51,69.87,68.51,69.1,68.8249,2574197,0.0,1.0
2019-10-10,67.47,68.09,66.99,67.32,67.052,1120477,0.0,1.0
2019-10-09,67.28,67.285,66.18,66.89,66.6237,1281333,0.0,1.0
2019-10-08,66.82,67.39,66.31,66.56,66.2951,1482652,0.0,1.0
2019-10-07,67.51,68.67,67.05,67.73,67.4604,1503081,0.0,1.0
2019-10-04,66.94,67.94,66.84,67.84,67.57,1124661,0.0,1.0
2019-10-03,66.19,67.0,65.17,66.99,66.7233,1495049,0.0,1.0
2019-10-02,67.18,67.21,65.5901,66.22,65.9564,1945230,0.0,1.0
