date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,116.65,117.58,115.89,116.0,116.0,2491909,0.0,1.0
2019-11-29,116.58,117.24,116.05,116.15,116.15,1411533,0.0,1.0
2019-11-27,116.12,116.49,115.2,116.33,116.33,1589988,0.0,1.0
2019-11-26,113.38,116.03,112.99,115.33,115.33,5066586,0.0,1.0
2019-11-25,112.03,113.99,111.55,113.33,113.33,2210059,0.0,1.0
2019-11-22,113.08,113.89,108.41,111.52,111.52,3955545,0.0,1.0
2019-11-21,111.17,111.85,110.6,111.79,111.79,2495621,0.0,1.0
2019-11-20,112.4,112.9082,109.985,110.44,110.44,2269722,0.0,1.0
2019-11-19,112.72,113.96,111.815,112.42,112.42,1993510,0.0,1.0
2019-11-18,112.94,113.34,111.835,112.19,112.19,1801107,0.0,1.0
2019-11-15,113.66,113.6735,112.24,113.365,113.365,1151812,0.0,1.0
2019-11-14,111.76,113.0,111.0,112.84,112.84,1291427,0.0,1.0
2019-11-13,111.01,111.94,109.33,111.39,111.39,1718706,0.0,1.0
2019-11-12,112.15,112.41,110.84,110.97,110.97,1327068,0.0,1.0
2019-11-11,111.66,112.38,111.11,112.18,112.18,1126286,0.0,1.0
2019-11-08,112.77,113.06,111.4,111.82,111.82,1432041,0.0,1.0
2019-11-07,112.35,113.72,112.18,113.07,113.07,1389706,0.0,1.0
2019-11-06,112.45,112.52,111.32,112.26,112.26,1282153,0.0,1.0
2019-11-05,111.49,112.8,111.41,112.06,112.06,1704693,0.0,1.0
2019-11-04,111.61,112.02,110.99,111.77,111.77,1540419,0.0,1.0
2019-11-01,110.19,111.57,109.74,110.99,110.99,1294437,0.0,1.0
2019-10-31,110.49,110.97,109.23,109.67,109.67,1790926,0.0,1.0
2019-10-30,108.69,110.39,108.59,110.32,110.32,1579130,0.0,1.0
2019-10-29,109.45,110.5,108.745,108.82,108.82,1565693,0.0,1.0
2019-10-28,110.62,111.12,109.26,109.39,109.39,1482098,0.0,1.0
2019-10-25,110.1,111.61,109.655,110.69,110.69,1116894,0.0,1.0
2019-10-24,110.22,110.69,109.18,110.44,110.44,1367211,0.0,1.0
2019-10-23,111.98,112.22,109.67,109.89,109.89,1553432,0.0,1.0
2019-10-22,111.28,112.98,111.03,111.9,111.9,1463941,0.0,1.0
2019-10-21,111.49,113.22,109.07,110.98,110.98,2832674,0.0,1.0
2019-10-18,112.81,114.825,112.5,114.13,114.13,1588274,0.0,1.0
2019-10-17,112.98,113.69,112.59,113.03,113.03,1030356,0.0,1.0
2019-10-16,111.95,112.675,111.5,112.255,112.255,1862648,0.0,1.0
2019-10-15,111.65,112.5,111.64,111.94,111.94,1629498,0.0,1.0
2019-10-14,112.43,112.84,111.33,111.4,111.4,1356546,0.0,1.0
2019-10-11,112.0,113.51,111.655,112.46,112.46,1972219,0.0,1.0
2019-10-10,108.87,111.19,108.52,111.01,111.01,2069221,0.0,1.0
2019-10-09,108.5,109.43,108.03,109.17,109.17,1471176,0.0,1.0
2019-10-08,107.46,109.31,106.8,107.88,107.88,1715622,0.0,1.0
2019-10-07,108.21,108.97,107.75,108.14,108.14,1638017,0.0,1.0
2019-10-04,107.32,109.27,107.26,108.93,108.93,1593477,0.0,1.0
2019-10-03,107.05,107.24,104.82,106.93,106.93,1361206,0.0,1.0
2019-10-02,108.87,108.89,106.94,107.53,107.53,1724630,0.0,1.0
2019-10-01,110.37,111.4199,109.24,109.3,109.3,1975427,0.0,1.0
2019-09-30,109.14,110.39,109.14,109.85,109.85,1617716,0.0,1.0
2019-09-27,108.61,109.43,108.137,109.05,109.05,1944599,0.0,1.0
2019-09-26,108.71,109.0,106.99,107.85,107.85,1397180,0.0,1.0
2019-09-25,107.69,109.13,107.69,108.24,108.24,1725492,0.0,1.0
2019-09-24,108.3,109.12,106.77,107.64,107.64,2184494,0.0,1.0
2019-09-23,105.36,107.31,105.28,107.03,107.03,2736596,0.0,1.0
2019-09-20,108.57,109.54,104.57,104.75,104.75,4640988,0.0,1.0
2019-09-19,108.81,109.64,108.39,108.61,108.61,1209160,0.0,1.0
2019-09-18,108.09,108.81,107.32,108.71,108.71,2008904,0.0,1.0
2019-09-17,107.81,108.975,107.395,108.14,108.14,1859353,0.0,1.0
2019-09-16,108.58,108.58,107.5,107.59,107.59,1518598,0.0,1.0
2019-09-13,109.61,110.255,109.02,109.13,109.13,1576072,0.0,1.0
2019-09-12,109.26,110.88,109.0,109.36,109.36,2242131,0.0,1.0
2019-09-11,107.38,108.6,106.67,108.31,108.31,2020564,0.255,1.0
2019-09-10,108.55,108.69,106.43,108.16,107.906,2081548,0.0,1.0
2019-09-09,109.31,109.69,107.68,108.49,108.2352,1443322,0.0,1.0
2019-09-06,109.65,110.67,109.04,109.18,108.9236,1436381,0.0,1.0
2019-09-05,107.0,109.48,106.74,109.36,109.1031,2440947,0.0,1.0
2019-09-04,105.48,106.0,104.805,105.97,105.7211,1612155,0.0,1.0
2019-09-03,105.17,106.09,104.07,105.02,104.7733,2095782,0.0,1.0
2019-08-30,107.43,108.48,105.78,106.01,105.761,2290601,0.0,1.0
2019-08-29,105.99,107.56,105.99,107.11,106.8584,1927082,0.0,1.0
2019-08-28,102.3,104.82,102.0,104.56,104.3144,2088384,0.0,1.0
2019-08-27,105.11,105.13,102.54,102.58,102.3391,2355036,0.0,1.0
2019-08-26,103.35,104.76,103.3,104.56,104.3144,1787546,0.0,1.0
2019-08-23,105.64,106.37,102.41,102.95,102.7082,3919595,0.0,1.0
2019-08-22,106.87,107.94,105.7,107.4,107.1477,3930841,0.0,1.0
2019-08-21,105.71,106.62,104.26,105.7,105.4517,1688028,0.0,1.0
2019-08-20,103.02,105.08,102.6,104.19,103.9453,2308004,0.0,1.0
2019-08-19,104.885,105.4,103.33,104.09,103.8455,1721823,0.0,1.0
2019-08-16,102.58,103.65,102.27,103.18,102.9376,1946039,0.0,1.0
2019-08-15,103.19,103.45,100.68,101.41,101.1718,1983945,0.0,1.0
2019-08-14,104.54,104.54,102.07,102.17,101.93,2413701,0.0,1.0
2019-08-13,103.24,108.04,102.26,106.44,106.19,1672776,0.0,1.0
2019-08-12,105.18,105.45,102.92,103.28,103.0374,1743872,0.0,1.0
2019-08-09,106.9,107.12,104.96,105.5,105.2522,1549755,0.0,1.0
2019-08-08,104.68,107.2333,104.47,107.04,106.7886,1861781,0.0,1.0
2019-08-07,102.07,104.22,101.55,103.91,103.6659,1767597,0.0,1.0
2019-08-06,101.56,103.61,101.06,103.38,103.1372,1664445,0.0,1.0
2019-08-05,102.32,103.0745,100.16,101.22,100.9823,2184873,0.0,1.0
2019-08-02,103.53,104.45,102.94,103.49,103.2469,1563820,0.0,1.0
2019-08-01,106.69,107.08,102.49,103.57,103.3267,1588947,0.0,1.0
2019-07-31,106.19,107.04,104.42,106.03,105.781,1485024,0.0,1.0
2019-07-30,106.15,106.48,105.47,106.34,106.0902,1220464,0.0,1.0
2019-07-29,106.55,106.92,106.0,106.51,106.2598,1060922,0.0,1.0
2019-07-26,105.85,107.055,105.09,106.83,106.5791,1261539,0.0,1.0
2019-07-25,104.28,105.99,104.28,105.52,105.2722,1705186,0.0,1.0
2019-07-24,105.94,106.61,105.5025,105.95,105.7011,1578831,0.0,1.0
2019-07-23,106.11,106.63,105.32,106.11,105.8608,1303553,0.0,1.0
2019-07-22,107.06,107.48,105.66,105.94,105.6912,1905682,0.0,1.0
2019-07-19,107.77,108.2,106.51,106.61,106.3596,2738179,0.0,1.0
2019-07-18,107.38,107.63,106.37,107.04,106.7886,2218805,0.0,1.0
2019-07-17,106.91,107.93,106.57,107.29,107.038,1774182,0.0,1.0
2019-07-16,106.55,107.45,106.0,106.81,106.5591,2025198,0.0,1.0
2019-07-15,106.17,107.24,104.94,106.35,106.1002,2448498,0.0,1.0
2019-07-12,103.51,106.78,103.08,106.02,105.771,3693738,0.0,1.0
2019-07-11,103.0,103.25,102.37,102.9,102.6583,1722873,0.0,1.0
2019-07-10,102.59,102.96,101.38,102.61,102.369,1541185,0.0,1.0
2019-07-09,101.5,102.56,101.175,101.98,101.7405,1877490,0.0,1.0
2019-07-08,100.78,101.71,100.2,101.58,101.3414,1638294,0.0,1.0
2019-07-05,98.86,100.91,98.86,100.88,100.6431,1612295,0.0,1.0
2019-07-03,98.4,100.04,98.39,100.0,99.7651,1211912,0.0,1.0
2019-07-02,98.79,99.39,97.53,98.18,97.9494,2174038,0.0,1.0
2019-07-01,100.53,101.92,98.56,98.98,98.7475,2736000,0.0,1.0
2019-06-28,100.65,101.46,99.06,99.12,98.8872,8249368,0.0,1.0
2019-06-27,99.6,100.63,98.84,100.54,100.3038,3678807,0.0,1.0
2019-06-26,102.07,103.11,101.43,102.4,102.1595,1938709,0.0,1.0
2019-06-25,102.84,103.09,101.29,101.51,101.2716,2349053,0.0,1.0
2019-06-24,103.0,104.26,101.9,102.85,102.6084,2058670,0.0,1.0
2019-06-21,104.65,105.15,103.9,103.96,103.7158,3068485,0.0,1.0
2019-06-20,104.07,105.31,103.63,104.57,104.3244,1920749,0.0,1.0
2019-06-19,102.83,103.58,101.71,103.38,103.1372,1785866,0.0,1.0
2019-06-18,102.33,103.85,102.045,102.61,102.369,2489454,0.0,1.0
2019-06-17,100.98,102.13,100.41,101.44,101.2017,2363068,0.0,1.0
2019-06-14,100.77,101.685,100.43,100.97,100.7328,2562833,0.0,1.0
2019-06-13,98.98,100.57,97.59,100.54,100.3038,2221468,0.0,1.0
2019-06-12,98.79,99.5,98.24,98.31,98.0791,1910368,0.0,1.0
2019-06-11,98.63,99.16,97.8652,98.47,98.2387,2661604,0.0,1.0
2019-06-10,99.1,100.4,97.81,98.0,97.7698,2606002,0.255,1.0
2019-06-07,96.85,99.55,96.75,99.16,98.6703,3195088,0.0,1.0
2019-06-06,95.25,96.46,94.79,96.16,95.6852,2240105,0.0,1.0
2019-06-05,94.93,95.65,94.44,94.99,94.5209,1755722,0.0,1.0
2019-06-04,92.8,94.74,92.79,94.64,94.1727,2335385,0.0,1.0
2019-06-03,92.93,93.75,91.54,92.04,91.5855,2396538,0.0,1.0
2019-05-31,91.84,93.26,91.46,92.99,92.5308,2525759,0.0,1.0
2019-05-30,90.65,92.95,90.61,92.9,92.4413,2601554,0.0,1.0
2019-05-29,90.77,91.73,89.55,90.3,89.8541,3095123,0.0,1.0
2019-05-28,93.69,95.65,91.28,91.33,90.879,5083904,0.0,1.0
2019-05-24,92.58,94.0,91.59,92.78,92.3219,5842989,0.0,1.0
2019-05-23,93.94,94.94,92.78,94.51,94.0433,3203484,0.0,1.0
2019-05-22,96.83,96.83,94.12,94.53,94.0632,3002475,0.0,1.0
2019-05-21,96.44,97.8,95.31,97.4,96.919,2846894,0.0,1.0
2019-05-20,96.77,97.52,96.44,96.67,96.1926,2575787,0.0,1.0
2019-05-17,95.4,97.39,95.26,97.2,96.72,2452709,0.0,1.0
2019-05-16,94.93,97.0,94.93,95.88,95.4065,1677364,0.0,1.0
2019-05-15,93.7,94.88,93.19,94.5,94.0334,1759901,0.0,1.0
2019-05-14,94.0,95.09,93.47,94.46,93.9936,2501534,0.0,1.0
