date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,50.34,50.74,48.45,48.5,48.5,4993422,0.0,1.0
2019-11-29,50.39,50.715,49.99,50.33,50.33,1867323,0.0,1.0
2019-11-27,49.17,50.49,49.0751,50.41,50.41,3829549,0.0,1.0
2019-11-26,49.73,49.81,48.47,48.71,48.71,3847447,0.0,1.0
2019-11-25,48.68,49.93,48.585,49.76,49.76,3830719,0.0,1.0
2019-11-22,48.22,48.87,47.96,48.46,48.46,2941207,0.0,1.0
2019-11-21,48.38,48.99,47.62,47.84,47.84,4259489,0.0,1.0
2019-11-20,47.5,48.92,47.48,48.5,48.5,11083163,0.0,1.0
2019-11-19,49.7,49.7,47.26,47.52,47.52,8326681,0.0,1.0
2019-11-18,50.25,50.4,48.93,49.51,49.51,5729483,0.0,1.0
2019-11-15,50.99,51.43,50.15,50.34,50.34,5377302,0.0,1.0
2019-11-14,50.82,50.8778,49.45,50.38,50.38,4634138,0.0,1.0
2019-11-13,51.91,51.97,50.61,51.02,51.02,5259045,0.0,1.0
2019-11-12,52.14,52.83,51.76,52.54,52.54,4204125,0.0,1.0
2019-11-11,51.29,52.21,50.9701,51.99,51.99,4376866,0.0,1.0
2019-11-08,53.01,53.1,51.58,52.02,52.02,5762162,0.0,1.0
2019-11-07,54.56,54.67,53.08,53.24,53.24,3877347,0.0,1.0
2019-11-06,53.94,53.96,52.77,53.72,53.72,5818439,0.0,1.0
2019-11-05,55.02,55.18,53.88,54.14,54.14,4537012,0.0,1.0
2019-11-04,54.59,55.065,53.83,54.96,54.96,5300958,0.0,1.0
2019-11-01,51.81,54.38,51.51,53.83,53.83,9613446,0.0,1.0
2019-10-31,57.311,58.0,51.55,51.65,51.65,22286070,0.0,1.0
2019-10-30,62.93,63.09,61.33,62.16,62.16,4779296,0.0,1.0
2019-10-29,62.85,63.125,62.2278,62.79,62.79,2826723,0.0,1.0
2019-10-28,62.15,62.855,61.56,62.73,62.73,3073701,0.0,1.0
2019-10-25,59.53,61.32,59.28,61.23,61.23,3394701,0.0,1.0
2019-10-24,58.83,60.23,58.24,59.52,59.52,3773930,0.0,1.0
2019-10-23,58.13,58.13,56.8806,57.65,57.65,3495026,0.0,1.0
2019-10-22,58.71,59.9047,58.71,58.86,58.86,3129141,0.0,1.0
2019-10-21,58.59,59.06,58.28,58.6,58.6,2187569,0.0,1.0
2019-10-18,59.08,59.21,57.26,58.13,58.13,3284046,0.0,1.0
2019-10-17,60.09,60.09,58.71,59.62,59.62,3113064,0.0,1.0
2019-10-16,60.94,61.09,59.34,59.46,59.46,2729774,0.0,1.0
2019-10-15,59.31,60.94,59.26,60.82,60.82,3616746,0.0,1.0
2019-10-14,59.61,60.23,58.8,59.28,59.28,3758477,0.0,1.0
