date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,93.0,93.28,89.615,90.27,90.27,3893547,0.0,1.0
2019-11-29,92.99,93.87,92.275,92.78,92.78,1362721,0.0,1.0
2019-11-27,91.54,93.4,91.54,93.35,93.35,2028476,0.0,1.0
2019-11-26,91.57,91.85,91.0662,91.24,91.24,3922978,0.0,1.0
2019-11-25,91.01,91.88,90.13,91.82,91.82,3154775,0.0,1.0
2019-11-22,91.0,91.65,90.48,90.61,90.61,1908989,0.0,1.0
2019-11-21,91.5,91.9,90.34,90.46,90.46,2512370,0.0,1.0
2019-11-20,92.76,92.76,90.06,91.01,91.01,3578391,0.0,1.0
2019-11-19,93.05,93.87,92.44,92.8,92.8,2856278,0.0,1.0
2019-11-18,93.29,93.595,91.46,92.38,92.38,2817344,0.0,1.0
2019-11-15,94.16,94.95,92.88,93.66,93.66,2347924,0.0,1.0
2019-11-14,93.0,93.8,92.4,93.15,93.15,1453402,0.0,1.0
2019-11-13,94.34,94.545,92.72,93.29,93.29,2223593,0.0,1.0
2019-11-12,95.52,96.48,94.61,95.17,95.17,1706315,0.0,1.0
2019-11-11,94.96,95.6,94.6379,95.23,95.23,1697464,0.0,1.0
2019-11-08,95.69,95.97,94.19,95.5,95.5,2469414,0.37,1.0
2019-11-07,96.28,97.37,95.4,96.05,95.6793,3414436,0.0,1.0
2019-11-06,95.4,95.9599,93.3,93.77,93.4081,2664485,0.0,1.0
2019-11-05,97.0,97.84,95.36,95.4,95.0318,3505587,0.0,1.0
2019-11-04,95.68,97.8,95.6,96.64,96.267,5216279,0.0,1.0
2019-11-01,91.48,93.44,91.01,92.71,92.3522,2937642,0.0,1.0
2019-10-31,92.02,92.105,89.83,90.74,90.3898,4185950,0.0,1.0
2019-10-30,92.99,93.0,90.7,91.26,90.9078,3563278,0.0,1.0
2019-10-29,94.75,95.41,92.28,92.33,91.9737,2941288,0.0,1.0
2019-10-28,95.84,96.85,94.104,94.75,94.3843,3100285,0.0,1.0
2019-10-25,93.37,95.09,92.64,94.9,94.5337,3470369,0.0,1.0
2019-10-24,92.2,95.5,91.8,93.12,92.7606,6520722,0.0,1.0
2019-10-23,94.75,95.39,93.31,93.83,93.4679,6087711,0.0,1.0
2019-10-22,95.25,96.83,95.25,95.98,95.6096,4480983,0.0,1.0
2019-10-21,95.16,95.49,94.36,95.06,94.6931,2511985,0.0,1.0
2019-10-18,94.94,95.495,93.09,94.34,93.9759,2218128,0.0,1.0
2019-10-17,95.55,96.5,94.5,94.91,94.5437,2070709,0.0,1.0
2019-10-16,96.79,97.52,94.09,94.63,94.2648,3451214,0.0,1.0
2019-10-15,96.24,97.45,95.8916,96.97,96.5958,2804335,0.0,1.0
2019-10-14,98.31,98.86,95.56,95.93,95.5598,3812968,0.0,1.0
2019-10-11,95.12,98.15,94.93,96.22,95.8486,4909771,0.0,1.0
2019-10-10,90.61,94.32,90.5,92.81,92.4518,2883108,0.0,1.0
2019-10-09,90.7,91.21,89.67,90.48,90.1308,3246725,0.0,1.0
2019-10-08,92.0,92.01,89.22,89.27,88.9255,4055846,0.0,1.0
2019-10-07,94.01,94.36,92.53,92.63,92.2725,2541209,0.0,1.0
2019-10-04,92.49,94.4699,91.9,94.24,93.8763,3277055,0.0,1.0
2019-10-03,92.77,92.8,90.89,92.49,92.133,3784233,0.0,1.0
2019-10-02,91.63,93.62,90.47,92.45,92.0932,4697767,0.0,1.0
2019-10-01,94.3,94.655,90.87,92.04,91.6848,7638428,0.0,1.0
2019-09-30,96.27,96.56,95.23,95.9,95.5299,4024819,0.0,1.0
2019-09-27,96.95,98.29,95.24,95.95,95.5797,2504733,0.0,1.0
2019-09-26,97.73,98.16,96.11,97.24,96.8647,2440569,0.0,1.0
2019-09-25,96.12,97.52,94.39,97.19,96.8149,3557658,0.0,1.0
2019-09-24,98.98,99.48,95.4,96.12,95.749,3466887,0.0,1.0
2019-09-23,96.14,99.32,95.16,98.05,97.6716,4120837,0.0,1.0
2019-09-20,98.8135,99.93,95.39,96.55,96.1774,11128941,0.0,1.0
2019-09-19,105.0,106.246,103.27,103.62,103.2201,2031008,0.0,1.0
2019-09-18,104.46,105.06,102.79,104.92,104.5151,2091550,0.0,1.0
