date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,170.53,170.87,168.15,168.59,168.59,1107900,0.0,1.0
2019-11-29,170.82,171.5,170.24,170.78,170.78,706162,0.0,1.0
2019-11-27,171.8,171.9,170.96,171.48,171.48,1093436,0.0,1.0
2019-11-26,170.21,171.92,170.15,171.62,171.62,2021047,0.0,1.0
2019-11-25,170.27,170.9406,169.78,170.2,170.2,1259539,0.0,1.0
2019-11-22,171.12,171.5,169.07,169.65,169.65,1279067,0.0,1.0
2019-11-21,170.23,170.74,169.15,169.86,169.86,1184828,0.0,1.0
2019-11-20,170.54,171.58,169.0,170.58,170.58,1286941,0.0,1.0
2019-11-19,171.5,172.73,170.91,171.09,171.09,1284047,0.0,1.0
2019-11-18,170.64,171.33,170.0,170.73,170.73,1444542,0.0,1.0
2019-11-15,171.19,171.19,169.07,171.17,171.17,1611220,0.0,1.0
2019-11-14,168.77,170.48,167.79,170.14,170.14,2367904,0.0,1.0
2019-11-13,166.98,169.5225,166.47,168.98,168.98,2346840,0.0,1.0
2019-11-12,164.15,166.49,163.76,166.36,166.36,1921680,0.0,1.0
2019-11-11,162.0,163.92,161.64,163.42,163.42,1417883,0.0,1.0
2019-11-08,161.73,163.08,161.175,162.73,162.73,1787538,0.0,1.0
2019-11-07,160.54,163.58,159.88,162.1,162.1,2166846,0.0,1.0
2019-11-06,157.87,160.18,157.345,159.66,159.66,2142857,0.0,1.0
2019-11-05,161.35,161.74,156.89,157.01,157.01,3924599,0.0,1.0
2019-11-04,164.21,164.61,161.71,161.88,161.88,2542856,0.0,1.0
2019-11-01,163.4,163.75,162.13,162.98,162.98,1375890,0.0,1.0
2019-10-31,163.42,164.41,160.68,162.23,162.23,6511280,0.0,1.0
2019-10-30,158.8,164.33,158.26,164.15,164.15,2878301,0.0,1.0
2019-10-29,162.63,164.355,162.46,162.83,162.83,1557212,0.0,1.0
2019-10-28,162.58,162.92,160.93,162.48,162.48,1377763,0.0,1.0
2019-10-25,162.01,163.36,161.575,161.96,161.96,2199993,0.0,1.0
2019-10-24,160.95,162.64,160.1,162.54,162.54,1100972,0.0,1.0
2019-10-23,159.27,160.76,159.09,160.04,160.04,1726606,0.0,1.0
2019-10-22,162.35,163.29,159.46,159.49,159.49,1336003,0.0,1.0
2019-10-21,164.08,164.49,161.3,162.03,162.03,1714349,0.0,1.0
2019-10-18,164.33,164.445,162.92,163.54,163.54,1650364,0.0,1.0
2019-10-17,164.54,165.2,163.61,163.83,163.83,1091688,0.0,1.0
2019-10-16,163.74,164.45,162.06,164.16,164.16,1665162,0.0,1.0
2019-10-15,162.54,164.45,162.49,164.12,164.12,1355762,0.0,1.0
2019-10-14,162.65,163.81,162.12,162.46,162.46,1288020,0.0,1.0
2019-10-11,162.41,163.84,161.0,162.52,162.52,1994228,0.0,1.0
2019-10-10,157.93,160.97,157.86,160.72,160.72,1597573,0.0,1.0
2019-10-09,157.64,158.94,156.6,158.46,158.46,1658697,0.0,1.0
2019-10-08,157.55,158.35,155.84,156.32,156.32,1531767,0.0,1.0
2019-10-07,158.95,159.81,157.98,158.89,158.89,1036318,0.0,1.0
2019-10-04,158.13,159.42,157.895,159.17,159.17,1363367,0.0,1.0
2019-10-03,156.36,157.6,153.72,157.54,157.54,1667880,0.0,1.0
2019-10-02,158.97,159.24,155.48,156.62,156.62,2755079,0.0,1.0
2019-10-01,162.31,162.94,160.08,160.43,160.43,1811805,0.0,1.0
2019-09-30,160.83,162.1,160.75,161.42,161.42,1511432,0.0,1.0
2019-09-27,163.79,163.97,158.94,160.43,160.43,2067422,0.0,1.0
2019-09-26,162.24,163.95,161.7,163.27,163.27,2111586,0.0,1.0
2019-09-25,160.08,161.95,158.82,161.68,161.68,2371221,0.0,1.0
2019-09-24,160.12,162.44,158.77,160.03,160.03,2829328,0.0,1.0
2019-09-23,158.77,160.6384,158.5,159.7,159.7,1824880,0.0,1.0
2019-09-20,159.22,160.81,158.75,159.3,159.3,2674919,0.0,1.0
