date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,58.14,58.14,56.48,56.7,56.7,5975485,0.0,1.0
2019-11-29,58.09,58.295,57.72,57.9,57.9,2905829,0.0,1.0
2019-11-27,57.89,58.39,57.74,58.29,58.29,5703005,0.0,1.0
2019-11-26,58.27,58.418,57.075,57.57,57.57,10256637,0.0,1.0
2019-11-25,56.62,58.42,56.56,58.28,58.28,11194841,0.0,1.0
2019-11-22,56.56,57.1399,55.435,55.94,55.94,8627714,0.0,1.0
2019-11-21,56.64,58.45,55.65,56.44,56.44,13935308,0.0,1.0
2019-11-20,60.03,60.43,59.085,59.65,59.65,12045741,0.21,1.0
2019-11-19,62.29,62.67,60.845,60.94,60.7262,9887589,0.0,1.0
2019-11-18,61.89,63.07,61.36,62.35,62.1313,10413290,0.0,1.0
2019-11-15,60.325,62.9208,60.22,62.06,61.8423,28391526,0.0,1.0
2019-11-14,57.14,57.2,56.505,56.96,56.7602,8305853,0.0,1.0
2019-11-13,56.11,57.385,56.01,57.12,56.9196,5712885,0.0,1.0
2019-11-12,57.0,57.25,56.2,56.42,56.2221,5118063,0.0,1.0
2019-11-11,55.77,56.73,55.55,56.59,56.3915,5651305,0.0,1.0
2019-11-08,55.7,56.135,55.13,56.03,55.8334,3313903,0.0,1.0
2019-11-07,56.31,56.49,55.625,55.94,55.7438,4487535,0.0,1.0
2019-11-06,55.5447,55.88,54.91,55.82,55.6242,3965867,0.0,1.0
2019-11-05,56.09,56.285,55.57,55.88,55.684,3857929,0.0,1.0
2019-11-04,56.02,56.4,55.34,55.74,55.5445,4152542,0.0,1.0
2019-11-01,54.93,55.47,54.41,55.46,55.2654,5899037,0.0,1.0
2019-10-31,55.19,55.19,53.56,54.26,54.0696,6741838,0.0,1.0
2019-10-30,55.33,55.44,54.67,55.21,55.0163,4247462,0.0,1.0
2019-10-29,56.68,57.09,55.4,55.52,55.3252,6354593,0.0,1.0
2019-10-28,56.03,57.29,56.0,56.95,56.7502,8742449,0.0,1.0
2019-10-25,54.9,55.84,54.53,55.72,55.5245,8568345,0.0,1.0
2019-10-24,52.94,55.12,52.75,55.07,54.8768,18723030,0.0,1.0
2019-10-23,51.29,51.45,50.24,50.53,50.3527,8608126,0.0,1.0
2019-10-22,52.65,52.71,51.94,51.98,51.7976,4484021,0.0,1.0
2019-10-21,52.19,52.705,51.99,52.64,52.4553,5738240,0.0,1.0
2019-10-18,52.22,52.41,51.04,51.68,51.4987,6393604,0.0,1.0
2019-10-17,52.46,53.25,51.84,52.14,51.9571,5159955,0.0,1.0
2019-10-16,51.88,52.8,51.35,51.56,51.3791,8456280,0.0,1.0
2019-10-15,52.07,53.14,51.875,52.91,52.7244,8063938,0.0,1.0
2019-10-14,51.81,52.125,51.79,51.935,51.7528,3429704,0.0,1.0
2019-10-11,52.16,52.39,51.71,51.75,51.5685,6823720,0.0,1.0
2019-10-10,50.67,51.6,50.64,51.01,50.831,5368631,0.0,1.0
2019-10-09,50.12,51.17,50.0,50.84,50.6616,6362242,0.0,1.0
2019-10-08,50.15,50.28,49.075,49.31,49.137,5722592,0.0,1.0
2019-10-07,50.82,51.11,50.58,50.65,50.4723,5482744,0.0,1.0
2019-10-04,50.01,50.9,49.89,50.88,50.7015,4620605,0.0,1.0
2019-10-03,49.42,49.765,48.78,49.64,49.4659,7082515,0.0,1.0
2019-10-02,49.37,49.88,49.21,49.46,49.2865,6563804,0.0,1.0
2019-10-01,50.41,51.0,49.775,50.02,49.8445,7746018,0.0,1.0
2019-09-30,49.75,50.22,49.26,49.9,49.7249,6780365,0.0,1.0
