date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,234.54,235.8,232.63,233.48,233.48,1571557,0.0,1.0
2019-11-29,234.13,235.47,233.75,234.72,234.72,945636,0.0,1.0
2019-11-27,234.65,235.28,231.85,234.54,234.54,1579798,0.0,1.0
2019-11-26,233.98,234.89,232.01,234.39,234.39,3300943,0.0,1.0
2019-11-25,231.08,235.8,231.08,234.54,234.54,2638668,0.0,1.0
2019-11-22,228.08,230.87,227.83,230.74,230.74,1975139,0.0,1.0
2019-11-21,227.12,228.8,225.02,227.82,227.82,2659275,0.0,1.0
2019-11-20,224.38,226.55,223.13,225.51,225.51,3524306,0.0,1.0
2019-11-19,221.24,224.68,220.7,224.5,224.5,2552130,0.0,1.0
2019-11-18,221.06,221.59,219.2055,220.67,220.67,2239516,0.0,1.0
2019-11-15,219.59,220.93,217.21,220.86,220.86,2028585,0.0,1.0
2019-11-14,218.22,218.74,213.55,218.5,218.5,2749387,1.45,1.0
2019-11-13,220.43,221.69,218.54,219.67,218.2218,2349050,0.0,1.0
2019-11-12,221.31,225.26,219.87,221.31,219.851,2704477,0.0,1.0
2019-11-11,220.24,221.38,218.7,220.7,219.2451,1364287,0.0,1.0
2019-11-08,218.21,221.25,217.46,221.11,219.6524,2069906,0.0,1.0
2019-11-07,216.91,218.51,215.46,217.99,216.5529,2498281,0.0,1.0
2019-11-06,215.45,218.58,215.45,216.4,214.9734,2540237,0.0,1.0
2019-11-05,215.92,219.49,213.19,215.08,213.6621,3012012,0.0,1.0
2019-11-04,218.73,219.84,214.35,214.41,212.9965,2646580,0.0,1.0
2019-11-01,214.26,219.375,214.0,217.95,216.5132,3685494,0.0,1.0
2019-10-31,210.1,213.67,209.6,213.25,211.8442,3255817,0.0,1.0
2019-10-30,206.35,211.0,204.16,210.88,209.4898,3793500,0.0,1.0
2019-10-29,205.26,211.25,204.905,208.99,207.6123,4460040,0.0,1.0
2019-10-28,203.17,205.9824,202.68,205.01,203.6585,1645996,0.0,1.0
2019-10-25,202.59,203.71,201.51,203.05,201.7114,1321537,0.0,1.0
2019-10-24,203.95,204.3,201.66,203.06,201.7213,1245432,0.0,1.0
2019-10-23,204.23,205.89,203.04,203.32,201.9796,1846377,0.0,1.0
2019-10-22,204.63,206.06,203.22,204.83,203.4797,2175285,0.0,1.0
2019-10-21,203.57,203.61,200.7827,202.93,201.5922,1564041,0.0,1.0
2019-10-18,204.11,204.12,200.81,202.72,201.3836,2036800,0.0,1.0
2019-10-17,201.59,204.75,201.52,203.56,202.218,1397661,0.0,1.0
2019-10-16,204.15,204.98,202.18,203.21,201.8704,1906222,0.0,1.0
2019-10-15,203.46,204.8,202.6,204.66,203.3108,1502787,0.0,1.0
2019-10-14,201.25,204.9,201.23,202.89,201.5525,1709540,0.0,1.0
2019-10-11,200.23,203.89,199.98,200.8,199.4762,2477386,0.0,1.0
2019-10-10,198.0,199.36,197.02,198.68,197.3702,1320590,0.0,1.0
2019-10-09,198.68,198.68,195.96,196.69,195.3933,1300664,0.0,1.0
2019-10-08,196.55,198.0,194.96,196.08,194.7874,2048466,0.0,1.0
2019-10-07,194.54,198.82,194.45,197.17,195.8702,2230266,0.0,1.0
2019-10-04,193.14,196.01,193.14,195.59,194.3006,2161734,0.0,1.0
2019-10-03,189.6,192.67,189.0,192.62,191.3502,1983450,0.0,1.0
2019-10-02,193.58,193.58,188.78,189.21,187.9627,2319213,0.0,1.0
2019-10-01,192.58,195.879,192.1,193.19,191.9164,2331255,0.0,1.0
2019-09-30,192.8,196.68,191.69,193.51,192.2343,2561059,0.0,1.0
2019-09-27,195.56,196.85,193.84,194.94,193.6549,1770277,0.0,1.0
2019-09-26,195.91,196.31,193.08,195.38,194.092,1900710,0.0,1.0
2019-09-25,197.58,198.33,195.92,196.06,194.7675,1806329,0.0,1.0
2019-09-24,198.98,199.8,195.61,196.55,195.2543,2324684,0.0,1.0
2019-09-23,197.75,198.811,197.31,197.76,196.4563,1752281,0.0,1.0
2019-09-20,196.0,199.32,195.75,196.94,195.6417,6907346,0.0,1.0
2019-09-19,195.72,196.3702,194.52,195.65,194.3602,1490206,0.0,1.0
2019-09-18,196.36,196.83,193.26,195.04,193.7542,1912113,0.0,1.0
2019-09-17,194.04,196.78,194.04,196.72,195.4231,2464757,0.0,1.0
2019-09-16,196.16,196.16,193.51,194.08,192.8005,1597399,0.0,1.0
2019-09-13,194.41,196.67,194.33,195.47,194.1814,2428846,0.0,1.0
2019-09-12,196.085,196.83,193.9,194.0,192.7211,4448001,0.0,1.0
2019-09-11,197.13,198.46,195.17,195.84,194.5489,2875335,0.0,1.0
2019-09-10,200.81,201.97,195.36,196.87,195.5722,4866278,0.0,1.0
2019-09-09,202.53,202.95,198.79,202.34,201.0061,4353188,0.0,1.0
2019-09-06,208.64,209.35,206.1,207.73,206.3606,2387978,0.0,1.0
2019-09-05,206.63,208.47,205.97,207.65,206.2811,1685301,0.0,1.0
2019-09-04,206.7,207.37,203.0,206.32,204.9599,1935709,0.0,1.0
2019-09-03,207.3,207.885,204.68,205.52,204.1651,2193035,0.0,1.0
2019-08-30,208.99,210.97,206.88,208.62,207.2447,2621349,0.0,1.0
2019-08-29,209.0,209.84,205.26,206.98,205.6155,2391750,0.0,1.0
2019-08-28,205.51,210.1369,205.33,207.52,206.1519,3761858,0.0,1.0
2019-08-27,206.54,208.95,205.27,206.49,205.1287,3393961,0.0,1.0
2019-08-26,200.6,206.4,199.665,205.41,204.0559,4005205,0.0,1.0
2019-08-23,203.09,203.615,198.01,199.08,197.7676,3416351,0.0,1.0
2019-08-22,205.27,206.35,202.0,203.42,202.079,2677893,0.0,1.0
2019-08-21,204.45,205.37,203.58,203.94,202.5955,1755252,0.0,1.0
2019-08-20,205.9,206.12,202.9532,203.17,201.8306,2710827,0.0,1.0
2019-08-19,203.23,206.5,201.11,206.0,204.642,2974913,0.0,1.0
2019-08-16,201.83,205.46,200.36,204.02,202.675,3004345,0.0,1.0
2019-08-15,200.0,201.0,198.63,199.31,197.9961,3105128,0.0,1.0
2019-08-14,202.81,205.4,198.72,198.87,197.559,4533821,1.45,1.0
2019-08-13,203.43,211.9,203.0003,206.12,203.279,5647558,0.0,1.0
2019-08-12,197.9,208.78,197.25,205.78,202.9437,10599278,0.0,1.0
2019-08-09,185.15,200.0,182.82,196.25,193.5451,8417091,0.0,1.0
2019-08-08,183.47,185.42,183.05,185.23,182.677,2449025,0.0,1.0
2019-08-07,183.04,184.14,179.61,183.54,181.0102,3308936,0.0,1.0
2019-08-06,181.1,184.6,180.03,184.46,181.9176,3172905,0.0,1.0
2019-08-05,185.58,185.96,180.52,181.5,178.9984,4060033,0.0,1.0
2019-08-02,186.0,187.86,185.01,187.22,184.6395,2966478,0.0,1.0
2019-08-01,186.4,189.46,184.139,186.0,183.4363,3484741,0.0,1.0
2019-07-31,180.0,188.0,177.898,186.58,184.0083,7157551,0.0,1.0
2019-07-30,174.92,176.72,174.27,176.45,174.018,2005129,0.0,1.0
2019-07-29,175.27,177.16,174.84,176.08,173.6531,1985395,0.0,1.0
2019-07-26,174.27,175.51,173.12,175.34,172.9233,3070544,0.0,1.0
2019-07-25,175.78,176.5,173.77,174.11,171.7102,2145772,0.0,1.0
2019-07-24,176.02,176.75,174.88,175.77,173.3473,1898042,0.0,1.0
2019-07-23,176.43,176.77,175.52,176.01,173.584,2081791,0.0,1.0
2019-07-22,177.83,178.81,175.72,175.89,173.4657,2556793,0.0,1.0
2019-07-19,180.67,181.58,178.19,178.39,175.9312,2987154,0.0,1.0
2019-07-18,177.13,180.43,176.8,179.54,177.0654,2374419,0.0,1.0
2019-07-17,178.14,179.45,177.01,177.06,174.6196,1945227,0.0,1.0
2019-07-16,176.34,177.77,175.91,177.47,175.0239,2260139,0.0,1.0
