date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,317.72,317.93,310.56,310.72,310.72,2277963,0.0,1.0
2019-11-29,316.85,317.79,315.0,316.21,316.21,922924,0.0,1.0
2019-11-27,317.94,319.94,316.47,318.44,318.44,2018344,0.0,1.0
2019-11-26,319.0,320.18,316.05,316.27,316.27,3080101,0.0,1.0
2019-11-25,316.61,320.1842,316.27,319.62,319.62,1963663,0.0,1.0
2019-11-22,316.64,319.48,313.71,314.92,314.92,1321643,0.0,1.0
2019-11-21,311.14,315.7,309.8,315.25,315.25,1931735,0.0,1.0
2019-11-20,315.9,316.83,309.0,311.67,311.67,1995247,0.0,1.0
2019-11-19,316.65,325.67,316.65,317.7,317.7,3174632,0.0,1.0
2019-11-18,311.82,313.41,308.03,311.07,311.07,1585106,0.0,1.0
2019-11-15,312.27,313.06,310.075,312.91,312.91,1812044,0.0,1.0
2019-11-14,310.75,311.8374,306.11,308.97,308.97,1727126,0.0,1.0
2019-11-13,312.48,315.705,312.0,313.67,313.67,1334797,0.0,1.0
2019-11-12,314.0,316.405,313.257,315.53,315.53,1688039,0.0,1.0
2019-11-11,311.2,313.24,310.84,312.75,312.75,915445,0.0,1.0
2019-11-08,309.87,313.6,305.13,313.41,313.41,1783010,0.0,1.0
2019-11-07,315.58,319.5,310.65,311.74,311.74,2398255,0.0,1.0
2019-11-06,312.06,314.28,308.71,313.16,313.16,1807599,0.0,1.0
2019-11-05,305.0,316.78,304.47,314.04,314.04,3871146,0.0,1.0
2019-11-04,299.52,305.46,299.1001,305.0,305.0,3407532,0.0,1.0
2019-11-01,292.99,296.59,292.09,296.59,296.59,2123401,0.0,1.0
2019-10-31,289.8,294.08,287.8,292.85,292.85,2788055,0.0,1.0
2019-10-30,290.01,290.97,286.52,290.24,290.24,1728068,0.0,1.0
2019-10-29,292.28,293.7,288.07,288.16,288.16,1327229,0.0,1.0
2019-10-28,291.16,292.48,288.32,291.55,291.55,1242161,0.0,1.0
2019-10-25,283.26,291.37,283.2231,289.82,289.82,2086877,0.0,1.0
2019-10-24,282.89,283.5,278.7,282.31,282.31,1715972,0.0,1.0
2019-10-23,282.96,283.54,278.76,280.32,280.32,2099789,0.0,1.0
2019-10-22,289.59,290.86,287.24,287.46,287.46,1344039,0.0,1.0
2019-10-21,288.44,291.9,287.06,289.57,289.57,1303122,0.0,1.0
2019-10-18,289.5,289.94,284.0,286.73,286.73,1661095,0.0,1.0
2019-10-17,290.14,291.715,288.32,289.43,289.43,1362019,0.0,1.0
2019-10-16,289.0,290.1,286.54,288.48,288.48,2076893,0.0,1.0
2019-10-15,282.64,290.62,282.2,290.32,290.32,2149904,0.0,1.0
2019-10-14,280.42,282.65,279.88,281.66,281.66,1336895,0.0,1.0
2019-10-11,279.49,284.08,279.09,280.91,280.91,2389088,0.0,1.0
2019-10-10,274.56,278.78,273.655,274.45,274.45,1810886,0.0,1.0
2019-10-09,273.68,274.91,272.02,273.15,273.15,1666927,0.0,1.0
2019-10-08,274.06,274.9,268.91,270.33,270.33,2306738,0.0,1.0
2019-10-07,280.01,281.02,275.7,276.08,276.08,1910303,0.0,1.0
2019-10-04,278.49,281.7,275.2,281.43,281.43,2591666,0.0,1.0
2019-10-03,270.0,274.5,267.22,274.43,274.43,1901869,0.0,1.0
2019-10-02,273.46,273.8,268.32,270.07,270.07,2000229,0.0,1.0
2019-10-01,278.27,279.65,273.3824,274.85,274.85,1958915,0.0,1.0
2019-09-30,275.79,276.72,272.5,276.07,276.07,2020410,0.0,1.0
2019-09-27,276.63,281.2769,272.96,274.14,274.14,2894245,0.0,1.0
2019-09-26,275.26,278.66,272.68,276.91,276.91,2765225,0.0,1.0
2019-09-25,271.75,277.21,270.0,275.77,275.77,5595904,0.0,1.0
2019-09-24,287.32,288.9,279.75,282.31,282.31,2104247,0.0,1.0
2019-09-23,283.62,287.16,282.08,285.46,285.46,1558379,0.0,1.0
2019-09-20,287.67,288.4,281.82,284.26,284.26,3689318,2.65,1.0
2019-09-19,288.5,291.945,287.23,290.64,287.9555,1977918,0.0,1.0
2019-09-18,288.49,290.755,283.88,287.74,285.0823,1737065,0.0,1.0
2019-09-17,288.02,289.3,283.75,288.83,286.1623,2203473,0.0,1.0
2019-09-16,286.8,290.27,285.7,288.66,285.9938,2217572,0.0,1.0
2019-09-13,297.65,297.99,283.89,290.32,287.6385,6255696,0.0,1.0
2019-09-12,301.43,302.33,296.47,300.58,297.8037,3310930,0.0,1.0
2019-09-11,296.32,298.78,294.55,298.01,295.2575,1925989,0.0,1.0
2019-09-10,291.35,294.45,288.82,294.44,291.7205,2085102,0.0,1.0
2019-09-09,295.0,297.2,290.4,292.61,289.9074,2168905,0.0,1.0
2019-09-06,291.85,293.3,289.3,291.91,289.2138,1374758,0.0,1.0
2019-09-05,288.36,293.68,288.355,291.02,288.332,2094058,0.0,1.0
2019-09-04,278.79,284.35,278.2,283.02,280.4059,1986835,0.0,1.0
2019-09-03,280.0,280.85,270.93,274.05,271.5188,2221028,0.0,1.0
2019-08-30,285.36,285.9,279.9,282.64,280.0294,1672115,0.0,1.0
2019-08-29,281.49,285.49,281.05,283.37,280.7527,1643001,0.0,1.0
2019-08-28,274.33,276.41,270.47,276.06,273.5102,1713316,0.0,1.0
2019-08-27,279.15,280.22,274.91,275.57,273.0247,1429887,0.0,1.0
2019-08-26,276.95,277.95,275.0,277.22,274.6595,1425016,0.0,1.0
2019-08-23,283.99,285.48,271.05,272.13,269.6165,2576280,0.0,1.0
2019-08-22,288.39,289.41,284.55,287.62,284.9634,1229940,0.0,1.0
2019-08-21,284.64,288.26,284.05,287.5,284.8446,1938488,0.0,1.0
2019-08-20,278.16,284.955,277.01,280.37,277.7804,1792071,0.0,1.0
2019-08-19,279.5,280.065,275.6125,278.78,276.2051,1748910,0.0,1.0
2019-08-16,272.15,275.75,271.98,273.78,271.2513,1820305,0.0,1.0
2019-08-15,272.0,272.78,264.85,268.64,266.1587,2014233,0.0,1.0
2019-08-14,278.79,280.1525,270.38,271.56,269.0518,2710811,0.0,1.0
2019-08-13,275.3,285.5,272.03,283.7,281.0796,2294124,0.0,1.0
2019-08-12,273.38,278.21,272.54,275.64,273.0941,2003969,0.0,1.0
2019-08-09,269.58,280.55,269.58,275.73,273.1833,3073462,0.0,1.0
2019-08-08,270.38,272.5599,262.5,270.98,268.4771,2916338,0.0,1.0
