date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,71.59,71.69,70.53,70.92,70.92,1150103,0.0,1.0
2019-11-29,71.99,72.14,71.15,71.59,71.59,1118953,0.0,1.0
2019-11-27,70.13,72.15,69.73,72.11,72.11,1491135,0.0,1.0
2019-11-26,71.09,71.88,70.6,71.84,71.84,2293943,0.0,1.0
2019-11-25,69.64,70.84,69.59,70.68,70.68,2479110,0.0,1.0
2019-11-22,69.0,69.92,68.73,69.44,69.44,1961914,0.0,1.0
2019-11-21,67.73,68.74,67.45,68.47,68.47,1966692,0.0,1.0
2019-11-20,67.84,68.24,67.1,67.67,67.67,1808836,0.0,1.0
2019-11-19,67.87,68.34,67.67,68.14,68.14,2942441,0.0,1.0
2019-11-18,68.44,68.865,67.41,67.61,67.61,3198211,0.0,1.0
2019-11-15,67.26,68.7804,67.09,68.4,68.4,6148715,0.0,1.0
2019-11-14,66.97,67.51,66.96,67.05,67.05,2320816,0.0,1.0
2019-11-13,66.84,67.355,66.475,66.86,66.86,1556686,0.0,1.0
2019-11-12,66.54,67.28,66.26,67.01,67.01,2133963,0.0,1.0
2019-11-11,66.95,67.26,66.135,66.26,66.26,1527151,0.0,1.0
2019-11-08,66.63,67.34,66.26,67.31,67.31,1536431,0.0,1.0
2019-11-07,67.2,67.6943,66.76,66.83,66.83,1320411,0.0,1.0
2019-11-06,67.3,67.72,66.84,66.97,66.97,2061046,0.0,1.0
2019-11-05,67.62,67.76,67.12,67.21,67.21,1825874,0.0,1.0
2019-11-04,67.75,68.06,67.37,67.46,67.46,1802749,0.0,1.0
2019-11-01,67.39,67.98,67.26,67.53,67.53,1980303,0.0,1.0
2019-10-31,67.86,68.13,66.68,67.12,67.12,2056505,0.0,1.0
2019-10-30,67.57,68.24,67.28,68.1,68.1,2259328,0.0,1.0
2019-10-29,66.69,67.73,66.68,67.36,67.36,2518923,0.0,1.0
2019-10-28,66.56,67.355,66.42,67.0,67.0,2642861,0.0,1.0
2019-10-25,67.5,68.49,65.61,66.43,66.43,2988980,0.0,1.0
2019-10-24,67.82,68.12,67.21,67.48,67.48,2470401,0.0,1.0
2019-10-23,67.44,67.68,66.77,67.57,67.57,2191878,0.0,1.0
2019-10-22,67.94,68.375,67.38,67.47,67.47,1597676,0.0,1.0
2019-10-21,67.92,68.4,67.73,68.16,68.16,1480784,0.0,1.0
2019-10-18,68.31,68.49,67.71,67.76,67.76,1564263,0.0,1.0
2019-10-17,68.22,68.32,67.422,68.11,68.11,1727884,0.0,1.0
2019-10-16,68.0,68.44,67.72,68.16,68.16,1801032,0.0,1.0
2019-10-15,67.98,68.37,67.69,68.09,68.09,1270478,0.0,1.0
2019-10-14,67.53,67.985,67.04,67.74,67.74,1556787,0.0,1.0
2019-10-11,67.27,68.28,67.025,67.58,67.58,2042273,0.0,1.0
2019-10-10,65.46,67.0,65.44,66.84,66.84,2880253,0.0,1.0
2019-10-09,65.38,65.935,65.1,65.71,65.71,1425968,0.0,1.0
2019-10-08,65.69,66.24,65.02,65.1,65.1,2419601,0.0,1.0
2019-10-07,66.6,66.81,65.86,66.31,66.31,1266662,0.0,1.0
2019-10-04,66.32,66.95,66.15,66.82,66.82,1105922,0.0,1.0
2019-10-03,66.36,66.87,65.52,66.14,66.14,1856973,0.0,1.0
2019-10-02,67.16,67.19,65.72,66.54,66.54,2105801,0.0,1.0
2019-10-01,68.37,69.04,67.165,67.46,67.46,1947584,0.0,1.0
2019-09-30,68.37,68.83,68.02,68.17,68.17,3206893,0.0,1.0
2019-09-27,68.52,69.03,67.77,68.37,68.37,1753729,0.0,1.0
2019-09-26,68.46,68.97,67.49,68.36,68.36,1366430,0.0,1.0
2019-09-25,67.95,68.49,67.74,68.23,68.23,1262799,0.0,1.0
2019-09-24,68.75,69.0,67.82,68.33,68.33,1685749,0.18,1.0
2019-09-23,68.21,68.77,67.71,68.58,68.3998,1209256,0.0,1.0
2019-09-20,67.45,68.63,67.41,68.44,68.2602,3982370,0.0,1.0
2019-09-19,67.68,68.51,67.48,67.68,67.5022,1211680,0.0,1.0
2019-09-18,68.19,68.484,66.91,67.57,67.3925,1288632,0.0,1.0
2019-09-17,67.72,68.32,67.66,68.14,67.961,1184706,0.0,1.0
2019-09-16,67.45,68.12,67.2508,67.76,67.582,1003627,0.0,1.0
2019-09-13,68.25,68.75,67.64,67.85,67.6717,1274350,0.0,1.0
2019-09-12,68.55,69.2,67.96,68.01,67.8313,1651354,0.0,1.0
2019-09-11,67.19,68.39,66.6675,68.33,68.1505,1431958,0.0,1.0
2019-09-10,66.23,67.36,65.86,67.35,67.173,2248525,0.0,1.0
2019-09-09,67.59,67.75,66.05,66.5,66.3253,2859075,0.0,1.0
2019-09-06,67.91,67.955,67.2195,67.36,67.183,1857163,0.0,1.0
2019-09-05,67.92,68.21,67.38,67.85,67.6717,1467367,0.0,1.0
2019-09-04,67.95,68.26,66.71,67.28,67.1032,1403000,0.0,1.0
2019-09-03,68.3,68.76,66.84,67.39,67.2129,2275657,0.0,1.0
2019-08-30,69.55,69.8593,68.425,68.91,68.7289,1965249,0.0,1.0
2019-08-29,69.08,69.4,68.64,69.0,68.8187,1142325,0.0,1.0
2019-08-28,67.91,69.08,67.895,68.58,68.3998,1294216,0.0,1.0
2019-08-27,68.86,69.3,67.96,68.19,68.0108,2069677,0.0,1.0
2019-08-26,68.24,68.86,67.98,68.52,68.34,1835352,0.0,1.0
2019-08-23,71.25,71.48,67.57,67.93,67.7515,3778421,0.0,1.0
2019-08-22,72.84,72.86,71.37,71.68,71.4917,1361094,0.0,1.0
2019-08-21,71.97,72.075,71.61,71.78,71.5914,1331059,0.0,1.0
2019-08-20,71.9,71.98,71.3,71.38,71.1925,1685706,0.0,1.0
2019-08-19,71.28,72.22,70.92,71.83,71.6413,1883754,0.0,1.0
2019-08-16,69.94,70.97,69.53,70.65,70.4644,1979453,0.0,1.0
2019-08-15,69.45,69.965,69.22,69.25,69.0681,2296444,0.0,1.0
2019-08-14,70.18,70.46,69.31,69.42,69.2376,2270066,0.0,1.0
2019-08-13,70.33,71.74,70.02,70.88,70.6938,1714679,0.0,1.0
2019-08-12,71.23,71.48,70.09,70.24,70.0555,1775103,0.0,1.0
2019-08-09,71.48,71.785,70.88,71.41,71.2224,1515531,0.0,1.0
2019-08-08,70.22,71.63,70.08,71.49,71.3022,1943204,0.0,1.0
2019-08-07,69.88,70.35,69.1,70.09,69.9058,2402821,0.0,1.0
2019-08-06,69.81,70.64,69.36,70.5,70.3148,1824591,0.0,1.0
2019-08-05,70.2,70.91,69.47,69.67,69.487,2784631,0.0,1.0
2019-08-02,71.99,72.0,70.5901,70.97,70.7835,2207378,0.0,1.0
2019-08-01,71.75,72.78,71.57,71.93,71.741,3232962,0.0,1.0
2019-07-31,73.59,73.78,71.03,71.65,71.4618,2479287,0.0,1.0
2019-07-30,73.4,73.98,73.2,73.59,73.3967,1652575,0.0,1.0
2019-07-29,73.0,73.82,72.53,73.67,73.4764,1542932,0.0,1.0
2019-07-26,72.78,73.51,71.96,73.11,72.9179,2691962,0.0,1.0
2019-07-25,71.49,73.33,70.52,72.92,72.7284,4066589,0.0,1.0
2019-07-24,71.62,72.4,71.15,72.21,72.0203,2739353,0.0,1.0
2019-07-23,71.98,72.12,71.06,72.08,71.8906,2243577,0.0,1.0
2019-07-22,72.96,73.065,71.905,72.0,71.8108,3288145,0.0,1.0
2019-07-19,74.47,74.47,72.6435,72.83,72.6386,2228939,0.0,1.0
2019-07-18,74.51,74.58,73.78,74.0,73.8056,2419660,0.0,1.0
2019-07-17,74.39,74.7894,74.07,74.43,74.2344,2111467,0.0,1.0
2019-07-16,76.03,76.14,74.14,74.48,74.2843,3062733,0.0,1.0
2019-07-15,76.19,76.27,75.72,75.83,75.6308,1281372,0.0,1.0
2019-07-12,76.31,76.47,75.51,76.12,75.92,1406737,0.0,1.0
2019-07-11,75.85,76.2,75.48,76.15,75.9499,1408713,0.0,1.0
2019-07-10,75.14,75.73,75.0,75.68,75.4812,1657852,0.0,1.0
2019-07-09,74.32,75.03,74.2,74.99,74.793,1574144,0.0,1.0
2019-07-08,74.24,74.73,73.85,74.56,74.3641,1670517,0.0,1.0
2019-07-05,74.21,74.5,73.54,74.5,74.3043,1238298,0.0,1.0
2019-07-03,75.0,76.0,74.12,74.53,74.3342,1526801,0.0,1.0
2019-07-02,74.52,75.075,74.15,74.95,74.7531,2525953,0.0,1.0
2019-07-01,73.61,74.42,73.5,74.27,74.0749,2455050,0.0,1.0
2019-06-28,71.85,73.355,71.84,73.3,73.1074,6527747,0.0,1.0
2019-06-27,71.08,72.01,70.81,71.79,71.6014,1805575,0.0,1.0
