date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,299.75,300.2,294.27,297.39,297.39,2453837,0.0,1.0
2019-11-29,300.82,300.89,299.66,299.81,299.81,981610,0.0,1.0
2019-11-27,301.82,302.79,300.57,300.76,300.76,1907095,0.0,1.0
2019-11-26,299.26,301.35,298.82,301.24,301.24,3360612,0.0,1.0
2019-11-25,300.29,300.626,297.55,299.05,299.05,1613126,0.0,1.0
2019-11-22,301.94,301.94,297.23,299.31,299.31,1277594,0.0,1.0
2019-11-21,300.69,301.87,299.52,300.27,300.27,1303042,0.0,1.0
2019-11-20,302.44,303.17,298.0108,300.57,300.57,1979783,0.0,1.0
2019-11-19,304.5,304.6446,301.45,302.24,302.24,1761832,0.0,1.0
2019-11-18,303.11,306.38,302.75,304.54,304.54,1242504,0.0,1.0
2019-11-15,305.31,305.44,301.6,303.66,303.66,1707125,0.0,1.0
2019-11-14,304.39,305.8884,302.265,304.59,304.59,1337458,0.0,1.0
2019-11-13,300.18,304.0,299.52,302.9,302.9,1554889,0.0,1.0
2019-11-12,300.83,302.73,298.66,300.5,300.5,1540974,0.0,1.0
2019-11-11,301.55,302.33,299.7,300.84,300.84,1160960,0.0,1.0
2019-11-08,302.74,304.29,301.28,302.62,302.62,1502221,0.0,1.0
2019-11-07,303.93,307.1,302.48,305.21,305.21,2399391,0.0,1.0
2019-11-06,299.97,301.65,297.925,301.57,301.57,1675008,0.0,1.0
2019-11-05,297.09,299.6925,295.805,299.18,299.18,2204542,0.0,1.0
2019-11-04,297.16,298.22,295.17,296.82,296.82,1651608,0.0,1.0
2019-11-01,297.99,298.415,295.5,296.09,296.09,1364483,0.0,1.0
2019-10-31,298.36,299.622,294.55,297.11,297.11,2277444,0.65,1.0
2019-10-30,296.92,300.25,295.97,299.84,299.1855,1264263,0.0,1.0
2019-10-29,298.21,298.94,295.81,295.86,295.2141,1295287,0.0,1.0
2019-10-28,295.7,299.09,295.21,298.94,298.2874,1614402,0.0,1.0
2019-10-25,295.52,297.25,295.11,296.5,295.8528,1686226,0.0,1.0
2019-10-24,295.05,298.28,294.56,297.05,296.4015,2117020,0.0,1.0
2019-10-23,299.58,300.0523,297.18,297.32,296.671,1810559,0.0,1.0
2019-10-22,301.61,304.88,299.95,299.97,299.3152,1970748,0.0,1.0
2019-10-21,303.0,303.51,300.17,301.08,300.4228,1322894,0.0,1.0
2019-10-18,302.0,304.0,300.9764,302.86,302.1989,1799298,0.0,1.0
2019-10-17,298.85,302.61,298.85,302.4,301.7399,1811818,0.0,1.0
2019-10-16,296.8,298.97,295.08,298.78,298.1278,1827669,0.0,1.0
2019-10-15,298.32,299.64,297.23,298.39,297.7386,1601860,0.0,1.0
2019-10-14,298.0,300.34,297.5,297.52,296.8705,1313041,0.0,1.0
2019-10-11,298.07,300.76,297.36,297.6,296.9503,1891654,0.0,1.0
2019-10-10,298.63,299.48,296.26,297.14,296.4914,1721504,0.0,1.0
2019-10-09,293.11,298.57,293.11,296.9,296.2519,2287230,0.0,1.0
2019-10-08,292.95,295.58,290.45,291.89,291.2528,2224561,0.0,1.0
2019-10-07,291.04,295.69,290.5,293.41,292.7695,2051519,0.0,1.0
2019-10-04,287.85,291.95,283.32,291.67,291.0333,4536695,0.0,1.0
2019-10-03,285.39,290.86,281.6001,289.0,288.3691,3958168,0.0,1.0
2019-10-02,283.23,285.79,282.22,285.11,284.4876,2506362,0.0,1.0
2019-10-01,288.04,288.68,283.18,283.93,283.3102,2654476,0.0,1.0
2019-09-30,287.7,288.62,286.57,288.11,287.4811,2179096,0.0,1.0
2019-09-27,289.53,289.53,284.4,285.95,285.3258,1538930,0.0,1.0
2019-09-26,289.43,289.8099,286.6,288.26,287.6307,1891317,0.0,1.0
2019-09-25,288.26,289.68,286.87,288.51,287.8802,1848371,0.0,1.0
2019-09-24,289.3,292.62,286.4,287.91,287.2815,2495624,0.0,1.0
2019-09-23,286.36,288.13,285.75,287.57,286.9422,2058102,0.0,1.0
2019-09-20,288.75,289.41,286.14,286.36,285.7349,3473365,0.0,1.0
2019-09-19,289.49,289.76,284.71,287.83,287.2017,3055125,0.0,1.0
2019-09-18,290.7,293.57,288.8,292.43,291.7916,1687336,0.0,1.0
2019-09-17,289.56,291.7858,288.69,291.41,290.7739,1776040,0.0,1.0
2019-09-16,290.57,291.3769,288.3402,288.69,288.0598,1508893,0.0,1.0
