date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,71.42,71.74,69.98,70.01,70.01,3584757,0.0,1.0
2019-11-29,71.6,71.88,71.265,71.54,71.54,1500947,0.0,1.0
2019-11-27,71.7,71.99,71.42,71.89,71.89,1972817,0.24,1.0
2019-11-26,71.66,72.41,71.42,71.95,71.7106,4562110,0.0,1.0
2019-11-25,70.39,71.95,70.1101,71.79,71.5511,3488867,0.0,1.0
2019-11-22,69.16,70.58,69.14,70.51,70.2754,2526021,0.0,1.0
2019-11-21,69.6,69.86,69.18,69.4,69.1691,2795973,0.0,1.0
2019-11-20,70.55,70.64,69.425,69.56,69.3286,3365995,0.0,1.0
2019-11-19,71.55,71.55,70.89,71.01,70.7737,2365910,0.0,1.0
2019-11-18,71.15,71.51,70.755,71.02,70.7837,4512958,0.0,1.0
2019-11-15,72.31,72.31,71.36,71.61,71.3717,2860936,0.0,1.0
2019-11-14,71.94,72.12,71.42,71.84,71.601,1606420,0.0,1.0
2019-11-13,72.21,72.36,71.77,71.95,71.7106,2473802,0.0,1.0
2019-11-12,73.54,73.62,72.53,72.75,72.5079,2718226,0.0,1.0
2019-11-11,73.66,74.048,73.22,73.9,73.6541,1336002,0.0,1.0
2019-11-08,74.06,74.21,73.6,74.03,73.7837,2258839,0.0,1.0
2019-11-07,73.91,74.715,73.76,74.08,73.8335,3467250,0.0,1.0
2019-11-06,73.8,73.8,72.79,73.64,73.395,3125285,0.0,1.0
2019-11-05,73.31,74.35,73.17,73.88,73.6342,3418263,0.0,1.0
2019-11-04,72.7,73.52,72.37,73.49,73.2455,4229035,0.0,1.0
2019-11-01,70.94,72.29,70.5,72.27,72.0295,4647334,0.0,1.0
2019-10-31,70.73,71.05,69.64,70.27,70.0362,3865178,0.0,1.0
2019-10-30,70.88,71.28,70.06,71.05,70.8136,2699557,0.0,1.0
2019-10-29,71.11,71.44,70.675,70.83,70.5943,3934290,0.0,1.0
2019-10-28,72.53,72.61,71.31,71.52,71.282,5488994,0.0,1.0
2019-10-25,71.93,72.49,71.57,72.32,72.0794,2675467,0.0,1.0
2019-10-24,72.53,72.74,71.26,71.66,71.4216,3080631,0.0,1.0
2019-10-23,72.0,72.43,71.55,72.26,72.0196,7080582,0.0,1.0
2019-10-22,70.76,72.315,69.98,72.29,72.0495,7640181,0.0,1.0
2019-10-21,68.91,70.81,68.91,70.75,70.5146,8598790,0.0,1.0
2019-10-18,68.55,69.205,68.3,68.67,68.4415,20118873,0.0,1.0
2019-10-17,70.96,72.12,69.54,69.78,69.5478,11549052,0.0,1.0
2019-10-16,69.92,69.92,68.53,69.0,68.7704,4667267,0.0,1.0
2019-10-15,68.56,69.6,68.4,69.17,68.9398,4224956,0.0,1.0
2019-10-14,68.61,68.9399,68.01,68.56,68.3319,3964030,0.0,1.0
2019-10-11,68.0,69.64,67.56,69.05,68.8202,4399198,0.0,1.0
2019-10-10,66.25,67.03,66.2201,66.94,66.7173,6256417,0.0,1.0
2019-10-09,66.18,66.87,66.04,66.215,65.9947,4043543,0.0,1.0
2019-10-08,66.05,66.795,65.63,65.855,65.6359,4062138,0.0,1.0
2019-10-07,66.58,67.42,66.23,66.79,66.5678,3520465,0.0,1.0
2019-10-04,66.34,67.03,65.93,66.71,66.488,6535697,0.0,1.0
2019-10-03,66.13,67.23,65.37,66.955,66.7322,4968544,0.0,1.0
2019-10-02,66.61,67.31,66.1,66.27,66.0495,6953536,0.0,1.0
2019-10-01,69.61,70.0,66.7,67.02,66.797,5341153,0.0,1.0
2019-09-30,68.95,69.92,68.95,69.27,69.0395,3137681,0.0,1.0
2019-09-27,69.68,70.0,68.55,68.91,68.6807,2597743,0.0,1.0
2019-09-26,68.89,69.76,68.68,69.42,69.189,2963359,0.0,1.0
2019-09-25,68.85,69.19,68.21,68.87,68.6408,3110392,0.0,1.0
2019-09-24,69.22,70.39,68.35,68.63,68.4016,5397482,0.0,1.0
2019-09-23,68.86,69.06,67.97,68.86,68.6309,4143728,0.0,1.0
2019-09-20,70.72,71.0,68.415,68.62,68.3917,13404287,0.0,1.0
2019-09-19,71.34,71.445,70.57,70.79,70.5545,2857741,0.0,1.0
2019-09-18,70.92,71.24,70.08,71.15,70.9133,3678138,0.0,1.0
2019-09-17,72.36,72.36,70.751,71.18,70.9432,3119096,0.0,1.0
2019-09-16,71.71,72.85,71.55,72.39,72.1491,5189971,0.0,1.0
2019-09-13,71.98,72.745,71.98,72.47,72.2289,5511329,0.0,1.0
2019-09-12,71.04,71.81,70.4707,71.55,71.3119,6672922,0.0,1.0
2019-09-11,70.69,71.23,69.76,70.97,70.7339,8121567,0.0,1.0
2019-09-10,69.04,70.81,69.03,70.69,70.4548,6610680,0.0,1.0
2019-09-09,67.91,69.07,67.52,69.05,68.8202,4890831,0.0,1.0
2019-09-06,68.44,68.59,67.14,67.52,67.2953,5419922,0.0,1.0
2019-09-05,68.01,68.78,67.96,68.06,67.8335,5767235,0.0,1.0
2019-09-04,66.55,67.55,66.55,67.5,67.2754,6065914,0.0,1.0
2019-09-03,66.34,66.72,65.44,66.35,66.1292,3794629,0.0,1.0
2019-08-30,67.14,67.67,66.91,67.02,66.797,3897687,0.0,1.0
2019-08-29,65.9,67.0,65.85,66.51,66.2887,4669914,0.24,1.0
2019-08-28,64.25,65.41,64.0693,65.39,64.9381,3676111,0.0,1.0
2019-08-27,65.53,65.65,64.41,64.41,63.9649,3526938,0.0,1.0
2019-08-26,65.24,65.6515,64.53,65.03,64.5806,3951987,0.0,1.0
2019-08-23,65.7,66.25,64.27,64.62,64.1734,5330550,0.0,1.0
2019-08-22,65.74,66.76,65.3901,66.14,65.6829,5539260,0.0,1.0
2019-08-21,65.23,65.57,64.86,65.34,64.8884,3416985,0.0,1.0
2019-08-20,65.06,65.33,64.7257,64.79,64.3422,3311331,0.0,1.0
2019-08-19,66.13,66.42,65.17,65.29,64.8388,3568974,0.0,1.0
2019-08-16,65.04,65.5,64.64,65.09,64.6402,3869052,0.0,1.0
