date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,64.09,64.16,63.42,63.54,63.54,2385611,0.0,1.0
2019-11-29,63.92,64.37,63.9,64.11,64.11,1356247,0.0,1.0
2019-11-27,63.95,64.18,63.44,64.15,64.15,1483005,0.0,1.0
2019-11-26,63.31,63.84,63.1,63.73,63.73,3332178,0.0,1.0
2019-11-25,63.33,63.585,63.22,63.36,63.36,2256479,0.0,1.0
2019-11-22,61.99,63.23,61.95,63.19,63.19,3049491,0.0,1.0
2019-11-21,63.46,63.58,63.09,63.4,63.4,2296130,0.0,1.0
2019-11-20,63.62,63.8,63.0742,63.51,63.51,2774457,0.0,1.0
2019-11-19,63.88,63.96,63.4854,63.92,63.92,2108794,0.0,1.0
2019-11-18,62.97,63.66,62.97,63.63,63.63,2812820,0.2,1.0
2019-11-15,63.4,63.4,62.68,63.38,63.1814,2553649,0.0,1.0
2019-11-14,62.29,63.14,62.02,63.11,62.9123,2600933,0.0,1.0
2019-11-13,62.58,62.95,62.38,62.51,62.3141,1804113,0.0,1.0
2019-11-12,62.8,62.96,62.5,62.84,62.6431,2726071,0.0,1.0
2019-11-11,62.68,62.8996,62.48,62.64,62.4437,1534321,0.0,1.0
2019-11-08,62.89,62.98,62.38,62.86,62.663,1858091,0.0,1.0
2019-11-07,62.74,63.565,62.57,63.03,62.8325,2663642,0.0,1.0
2019-11-06,62.0,62.43,61.89,62.26,62.0649,2248216,0.0,1.0
2019-11-05,62.17,62.2,61.36,61.92,61.726,2340492,0.0,1.0
2019-11-04,61.47,62.15,61.35,62.07,61.8755,3750381,0.0,1.0
2019-11-01,61.39,61.67,60.87,61.23,61.0381,3502387,0.0,1.0
2019-10-31,60.0,62.2,59.89,60.94,60.7491,5746184,0.0,1.0
2019-10-30,60.8,60.8697,59.75,59.89,59.7023,3413968,0.0,1.0
2019-10-29,60.71,61.11,60.37,60.45,60.2606,3459377,0.0,1.0
2019-10-28,60.44,60.89,60.2,60.67,60.4799,2727893,0.0,1.0
2019-10-25,60.51,60.9,60.27,60.46,60.2706,2993159,0.0,1.0
2019-10-24,60.86,61.0,60.18,60.51,60.3204,1928232,0.0,1.0
2019-10-23,59.97,60.37,59.59,60.35,60.1609,2816310,0.0,1.0
2019-10-22,60.93,61.2297,59.7,59.9,59.7123,2693700,0.0,1.0
2019-10-21,61.32,61.59,60.3,60.78,60.5896,3157636,0.0,1.0
2019-10-18,61.43,61.43,60.6,60.64,60.45,3227665,0.0,1.0
2019-10-17,61.52,61.77,60.965,61.38,61.1877,2696518,0.0,1.0
2019-10-16,61.4,61.98,61.22,61.39,61.1976,2668329,0.0,1.0
2019-10-15,60.4,61.675,60.37,61.335,61.1428,2249149,0.0,1.0
2019-10-14,60.6,60.7,60.02,60.38,60.1908,1778661,0.0,1.0
2019-10-11,60.45,61.43,60.31,60.61,60.4201,2588832,0.0,1.0
2019-10-10,59.05,60.31,58.965,59.8,59.6126,2394434,0.0,1.0
2019-10-09,59.74,59.75,59.14,59.44,59.2538,1957695,0.0,1.0
2019-10-08,59.71,59.88,58.89,58.9,58.7154,4180229,0.0,1.0
2019-10-07,60.28,60.6,60.08,60.28,60.0911,2129870,0.0,1.0
2019-10-04,60.37,60.85,60.26,60.51,60.3204,2375654,0.0,1.0
2019-10-03,59.99,60.32,59.63,60.18,59.9914,2633923,0.0,1.0
2019-10-02,60.03,60.61,59.495,59.94,59.7522,3774853,0.0,1.0
2019-10-01,60.4,61.79,60.4,60.62,60.4301,3237487,0.0,1.0
2019-09-30,59.05,60.41,58.87,60.265,60.0762,4424482,0.0,1.0
2019-09-27,60.02,60.12,58.655,58.75,58.5659,2920899,0.0,1.0
2019-09-26,60.0,60.19,59.03,59.655,59.4681,2544086,0.0,1.0
2019-09-25,59.97,60.48,59.42,60.19,60.0014,3886752,0.0,1.0
2019-09-24,61.03,61.49,59.4942,59.92,59.7323,4999488,0.0,1.0
2019-09-23,61.7,61.72,60.795,60.825,60.6344,3998829,0.0,1.0
2019-09-20,63.11,63.33,61.461,61.8,61.6064,8179057,0.0,1.0
2019-09-19,63.32,64.08,63.08,63.47,63.2711,2826872,0.0,1.0
2019-09-18,63.7,63.825,62.7,63.51,63.311,2887368,0.0,1.0
2019-09-17,64.06,64.06,63.21,64.0,63.7995,2146738,0.0,1.0
2019-09-16,64.0,64.54,63.87,63.99,63.7895,2722524,0.0,1.0
2019-09-13,65.02,65.2,64.19,64.33,64.1284,3071437,0.0,1.0
2019-09-12,65.61,65.62,64.36,64.84,64.6368,2580524,0.0,1.0
2019-09-11,64.92,65.44,64.41,65.36,65.1552,3186532,0.0,1.0
2019-09-10,63.94,64.77,63.27,64.74,64.5371,2368590,0.0,1.0
2019-09-09,64.53,64.64,63.86,64.18,63.9789,2030984,0.0,1.0
2019-09-06,64.27,65.0,64.09,64.45,64.2481,2927825,0.0,1.0
2019-09-05,63.16,64.31,63.16,64.26,64.0587,3167923,0.0,1.0
2019-09-04,62.18,62.55,62.04,62.41,62.2144,2231634,0.0,1.0
2019-09-03,60.95,61.62,60.84,61.48,61.2874,3168025,0.0,1.0
2019-08-30,61.83,61.83,61.09,61.39,61.1976,2535558,0.0,1.0
2019-08-29,60.83,61.46,60.75,61.38,61.1877,2667924,0.0,1.0
2019-08-28,59.8,60.31,59.2,60.24,60.0512,3168984,0.0,1.0
2019-08-27,60.21,60.27,59.44,59.7,59.5129,2638850,0.0,1.0
