date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,112.48,112.74,110.89,111.91,111.91,1320806,0.0,1.0
2019-11-29,113.01,113.135,112.55,112.81,112.81,1147678,0.0,1.0
2019-11-27,114.28,114.28,112.68,113.52,113.52,1523914,0.0,1.0
2019-11-26,114.24,114.65,113.16,113.97,113.97,7134651,0.0,1.0
2019-11-25,114.16,114.73,113.91,114.04,114.04,1423668,0.0,1.0
2019-11-22,113.38,114.29,112.96,113.75,113.75,1800187,0.0,1.0
2019-11-21,113.05,113.45,112.5,113.24,113.24,1875973,0.0,1.0
2019-11-20,113.08,113.69,112.48,112.92,112.92,1535988,0.0,1.0
2019-11-19,113.06,113.7,112.48,113.33,113.33,1481918,0.0,1.0
2019-11-18,112.61,112.88,112.22,112.55,112.55,1458760,0.0,1.0
2019-11-15,111.9,112.67,111.4,112.59,112.59,2285560,0.0,1.0
2019-11-14,111.46,111.93,111.14,111.39,111.39,1213918,0.0,1.0
2019-11-13,111.05,112.255,111.05,111.94,111.94,1043160,0.0,1.0
2019-11-12,111.57,111.81,111.03,111.43,111.43,1909471,0.0,1.0
2019-11-11,110.65,111.51,110.31,111.31,111.31,1546142,0.0,1.0
2019-11-08,109.95,110.755,109.6,110.73,110.73,1139414,0.0,1.0
2019-11-07,109.9,110.35,109.348,110.11,110.11,2038971,0.0,1.0
2019-11-06,108.74,109.89,108.6,109.59,109.59,1467213,0.0,1.0
2019-11-05,109.79,110.03,108.64,108.79,108.79,2124495,0.0,1.0
2019-11-04,109.57,110.06,109.22,109.25,109.25,1437355,0.0,1.0
2019-11-01,109.07,109.93,108.6,109.54,109.54,1509951,0.0,1.0
2019-10-31,108.58,108.97,108.16,108.86,108.86,1421944,0.0,1.0
2019-10-30,107.36,108.85,106.99,108.82,108.82,1643640,0.0,1.0
2019-10-29,107.04,107.58,106.735,107.17,107.17,1795291,0.0,1.0
2019-10-28,105.53,107.11,105.38,106.87,106.87,1582692,0.0,1.0
2019-10-25,108.12,108.12,104.32,105.64,105.64,2957486,0.0,1.0
2019-10-24,106.98,108.46,105.0,107.77,107.77,3183592,0.0,1.0
2019-10-23,104.24,104.59,103.35,103.67,103.67,2162914,0.0,1.0
2019-10-22,103.29,104.355,103.217,104.1,104.1,1627552,0.0,1.0
2019-10-21,101.65,103.96,101.65,103.19,103.19,2003041,0.0,1.0
2019-10-18,100.79,101.95,100.51,101.52,101.52,2334145,0.0,1.0
2019-10-17,99.91,100.86,99.09,100.79,100.79,963342,0.0,1.0
2019-10-16,99.04,99.94,98.34,99.93,99.93,1179573,0.0,1.0
2019-10-15,98.76,99.77,98.45,99.45,99.45,1049694,0.0,1.0
2019-10-14,98.13,98.875,97.68,98.29,98.29,1004593,0.0,1.0
2019-10-11,98.0,99.46,97.45,98.22,98.22,1157822,0.0,1.0
2019-10-10,96.29,97.33,96.29,96.96,96.96,1200049,0.0,1.0
2019-10-09,96.63,96.92,95.99,96.59,96.59,1024737,0.0,1.0
2019-10-08,96.07,96.54,94.2,95.78,95.78,1585613,0.0,1.0
2019-10-07,96.23,97.58,95.575,96.8,96.8,2571086,0.0,1.0
2019-10-04,96.11,96.74,95.675,96.51,96.51,1307164,0.0,1.0
2019-10-03,95.04,95.92,94.17,95.69,95.69,1444848,0.0,1.0
2019-10-02,95.3,95.7,94.75,95.18,95.18,1906434,0.0,1.0
2019-10-01,96.95,97.39,95.71,96.03,96.03,1678115,0.0,1.0
2019-09-30,95.89,96.935,95.76,96.52,96.52,1447776,0.0,1.0
2019-09-27,96.42,96.645,94.99,95.81,95.81,1572241,0.0,1.0
2019-09-26,96.13,96.59,95.62,95.84,95.84,1700685,0.0,1.0
2019-09-25,95.42,96.15,94.36,95.97,95.97,1466952,0.0,1.0
2019-09-24,96.51,96.84,94.68,95.16,95.16,2332728,0.0,1.0
2019-09-23,96.76,97.17,96.23,96.25,96.25,1305370,0.0,1.0
2019-09-20,96.22,97.12,96.12,96.97,96.97,3273122,0.0,1.0
2019-09-19,96.64,97.22,95.97,96.45,96.45,1508283,0.0,1.0
2019-09-18,95.73,96.91,95.37,96.72,96.72,1574808,0.0,1.0
2019-09-17,96.53,96.77,95.39,95.72,95.72,2057815,0.0,1.0
