date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-04,81.71,82.4853,81.61,82.25,82.25,4844228,0.0,1.0
2019-12-03,82.22,82.58,81.51,81.94,81.94,4853672,0.0,1.0
2019-12-02,82.87,82.95,81.99,82.0,82.0,3602906,0.0,1.0
2019-11-29,83.39,83.65,82.79,83.11,83.11,1872551,0.0,1.0
2019-11-27,83.48,83.7,83.01,83.08,83.08,2145797,0.0,1.0
2019-11-26,83.35,83.845,83.03,83.46,83.46,4152307,0.0,1.0
2019-11-25,83.55,83.93,82.965,83.23,83.23,2687720,0.0,1.0
2019-11-22,83.2,83.35,82.355,83.24,83.24,2383909,0.0,1.0
2019-11-21,82.99,83.16,82.61,83.02,83.02,2555430,0.0,1.0
2019-11-20,82.55,83.06,82.29,82.9,82.9,2722483,0.0,1.0
2019-11-19,82.33,82.68,81.74,82.42,82.42,2383271,0.0,1.0
2019-11-18,82.26,83.16,82.22,82.58,82.58,3707917,0.0,1.0
2019-11-15,81.51,82.16,81.3923,82.11,82.11,2859288,0.0,1.0
2019-11-14,80.88,81.81,80.84,81.56,81.56,3296964,0.0,1.0
2019-11-13,80.02,81.03,79.91,80.84,80.84,2008899,0.0,1.0
2019-11-12,79.98,80.08,79.53,79.72,79.72,2170073,0.0,1.0
2019-11-11,80.08,80.23,79.52,79.62,79.62,2311580,0.0,1.0
2019-11-08,80.3,80.97,79.95,80.28,80.28,3361090,0.0,1.0
2019-11-07,80.62,81.0,79.94,80.31,80.31,3592416,0.0,1.0
2019-11-06,81.36,81.44,80.81,80.94,80.94,3983695,0.0,1.0
2019-11-05,82.76,82.87,81.33,81.35,81.35,3524550,0.0,1.0
2019-11-04,83.04,83.46,82.55,83.05,83.05,2936863,0.0,1.0
2019-11-01,83.25,83.73,82.57,83.27,83.27,3169614,0.0,1.0
2019-10-31,82.03,82.59,81.7,82.55,82.55,2423890,0.0,1.0
2019-10-30,81.8,82.28,81.41,81.81,81.81,2382468,0.0,1.0
2019-10-29,81.11,81.83,81.07,81.74,81.74,2544605,0.0,1.0
2019-10-28,81.52,81.97,81.086,81.33,81.33,2224863,0.0,1.0
2019-10-25,82.94,83.0,81.41,81.89,81.89,2697690,0.0,1.0
2019-10-24,82.71,83.125,82.55,82.72,82.72,2271715,0.0,1.0
2019-10-23,82.82,83.19,82.14,82.72,82.72,2699135,0.0,1.0
2019-10-22,82.58,83.23,82.33,82.82,82.82,2701192,0.0,1.0
2019-10-21,82.27,82.47,81.86,82.42,82.42,2102430,0.0,1.0
2019-10-18,82.06,82.44,81.72,82.16,82.16,3210344,0.0,1.0
2019-10-17,81.86,82.68,81.66,82.38,82.38,2484994,0.0,1.0
2019-10-16,81.29,81.89,81.02,81.8,81.8,2590352,0.0,1.0
2019-10-15,81.3,81.55,80.951,81.38,81.38,2443156,0.0,1.0
2019-10-14,82.09,82.19,81.0721,81.24,81.24,3250084,0.0,1.0
2019-10-11,81.98,82.59,81.35,81.9,81.9,3088959,0.0,1.0
2019-10-10,81.13,81.84,80.45,81.78,81.78,3260466,0.0,1.0
2019-10-09,80.94,81.64,80.8,81.34,81.34,2766423,0.0,1.0
2019-10-08,81.06,81.225,80.45,80.72,80.72,2755548,0.0,1.0
2019-10-07,81.51,81.62,80.88,81.18,81.18,2753092,0.0,1.0
2019-10-04,79.79,81.76,79.7338,81.7,81.7,4608574,0.0,1.0
2019-10-03,80.01,80.04,78.95,79.62,79.62,4676586,0.0,1.0
2019-10-02,80.99,81.18,79.81,79.97,79.97,3619420,0.0,1.0
2019-10-01,80.86,81.26,80.55,81.22,81.22,3095480,0.0,1.0
2019-09-30,81.03,81.39,80.725,81.04,81.04,2712466,0.0,1.0
2019-09-27,80.97,81.02,80.45,80.99,80.99,2793898,0.0,1.0
2019-09-26,80.7,81.05,80.18,80.76,80.76,2498248,0.0,1.0
2019-09-25,80.84,80.89,79.83,80.39,80.39,3668833,0.0,1.0
2019-09-24,80.88,81.43,80.61,80.84,80.84,4389775,0.0,1.0
2019-09-23,80.73,81.17,80.53,80.85,80.85,3290635,0.0,1.0
2019-09-20,81.24,81.24,80.33,80.84,80.84,8193601,0.0,1.0
2019-09-19,80.35,81.04,79.93,80.92,80.92,3068241,0.0,1.0
2019-09-18,79.39,80.505,79.3497,80.06,80.06,4519660,0.0,1.0
2019-09-17,78.89,79.43,78.53,79.03,79.03,3293860,0.0,1.0
2019-09-16,78.54,78.725,77.92,78.49,78.49,2476627,0.0,1.0
2019-09-13,78.17,79.0,77.94,78.52,78.52,3669191,0.0,1.0
2019-09-12,78.78,79.08,77.92,78.54,78.54,3063604,0.0,1.0
2019-09-11,77.0,78.43,76.69,78.43,78.43,4483669,0.0,1.0
2019-09-10,76.42,77.08,76.36,77.01,77.01,3233280,0.0,1.0
2019-09-09,76.37,76.888,76.05,76.67,76.67,3602981,0.0,1.0
2019-09-06,77.65,77.84,76.27,76.37,76.37,3740250,0.0,1.0
2019-09-05,77.91,78.1,77.15,77.43,77.43,3943077,0.9175,1.0
2019-09-04,79.09,79.29,78.62,79.15,78.2231,2717998,0.0,1.0
2019-09-03,77.62,78.86,77.51,78.8,77.8772,3118382,0.0,1.0
2019-08-30,77.68,78.0,77.13,77.63,76.7209,3623619,0.0,1.0
2019-08-29,77.42,77.8,76.93,77.76,76.8494,3071659,0.0,1.0
2019-08-28,77.29,77.35,76.5,76.89,75.9896,2133111,0.0,1.0
2019-08-27,77.19,77.53,76.81,77.15,76.2465,3501027,0.0,1.0
2019-08-26,76.26,76.86,75.77,76.82,75.9204,1731686,0.0,1.0
2019-08-23,76.84,77.25,75.52,75.94,75.0507,3525330,0.0,1.0
2019-08-22,77.13,77.21,76.16,76.52,75.6239,3569277,0.0,1.0
2019-08-21,77.03,77.37,76.79,76.99,76.0884,3300327,0.0,1.0
2019-08-20,77.65,77.74,76.805,76.91,76.0093,3206743,0.0,1.0
2019-08-19,76.8,78.085,76.61,77.79,76.879,3665715,0.0,1.0
2019-08-16,77.32,77.46,76.79,76.86,75.9599,3594317,0.0,1.0
2019-08-15,75.25,77.35,75.12,77.05,76.1477,4898986,0.0,1.0
2019-08-14,75.57,76.4838,75.16,75.33,74.4478,7296288,0.0,1.0
2019-08-13,74.3,75.465,74.22,75.38,74.4973,3455633,0.0,1.0
2019-08-12,74.94,75.1,73.85,74.37,73.4991,3459600,0.0,1.0
2019-08-09,75.37,75.75,74.6201,74.84,73.9636,4607129,0.0,1.0
2019-08-08,74.39,75.52,73.81,75.33,74.4478,4467925,0.0,1.0
2019-08-07,75.01,75.12,73.89,74.43,73.5584,4843253,0.0,1.0
2019-08-06,74.96,75.54,73.76,75.22,74.3391,7842183,0.0,1.0
2019-08-05,76.24,76.36,74.32,74.67,73.7956,4972435,0.0,1.0
2019-08-02,76.35,77.1,75.86,76.02,75.1298,4318924,0.0,1.0
2019-08-01,74.61,76.56,74.4,75.91,75.021,5513765,0.0,1.0
2019-07-31,74.55,75.52,73.46,74.29,73.42,6681317,0.0,1.0
2019-07-30,74.9,75.57,74.44,75.03,74.1514,4199616,0.0,1.0
2019-07-29,75.47,75.525,74.6,75.05,74.1711,2818522,0.0,1.0
2019-07-26,74.73,75.35,74.605,75.15,74.2699,3076516,0.0,1.0
2019-07-25,75.15,75.43,74.605,74.86,73.9833,3417229,0.0,1.0
2019-07-24,75.66,75.72,74.89,75.18,74.2996,3101903,0.0,1.0
2019-07-23,76.1,76.2,75.2734,75.43,74.5467,3175604,0.0,1.0
2019-07-22,76.88,76.93,75.775,76.26,75.3669,2956664,0.0,1.0
2019-07-19,77.19,77.62,76.67,76.85,75.95,3114986,0.0,1.0
2019-07-18,77.29,77.48,76.47,77.42,76.5134,3089504,0.0,1.0
2019-07-17,77.8,78.14,77.315,77.37,76.4639,3254695,0.0,1.0
2019-07-16,77.94,78.16,77.06,77.48,76.5727,2599174,0.0,1.0
2019-07-15,77.5,78.22,77.25,78.09,77.1755,2695726,0.0,1.0
2019-07-12,78.03,78.09,77.17,77.5,76.5924,3009724,0.0,1.0
2019-07-11,78.04,78.27,77.065,77.91,76.9976,2750219,0.0,1.0
2019-07-10,78.26,78.56,77.85,78.13,77.215,3665344,0.0,1.0
2019-07-09,78.26,78.27,77.51,78.22,77.304,2554543,0.0,1.0
2019-07-08,78.11,78.51,77.67,78.16,77.2447,3181667,0.0,1.0
2019-07-05,77.68,78.08,76.87,77.9,76.9877,2535286,0.0,1.0
2019-07-03,77.71,78.72,77.5,78.11,77.1953,2323485,0.0,1.0
2019-07-02,77.38,77.86,77.1,77.38,76.4738,3407546,0.0,1.0
2019-07-01,77.18,77.55,76.32,77.05,76.1477,4657729,0.0,1.0
2019-06-28,76.73,77.54,76.66,77.32,76.4145,6014367,0.0,1.0
2019-06-27,76.52,76.88,76.2,76.72,75.8216,3452743,0.0,1.0
2019-06-26,78.54,78.61,76.43,76.46,75.5646,4253517,0.0,1.0
2019-06-25,79.16,79.359,78.505,78.7,77.7784,3563258,0.0,1.0
2019-06-24,78.45,79.47,78.14,79.22,78.2923,5455875,0.0,1.0
2019-06-21,77.66,78.44,76.705,78.35,77.4325,8070465,0.0,1.0
2019-06-20,77.5,78.08,76.755,77.41,76.5035,3340524,0.0,1.0
2019-06-19,76.2,77.4843,76.16,77.17,76.2663,4075180,0.0,1.0
2019-06-18,76.92,76.92,75.76,76.43,75.535,3410053,0.0,1.0
2019-06-17,76.85,77.33,75.64,76.42,75.5251,3638786,0.0,1.0
2019-06-14,76.15,76.835,75.8811,76.66,75.7623,3964305,0.0,1.0
2019-06-13,75.39,76.08,75.185,76.07,75.1792,7525167,0.0,1.0
2019-06-12,74.2,75.345,74.15,75.08,74.2008,11598122,0.0,1.0
2019-06-11,75.34,75.4,73.54,73.91,73.0445,9241979,0.0,1.0
2019-06-10,75.67,75.75,75.05,75.42,74.5368,3520126,0.0,1.0
