date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,35.75,36.02,35.55,35.6,35.6,2564799,0.0,1.0
2019-11-29,35.81,36.0,35.37,35.76,35.76,1704919,0.0,1.0
2019-11-27,36.06,36.19,35.675,35.78,35.78,2455892,0.0,1.0
2019-11-26,35.67,36.095,35.55,35.93,35.93,3086318,0.0,1.0
2019-11-25,35.7,35.86,35.35,35.68,35.68,4908094,0.0,1.0
2019-11-22,35.77,36.04,35.505,35.66,35.66,4408152,0.0,1.0
2019-11-21,35.93,36.35,35.56,35.7,35.7,2861622,0.0,1.0
2019-11-20,35.66,36.41,35.66,35.89,35.89,4320510,0.0,1.0
2019-11-19,35.22,36.325,35.22,36.26,36.26,6334172,0.0,1.0
2019-11-18,34.31,35.25,34.21,35.19,35.19,5690353,0.0,1.0
2019-11-15,34.39,34.68,33.93,34.27,34.27,4517722,0.0,1.0
2019-11-14,34.14,34.51,33.99,34.22,34.22,4022379,0.0,1.0
2019-11-13,34.37,34.72,34.19,34.26,34.26,4559697,0.0,1.0
2019-11-12,35.07,35.105,34.45,34.485,34.485,3906077,0.0,1.0
2019-11-11,34.95,35.07,34.59,34.99,34.99,3280165,0.0,1.0
2019-11-08,35.0,35.23,34.59,35.14,35.14,4979803,0.0,1.0
2019-11-07,33.95,34.97,33.37,34.94,34.94,9056842,0.0,1.0
2019-11-06,32.84,33.18,32.3,33.1,33.1,5681566,0.0,1.0
2019-11-05,32.58,33.08,32.525,32.835,32.835,3198689,0.0,1.0
2019-11-04,32.5,32.6,32.29,32.55,32.55,2611960,0.0,1.0
2019-11-01,32.17,32.54,31.96,32.39,32.39,3813529,0.0,1.0
2019-10-31,32.0,32.08,31.67,32.04,32.04,5063534,0.0,1.0
2019-10-30,32.66,32.85,32.0,32.08,32.08,4364431,0.0,1.0
2019-10-29,32.82,33.04,32.55,32.84,32.84,3558558,0.0,1.0
2019-10-28,32.54,33.41,32.41,32.99,32.99,8672271,0.0,1.0
2019-10-25,32.39,32.775,32.32,32.41,32.41,5450286,0.0,1.0
