date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,259.11,259.93,252.651,256.55,256.55,1459198,0.0,1.0
2019-11-29,261.34,262.42,258.34,258.89,258.89,721546,0.0,1.0
2019-11-27,267.28,267.59,260.69,262.15,262.15,1164185,0.0,1.0
2019-11-26,257.41,266.5,257.0,265.88,265.88,2081542,0.0,1.0
2019-11-25,260.86,261.01,256.338,257.07,257.07,2428594,0.0,1.0
2019-11-22,267.92,270.0,255.25,259.81,259.81,4071842,0.0,1.0
2019-11-21,275.11,275.7,269.55,271.15,271.15,1308102,0.0,1.0
2019-11-20,271.41,274.59,270.54,273.48,273.48,1448969,0.0,1.0
2019-11-19,269.85,272.515,267.96,272.26,272.26,1334157,0.0,1.0
2019-11-18,266.96,268.73,264.035,268.4,268.4,1945172,0.0,1.0
2019-11-15,266.35,266.9,263.86,266.05,266.05,1484322,0.0,1.0
2019-11-14,261.44,264.97,260.55,264.78,264.78,974351,0.0,1.0
2019-11-13,259.78,262.93,259.0,261.75,261.75,1340649,0.0,1.0
2019-11-12,258.65,262.37,258.0,259.98,259.98,1227771,0.0,1.0
2019-11-11,255.65,259.4,255.47,258.03,258.03,963916,0.0,1.0
2019-11-08,258.52,259.51,255.44,256.85,256.85,1357206,0.0,1.0
2019-11-07,253.0,260.97,252.79,259.35,259.35,1401409,0.0,1.0
2019-11-06,253.25,255.33,251.99,253.42,253.42,1430590,0.0,1.0
2019-11-05,254.4,255.625,250.41,253.16,253.16,1918927,0.0,1.0
2019-11-04,258.17,258.61,253.78,254.06,254.06,1410867,0.0,1.0
2019-11-01,259.91,260.88,256.24,256.48,256.48,1108738,0.0,1.0
2019-10-31,260.14,261.57,257.14,257.5,257.5,890134,0.0,1.0
2019-10-30,259.76,261.67,258.235,260.29,260.29,1665760,0.0,1.0
2019-10-29,258.49,261.09,257.95,258.49,258.49,953199,0.0,1.0
2019-10-28,259.21,259.5594,256.27,258.61,258.61,1025379,0.0,1.0
2019-10-25,259.13,260.28,256.7,257.67,257.67,1185771,0.0,1.0
2019-10-24,257.13,260.84,255.84,258.9,258.9,1081877,0.0,1.0
2019-10-23,253.33,258.97,252.54,255.97,255.97,1242489,0.0,1.0
2019-10-22,260.74,263.55,253.18,253.33,253.33,1502905,0.0,1.0
2019-10-21,264.48,264.5,258.575,262.2,262.2,1040388,0.0,1.0
2019-10-18,267.67,267.67,260.54,262.47,262.47,1462865,0.0,1.0
2019-10-17,269.85,270.79,263.73,266.53,266.53,888719,0.0,1.0
2019-10-16,271.52,271.688,265.81,269.15,269.15,1069575,0.0,1.0
2019-10-15,270.06,274.11,269.1,273.5,273.5,1048681,0.0,1.0
2019-10-14,269.99,271.66,268.9,269.06,269.06,1029197,0.0,1.0
2019-10-11,270.4,273.81,269.42,270.07,270.07,1072306,0.0,1.0
2019-10-10,262.36,268.94,262.36,267.53,267.53,1257326,0.0,1.0
2019-10-09,262.87,265.12,262.37,264.0,264.0,868967,0.53,1.0
2019-10-08,265.33,266.2,260.99,260.99,260.4671,1349012,0.0,1.0
2019-10-07,264.9,268.1,264.86,266.76,266.2255,1563672,0.0,1.0
2019-10-04,264.05,267.83,262.01,267.09,266.5549,1319605,0.0,1.0
2019-10-03,259.43,263.54,255.41,263.0,262.4731,1289633,0.0,1.0
2019-10-02,263.21,263.21,255.47,260.45,259.9282,1404083,0.0,1.0
2019-10-01,267.69,268.27,263.38,264.3,263.7705,1395754,0.0,1.0
2019-09-30,263.5,267.27,262.41,265.94,265.4072,1150963,0.0,1.0
2019-09-27,271.32,271.32,259.26,263.19,262.6627,1020108,0.0,1.0
2019-09-26,267.08,270.63,266.42,269.72,269.1796,1186175,0.0,1.0
2019-09-25,264.33,267.1,260.345,266.43,265.8962,988916,0.0,1.0
2019-09-24,270.76,271.665,264.01,264.85,264.3194,1238185,0.0,1.0
2019-09-23,268.39,270.99,268.21,269.0,268.461,829943,0.0,1.0
2019-09-20,269.98,272.91,267.46,269.18,268.6407,1657967,0.0,1.0
2019-09-19,268.76,272.42,268.6149,270.02,269.479,907219,0.0,1.0
2019-09-18,269.39,269.39,263.823,268.27,267.7325,853065,0.0,1.0
2019-09-17,265.83,268.7,265.52,268.54,268.002,941791,0.0,1.0
2019-09-16,262.81,267.23,261.685,265.82,265.2874,803001,0.0,1.0
2019-09-13,267.31,270.01,264.7014,265.22,264.6886,1031044,0.0,1.0
2019-09-12,268.5,271.2,267.33,268.25,267.7125,1329497,0.0,1.0
2019-09-11,267.7,269.82,265.02,266.13,265.5968,1306683,0.0,1.0
2019-09-10,273.8,274.51,263.88,267.56,267.0239,2095335,0.0,1.0
2019-09-09,288.78,288.78,273.585,275.9,275.3472,2141567,0.0,1.0
2019-09-06,293.39,293.46,287.23,287.8,287.2234,1298923,0.0,1.0
2019-09-05,289.35,292.93,287.16,292.31,291.7243,1092510,0.0,1.0
2019-09-04,285.62,286.4,281.62,286.31,285.7364,945627,0.0,1.0
2019-09-03,285.31,289.0,282.14,284.2,283.6306,1399733,0.0,1.0
2019-08-30,287.25,288.99,283.97,288.36,287.7823,1080051,0.0,1.0
2019-08-29,284.77,288.5982,283.35,286.94,286.3651,1209685,0.0,1.0
2019-08-28,281.08,282.98,273.8,281.94,281.3751,1482065,0.0,1.0
2019-08-27,283.1,284.9899,281.36,283.21,282.6426,1778042,0.0,1.0
2019-08-26,280.0,282.9,275.61,282.77,282.2035,2004561,0.0,1.0
2019-08-23,290.37,295.775,277.99,278.74,278.1815,3381997,0.0,1.0
2019-08-22,277.0,278.0,271.6,275.71,275.1576,1561150,0.0,1.0
2019-08-21,275.37,277.83,274.54,276.24,275.6865,925413,0.0,1.0
2019-08-20,273.22,274.61,271.22,272.84,272.2934,1062237,0.0,1.0
2019-08-19,274.98,275.96,271.65,274.23,273.6806,1221994,0.0,1.0
2019-08-16,271.27,274.44,269.16,270.96,270.4171,1062619,0.0,1.0
2019-08-15,269.6,270.69,265.88,268.44,267.9022,1246408,0.0,1.0
2019-08-14,274.91,276.33,267.32,267.89,267.3533,1239300,0.0,1.0
2019-08-13,272.38,279.54,271.87,279.15,278.5907,1256891,0.0,1.0
2019-08-12,274.73,276.22,271.49,272.65,272.1037,968164,0.0,1.0
2019-08-09,276.08,278.82,274.51,276.57,276.0159,1279161,0.0,1.0
2019-08-08,270.86,276.83,270.63,276.7,276.1456,1106996,0.0,1.0
2019-08-07,265.87,269.49,263.8,268.57,268.0319,1221782,0.0,1.0
2019-08-06,266.74,270.6435,264.87,270.09,269.5489,1201863,0.0,1.0
2019-08-05,268.98,269.74,261.94,263.53,263.002,1774454,0.0,1.0
2019-08-02,278.05,278.65,273.183,274.64,274.0897,1494511,0.0,1.0
2019-08-01,278.61,283.51,277.07,277.96,277.4031,1272594,0.0,1.0
2019-07-31,278.77,281.34,275.155,277.31,276.7544,1147577,0.0,1.0
2019-07-30,279.48,281.84,278.37,279.62,279.0598,767097,0.0,1.0
2019-07-29,284.29,284.88,279.52,281.35,280.7863,1267414,0.0,1.0
