date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,115.95,116.9,114.25,114.32,114.32,860081,0.0,1.0
2019-11-29,116.61,117.055,115.36,115.62,115.62,271658,0.0,1.0
2019-11-27,117.51,117.89,115.92,116.64,116.64,387475,0.0,1.0
2019-11-26,117.68,118.36,116.775,117.48,117.48,557277,0.0,1.0
2019-11-25,116.56,118.18,116.37,117.36,117.36,515557,0.0,1.0
2019-11-22,116.01,116.73,115.52,116.315,116.315,465155,0.0,1.0
2019-11-21,115.45,116.2,114.57,115.81,115.81,550336,0.0,1.0
2019-11-20,115.98,116.145,114.63,115.39,115.39,621813,0.0,1.0
2019-11-19,116.9,116.9,115.29,116.14,116.14,566237,0.0,1.0
2019-11-18,114.79,116.96,114.79,116.14,116.14,464010,0.0,1.0
2019-11-15,117.4,117.78,115.59,115.74,115.74,512527,0.0,1.0
2019-11-14,116.41,116.87,115.46,116.87,116.87,583591,0.0,1.0
2019-11-13,117.37,117.98,116.29,116.52,116.52,609464,0.0,1.0
2019-11-12,118.09,119.43,117.88,118.53,118.53,534046,0.0,1.0
2019-11-11,119.57,119.57,117.3,118.18,118.18,638675,0.0,1.0
2019-11-08,120.61,121.33,119.81,119.98,119.98,634634,0.0,1.0
2019-11-07,119.99,122.29,119.185,120.61,120.61,488404,0.26,1.0
2019-11-06,119.69,120.04,117.935,119.92,119.662,997792,0.0,1.0
2019-11-05,120.68,121.21,118.95,119.89,119.6321,907937,0.0,1.0
2019-11-04,120.52,121.825,120.05,120.66,120.4005,1136452,0.0,1.0
2019-11-01,117.56,120.0,116.3329,119.9,119.6421,812295,0.0,1.0
2019-10-31,116.47,117.7,116.0,117.56,117.3071,699683,0.0,1.0
2019-10-30,118.72,118.72,116.445,117.7,117.4468,729401,0.0,1.0
2019-10-29,116.31,119.39,116.15,119.01,118.754,944021,0.0,1.0
2019-10-28,117.17,117.66,116.185,116.79,116.5388,770480,0.0,1.0
2019-10-25,115.82,116.87,115.4,116.75,116.4989,763911,0.0,1.0
2019-10-24,116.64,116.75,115.12,115.76,115.511,779145,0.0,1.0
2019-10-23,116.75,117.33,115.09,116.85,116.5986,827089,0.0,1.0
