date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,22.5,22.58,22.175,22.27,22.27,2126979,0.0,1.0
2019-11-29,22.51,22.69,22.27,22.55,22.55,862879,0.0,1.0
2019-11-27,22.11,22.73,21.99,22.66,22.66,1771634,0.0,1.0
2019-11-26,21.86,22.13,21.45,22.07,22.07,2903545,0.0,1.0
2019-11-25,22.48,22.49,21.835,21.87,21.87,2357738,0.0,1.0
2019-11-22,22.8,22.88,22.34,22.365,22.365,1910100,0.0,1.0
2019-11-21,22.76,22.78,22.47,22.72,22.72,1952189,0.0,1.0
2019-11-20,22.72,23.015,22.51,22.64,22.64,1919016,0.0,1.0
2019-11-19,22.61,22.88,22.42,22.82,22.82,1611639,0.0,1.0
2019-11-18,22.12,22.66,22.12,22.59,22.59,2343663,0.0,1.0
2019-11-15,22.86,22.925,22.54,22.64,22.64,1829960,0.0,1.0
2019-11-14,22.94,23.245,22.75,22.77,22.77,1976409,0.0,1.0
2019-11-13,23.77,23.965,22.98,23.02,23.02,2253797,0.0,1.0
2019-11-12,24.5,24.56,23.71,23.77,23.77,3172377,0.0,1.0
2019-11-11,24.66,24.9,24.48,24.77,24.77,1245736,0.0,1.0
2019-11-08,24.89,24.89,24.44,24.82,24.82,1401983,0.0,1.0
2019-11-07,23.96,25.025,23.95,24.845,24.845,2354188,0.0,1.0
2019-11-06,25.67,25.67,24.975,25.03,25.03,1603941,0.0,1.0
2019-11-05,25.22,25.52,25.21,25.4,25.4,1169943,0.0,1.0
2019-11-04,25.48,25.71,25.19,25.26,25.26,1250904,0.0,1.0
2019-11-01,25.25,25.55,25.18,25.43,25.43,993470,0.0,1.0
2019-10-31,24.96,25.16,24.71,25.15,25.15,1007598,0.0,1.0
2019-10-30,24.98,25.04,24.74,24.91,24.91,1358399,0.0,1.0
2019-10-29,24.62,25.01,24.4613,24.92,24.92,1476446,0.0,1.0
2019-10-28,24.39,24.95,24.39,24.715,24.715,1671465,0.0,1.0
2019-10-25,24.24,24.72,24.24,24.37,24.37,930712,0.0,1.0
2019-10-24,24.29,24.435,24.05,24.35,24.35,1613237,0.0,1.0
2019-10-23,23.94,24.33,23.7,24.27,24.27,1301150,0.0,1.0
2019-10-22,24.98,24.98,23.46,23.93,23.93,4432312,0.0,1.0
2019-10-21,25.98,26.12,25.52,25.61,25.61,1604909,0.0,1.0
2019-10-18,25.51,25.88,25.35,25.8,25.8,3008136,0.0,1.0
2019-10-17,25.99,26.12,25.27,25.48,25.48,3183648,0.0,1.0
2019-10-16,25.8,26.395,25.71,26.185,26.185,4039944,0.0,1.0
2019-10-15,24.77,25.77,24.69,25.715,25.715,1930968,0.0,1.0
2019-10-14,24.32,24.77,24.32,24.74,24.74,1605648,0.0,1.0
2019-10-11,24.04,24.64,24.04,24.49,24.49,2721783,0.0,1.0
2019-10-10,24.95,24.95,23.79,23.8,23.8,5112080,0.0,1.0
2019-10-09,24.85,24.94,24.57,24.88,24.88,886051,0.0,1.0
2019-10-08,24.88,24.995,24.49,24.74,24.74,1796425,0.0,1.0
2019-10-07,24.85,25.235,24.83,24.99,24.99,1325253,0.0,1.0
2019-10-04,24.73,25.08,24.68,24.99,24.99,1160190,0.0,1.0
2019-10-03,24.25,24.71,24.18,24.705,24.705,2211677,0.0,1.0
2019-10-02,24.08,24.37,24.08,24.335,24.335,1702279,0.0,1.0
2019-10-01,24.75,25.065,24.22,24.24,24.24,1773555,0.0,1.0
2019-09-30,24.91,24.94,24.65,24.75,24.75,2332408,0.0,1.0
2019-09-27,24.75,24.87,24.35,24.705,24.705,1952812,0.0,1.0
2019-09-26,25.33,25.37,24.61,24.67,24.67,2475456,0.0,1.0
2019-09-25,24.41,25.475,24.41,25.395,25.395,2813102,0.0,1.0
2019-09-24,25.61,25.64,24.655,24.74,24.74,3883244,0.0,1.0
2019-09-23,25.96,26.15,25.33,25.4,25.4,2482187,0.0,1.0
2019-09-20,26.7,26.89,25.84,26.07,26.07,9101653,0.0,1.0
2019-09-19,27.42,27.45,27.055,27.1,27.1,1559377,0.0,1.0
2019-09-18,27.33,27.43,27.05,27.35,27.35,2004699,0.0,1.0
2019-09-17,27.99,28.0,27.165,27.43,27.43,3048447,0.0,1.0
2019-09-16,28.14,28.48,27.85,28.04,28.04,2318030,0.0,1.0
2019-09-13,28.27,28.47,27.97,28.39,28.39,2900045,0.0,1.0
2019-09-12,27.82,28.48,27.61,28.27,28.27,4586304,0.0,1.0
2019-09-11,27.69,27.905,27.215,27.69,27.69,3537737,0.0,1.0
2019-09-10,27.24,27.9,27.21,27.72,27.72,6402179,0.0,1.0
2019-09-09,27.5,27.58,27.1,27.44,27.44,5673845,0.0,1.0
2019-09-06,27.12,27.57,26.9987,27.26,27.26,8737848,0.0,1.0
2019-09-05,27.5,27.79,26.9,26.98,26.98,4980044,0.0,1.0
2019-09-04,26.92,27.42,26.84,27.28,27.28,4310959,0.0,1.0
2019-09-03,26.43,26.77,26.34,26.72,26.72,2831340,0.0,1.0
2019-08-30,26.52,26.83,26.365,26.72,26.72,2537795,0.0,1.0
2019-08-29,26.19,26.53,26.103,26.4,26.4,2732654,0.0,1.0
2019-08-28,25.62,26.1,25.56,25.97,25.97,2485673,0.0,1.0
2019-08-27,26.08,26.08,25.54,25.81,25.81,1776406,0.0,1.0
2019-08-26,25.84,26.05,25.75,25.87,25.87,2048240,0.0,1.0
2019-08-23,25.91,26.11,25.5,25.58,25.58,2356739,0.0,1.0
2019-08-22,26.33,26.46,26.1,26.14,26.14,1838382,0.0,1.0
2019-08-21,26.35,26.44,26.0,26.26,26.26,2292501,0.0,1.0
2019-08-20,26.18,26.435,26.165,26.21,26.21,1185063,0.0,1.0
2019-08-19,26.41,26.54,26.08,26.34,26.34,1439092,0.0,1.0
2019-08-16,26.32,26.515,26.04,26.04,26.04,2320552,0.0,1.0
