date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,266.48,266.48,261.3261,262.94,262.94,1297492,0.0,1.0
2019-11-29,270.8,270.8,265.79,266.83,266.83,759037,0.0,1.0
2019-11-27,270.8,272.055,269.38,270.94,270.94,875649,0.0,1.0
2019-11-26,270.0,271.41,267.2201,269.56,269.56,1790026,0.0,1.0
2019-11-25,264.07,270.06,263.67,269.01,269.01,1988561,0.0,1.0
2019-11-22,265.48,266.67,260.12,261.98,261.98,1273610,0.0,1.0
2019-11-21,265.72,269.68,262.9,263.9,263.9,2406970,0.0,1.0
2019-11-20,275.98,277.26,270.4,274.13,274.13,1273121,0.0,1.0
2019-11-19,284.57,284.57,276.58,276.76,276.76,1366373,0.0,1.0
2019-11-18,282.76,285.765,280.8,282.7,282.7,1366239,0.0,1.0
2019-11-15,280.14,285.8723,280.0,283.68,283.68,2126628,0.0,1.0
2019-11-14,271.8,275.81,270.81,275.09,275.09,1203385,0.0,1.0
2019-11-13,268.87,272.87,267.67,272.46,272.46,903275,0.0,1.0
2019-11-12,275.6,276.57,269.0,270.01,270.01,1106146,0.0,1.0
2019-11-11,269.66,273.11,268.6316,271.26,271.26,1179389,0.0,1.0
2019-11-08,271.3,273.25,269.1,272.68,272.68,1373088,0.0,1.0
2019-11-07,278.25,278.3,272.3,274.11,274.11,1106721,0.0,1.0
2019-11-06,276.46,276.72,270.25,275.51,275.51,1690745,0.0,1.0
2019-11-05,279.55,280.82,274.39,277.95,277.95,1483957,0.0,1.0
2019-11-04,280.0,281.72,274.4052,278.1,278.1,1293182,0.0,1.0
2019-11-01,273.82,278.51,272.3037,278.26,278.26,1545603,0.0,1.0
2019-10-31,276.79,277.54,267.23,271.04,271.04,2699293,0.0,1.0
2019-10-30,276.41,278.36,274.0,277.56,277.56,1172719,0.0,1.0
2019-10-29,280.47,282.88,275.57,276.49,276.49,2079740,0.0,1.0
2019-10-28,272.54,282.0,272.1,281.25,281.25,2520044,0.0,1.0
2019-10-25,265.0,270.63,263.01,270.05,270.05,2511291,0.0,1.0
2019-10-24,252.45,265.85,251.95,265.6,265.6,5736034,0.0,1.0
