date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,140.68,140.81,139.88,140.43,140.43,1323354,0.0,1.0
2019-11-29,140.77,141.75,140.06,140.36,140.36,751605,0.0,1.0
2019-11-27,140.18,141.75,140.1,141.34,141.34,1362281,0.0,1.0
2019-11-26,138.15,140.3,137.34,140.08,140.08,1757560,0.0,1.0
2019-11-25,137.0,138.51,136.6001,137.98,137.98,1422521,0.0,1.0
2019-11-22,133.61,136.52,132.84,136.25,136.25,1304510,0.0,1.0
2019-11-21,133.16,133.5222,131.35,132.98,132.98,997316,0.0,1.0
2019-11-20,133.86,134.5756,131.26,132.71,132.71,1408586,0.48,1.0
2019-11-19,136.12,136.33,135.23,135.47,134.9818,992680,0.0,1.0
2019-11-18,135.17,136.31,135.03,135.68,135.191,1568761,0.0,1.0
2019-11-15,134.91,135.955,134.17,135.52,135.0316,1371231,0.0,1.0
2019-11-14,133.42,134.77,132.94,134.55,134.0651,1238804,0.0,1.0
2019-11-13,132.23,133.855,131.52,133.65,133.1683,1305952,0.0,1.0
2019-11-12,132.16,134.24,132.005,132.53,132.0524,1365491,0.0,1.0
2019-11-11,132.25,132.43,130.83,131.75,131.2752,1282675,0.0,1.0
2019-11-08,132.84,133.4,131.98,133.2,132.72,1020339,0.0,1.0
2019-11-07,132.55,134.14,132.045,133.06,132.5805,1651895,0.0,1.0
2019-11-06,133.42,133.77,131.74,132.58,132.1022,1678187,0.0,1.0
2019-11-05,128.01,134.32,127.75,133.69,133.2082,3577847,0.0,1.0
2019-11-04,128.86,130.56,127.47,130.16,129.6909,2225938,0.0,1.0
2019-11-01,128.24,129.12,126.94,128.08,127.6184,1633396,0.0,1.0
2019-10-31,125.96,126.84,124.725,126.55,126.0939,1500024,0.0,1.0
2019-10-30,126.37,126.96,124.71,126.44,125.9843,931684,0.0,1.0
2019-10-29,126.77,127.17,125.54,126.53,126.074,1229036,0.0,1.0
2019-10-28,126.03,126.755,125.14,126.6,126.1437,1004844,0.0,1.0
2019-10-25,123.77,126.72,123.77,126.18,125.7253,1364597,0.0,1.0
2019-10-24,123.93,124.6497,122.86,124.3,123.852,1357329,0.0,1.0
2019-10-23,121.46,123.67,121.02,123.49,123.045,1450746,0.0,1.0
2019-10-22,122.62,123.01,121.85,122.05,121.6101,1734824,0.0,1.0
2019-10-21,122.26,123.4,121.905,123.0,122.5567,1820922,0.0,1.0
2019-10-18,120.4,121.4,118.96,121.05,120.6138,1435604,0.0,1.0
2019-10-17,120.81,121.73,120.35,120.57,120.1355,985740,0.0,1.0
2019-10-16,121.18,121.7,120.34,121.09,120.6536,1098354,0.0,1.0
2019-10-15,120.33,121.71,120.29,121.11,120.6735,956423,0.0,1.0
2019-10-14,120.79,121.21,119.37,120.1,119.6672,1065157,0.0,1.0
2019-10-11,119.73,122.31,119.03,121.18,120.7433,1831210,0.0,1.0
2019-10-10,118.57,119.84,117.67,118.19,117.7641,1706322,0.0,1.0
2019-10-09,118.59,119.06,117.245,118.49,118.063,1458601,0.0,1.0
2019-10-08,118.2,118.925,116.85,117.67,117.2459,1721319,0.0,1.0
2019-10-07,120.08,120.7099,118.88,119.2,118.7704,1731720,0.0,1.0
2019-10-04,119.96,121.02,119.6,120.86,120.4244,1913747,0.0,1.0
2019-10-03,120.29,120.68,118.53,119.02,118.5911,2369326,0.0,1.0
2019-10-02,122.3,122.3,119.6,120.33,119.8963,1950000,0.0,1.0
2019-10-01,125.05,126.41,123.31,123.4,122.9553,1846141,0.0,1.0
2019-09-30,121.88,124.61,120.66,124.37,123.9218,2804408,0.0,1.0
2019-09-27,122.48,123.0,120.022,120.77,120.3348,3215616,0.0,1.0
2019-09-26,122.36,122.89,121.35,121.67,121.2315,2716929,0.0,1.0
2019-09-25,122.5,123.37,121.28,123.03,122.5866,2929815,0.0,1.0
2019-09-24,126.11,126.11,122.19,122.27,121.8294,2766697,0.0,1.0
2019-09-23,126.25,126.8,125.4,125.85,125.3965,3094689,0.0,1.0
2019-09-20,129.07,129.46,126.86,126.97,126.5124,3064587,0.0,1.0
2019-09-19,130.49,131.35,129.41,129.55,129.0831,1092356,0.0,1.0
2019-09-18,130.13,130.48,128.71,130.19,129.7208,1095359,0.0,1.0
2019-09-17,130.68,131.43,129.78,130.56,130.0895,879721,0.0,1.0
2019-09-16,132.8,132.8,130.18,130.48,130.0098,1310600,0.0,1.0
2019-09-13,132.98,135.46,132.56,133.99,133.5071,1168282,0.0,1.0
2019-09-12,133.5,134.37,132.39,132.51,132.0325,1080141,0.0,1.0
2019-09-11,131.39,133.59,130.83,133.09,132.6104,1613905,0.0,1.0
2019-09-10,130.0,131.71,128.6749,131.69,131.2154,1259001,0.0,1.0
2019-09-09,129.79,129.95,128.36,129.91,129.4418,1291058,0.0,1.0
2019-09-06,128.5,129.78,128.05,129.43,128.9636,1120150,0.0,1.0
2019-09-05,126.89,128.87,125.92,128.46,127.997,2941849,0.0,1.0
2019-09-04,125.61,126.03,124.92,125.69,125.237,2471546,0.0,1.0
2019-09-03,124.94,124.94,123.63,124.27,123.8221,1894973,0.0,1.0
2019-08-30,126.3,127.605,125.79,126.06,125.6057,1877383,0.0,1.0
2019-08-29,127.2,127.46,125.38,125.73,125.2769,1701851,0.0,1.0
2019-08-28,125.17,125.935,124.66,125.34,124.8883,1885044,0.0,1.0
2019-08-27,127.02,127.2,125.26,125.35,124.8983,1214763,0.0,1.0
2019-08-26,126.43,126.86,125.37,126.23,125.7751,1263397,0.0,1.0
2019-08-23,127.26,127.922,124.67,125.1,124.6492,1736121,0.0,1.0
2019-08-22,128.83,129.4251,126.97,128.19,127.728,963929,0.0,1.0
2019-08-21,131.58,131.65,128.0,128.35,127.8874,1646620,0.48,1.0
2019-08-20,130.03,131.6,129.73,130.68,129.7239,979775,0.0,1.0
2019-08-19,130.89,131.24,129.96,130.57,129.6147,1289252,0.0,1.0
2019-08-16,127.94,129.26,127.33,128.82,127.8775,1307626,0.0,1.0
2019-08-15,128.89,129.28,126.02,126.7,125.773,1950782,0.0,1.0
2019-08-14,130.36,131.93,126.23,126.85,125.9219,2103388,0.0,1.0
2019-08-13,130.19,133.23,130.01,132.41,131.4413,1616068,0.0,1.0
2019-08-12,131.2,131.75,129.84,130.01,129.0588,2305298,0.0,1.0
2019-08-09,131.34,132.98,129.73,132.46,131.4909,2304381,0.0,1.0
2019-08-08,129.11,131.06,128.2201,130.34,129.3864,1651036,0.0,1.0
2019-08-07,126.27,128.91,124.77,127.82,126.8848,2447899,0.0,1.0
2019-08-06,126.58,132.445,126.3,128.49,127.5499,3932539,0.0,1.0
2019-08-05,134.09,134.53,129.86,130.34,129.3864,3161859,0.0,1.0
2019-08-02,136.76,137.24,135.45,135.98,134.9851,1098742,0.0,1.0
2019-08-01,138.99,140.485,136.5,136.87,135.8686,1268737,0.0,1.0
2019-07-31,140.98,141.23,137.8,139.06,138.0426,1551642,0.0,1.0
2019-07-30,140.33,141.46,139.88,140.81,139.7798,947484,0.0,1.0
2019-07-29,139.94,141.5946,139.46,141.23,140.1967,1113900,0.0,1.0
2019-07-26,141.29,141.34,139.92,140.27,139.2437,1235165,0.0,1.0
2019-07-25,139.66,141.74,139.31,140.72,139.6905,1395540,0.0,1.0
2019-07-24,140.08,140.53,137.75,139.79,138.7673,1729997,0.0,1.0
2019-07-23,137.32,140.88,136.11,140.69,139.6607,2288063,0.0,1.0
2019-07-22,137.5,137.79,135.39,136.06,135.0645,1998078,0.0,1.0
2019-07-19,140.23,140.23,137.63,137.73,136.7223,1549821,0.0,1.0
2019-07-18,140.68,140.85,138.68,139.8,138.7772,1597396,0.0,1.0
2019-07-17,143.94,143.94,141.15,141.24,140.2066,1229487,0.0,1.0
2019-07-16,142.99,144.24,142.6,143.96,142.9067,1023541,0.0,1.0
2019-07-15,142.08,142.88,140.88,142.78,141.7354,1656087,0.0,1.0
2019-07-12,142.23,142.75,141.64,142.55,141.5071,1057918,0.0,1.0
2019-07-11,142.25,142.25,140.7,141.9,140.8618,1290482,0.0,1.0
2019-07-10,139.43,141.62,139.0,141.57,140.5342,1956849,0.0,1.0
2019-07-09,138.63,139.6099,137.85,139.52,138.4992,1808107,0.0,1.0
2019-07-08,141.74,141.74,140.02,141.3,140.2662,1166369,0.0,1.0
2019-07-05,140.89,142.18,139.634,142.01,140.971,1274148,0.0,1.0
2019-07-03,141.79,142.09,141.09,141.75,140.7129,650541,0.0,1.0
2019-07-02,140.81,141.27,139.25,141.26,140.2265,986446,0.0,1.0
2019-07-01,142.41,142.9,140.78,141.23,140.1967,1825597,0.0,1.0
2019-06-28,138.45,140.46,138.15,140.29,139.2636,3030299,0.0,1.0
2019-06-27,135.92,138.83,135.91,138.29,137.2782,1865235,0.0,1.0
2019-06-26,134.15,136.26,133.7,135.65,134.6575,1546274,0.0,1.0
2019-06-25,136.71,136.73,132.74,133.28,132.3049,1729774,0.0,1.0
2019-06-24,137.4,137.98,136.39,136.76,135.7594,1095189,0.0,1.0
2019-06-21,136.54,138.05,136.04,137.07,136.0672,2353466,0.0,1.0
2019-06-20,136.9,138.42,136.46,137.19,136.1863,1582731,0.0,1.0
2019-06-19,135.0,135.84,134.09,135.68,134.6873,1222354,0.0,1.0
2019-06-18,135.0,136.3,133.85,134.96,133.9726,1531626,0.0,1.0
