date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,579.87,580.33,555.88,580.0,580.0,506920,0.0,1.0
2019-11-29,590.79,598.55,578.0,580.58,580.58,297872,0.0,1.0
2019-11-27,586.25,590.0,580.0,589.4,589.4,229949,0.0,1.0
2019-11-26,582.05,586.99,576.14,583.15,583.15,553384,0.0,1.0
2019-11-25,567.23,587.5,566.97,585.0,585.0,474565,0.0,1.0
2019-11-22,564.63,567.47,554.5,565.5,565.5,434590,0.0,1.0
2019-11-21,548.62,563.63,546.48,562.0,562.0,641755,0.0,1.0
2019-11-20,535.0,547.98,533.48,547.85,547.85,585840,0.0,1.0
2019-11-19,533.3,537.3076,518.19,536.33,536.33,517050,0.0,1.0
2019-11-18,550.11,552.315,530.35,533.01,533.01,624880,0.0,1.0
2019-11-15,541.1,551.64,538.0,550.1,550.1,865946,0.0,1.0
2019-11-14,512.86,539.68,512.21,536.54,536.54,877806,0.0,1.0
2019-11-13,499.0,515.43,496.6,513.73,513.73,731038,0.0,1.0
2019-11-12,498.13,504.9361,495.955,499.5,499.5,727205,0.0,1.0
2019-11-11,491.42,499.2,489.58,497.62,497.62,264336,0.0,1.0
2019-11-08,490.52,498.64,490.52,494.42,494.42,390646,0.0,1.0
2019-11-07,487.45,499.78,485.45,491.99,491.99,454340,0.0,1.0
2019-11-06,485.1,504.55,481.77,482.95,482.95,628965,0.0,1.0
2019-11-05,485.41,497.39,477.21,485.06,485.06,677425,0.0,1.0
2019-11-04,498.84,499.98,470.1,485.79,485.79,1373332,0.0,1.0
2019-11-01,520.1,531.9,488.37,490.0,490.0,2172748,0.0,1.0
2019-10-31,551.38,554.99,514.0047,521.52,521.52,973562,0.0,1.0
2019-10-30,542.01,552.0,535.0,551.05,551.05,317213,0.0,1.0
2019-10-29,536.9,544.625,530.0,542.01,542.01,273006,0.0,1.0
2019-10-28,554.0,558.34,539.0,540.03,540.03,415241,0.0,1.0
2019-10-25,550.0,559.48,547.5,549.81,549.81,272111,0.0,1.0
2019-10-24,545.48,554.96,543.1912,551.62,551.62,199528,0.0,1.0
2019-10-23,533.96,548.33,533.96,541.41,541.41,237315,0.0,1.0
2019-10-22,545.49,551.0718,535.16,536.89,536.89,276534,0.0,1.0
2019-10-21,537.1,546.94,536.9207,545.38,545.38,253279,0.0,1.0
2019-10-18,549.91,549.91,534.15,536.27,536.27,302966,0.0,1.0
2019-10-17,555.45,558.965,548.46,549.25,549.25,383217,0.0,1.0
2019-10-16,567.06,567.06,545.0,548.98,548.98,406883,0.0,1.0
2019-10-15,559.77,572.93,556.65,566.55,566.55,419376,0.0,1.0
2019-10-14,552.98,558.59,551.48,555.58,555.58,216450,0.0,1.0
2019-10-11,552.45,560.98,548.5,554.21,554.21,492940,0.0,1.0
2019-10-10,530.0,547.41,530.0,542.41,542.41,408307,0.0,1.0
2019-10-09,530.0,537.57,522.69,532.03,532.03,432329,0.0,1.0
2019-10-08,544.3,545.4654,523.78,525.63,525.63,340953,0.0,1.0
2019-10-07,556.12,559.475,544.67,548.87,548.87,276407,0.0,1.0
2019-10-04,560.56,568.09,549.6,559.22,559.22,242004,0.0,1.0
2019-10-03,542.88,559.18,531.01,558.19,558.19,313146,0.0,1.0
2019-10-02,551.45,551.79,538.89,544.09,544.09,273229,0.0,1.0
2019-10-01,550.55,563.54,546.0,550.43,550.43,325844,0.0,1.0
2019-09-30,545.84,551.98,536.06,551.23,551.23,374298,0.0,1.0
2019-09-27,554.83,554.83,534.37,541.52,541.52,339733,0.0,1.0
2019-09-26,552.24,553.49,540.84,549.86,549.86,315398,0.0,1.0
2019-09-25,534.53,553.89,531.95,551.87,551.87,368975,0.0,1.0
2019-09-24,542.54,554.98,534.1007,537.29,537.29,479834,0.0,1.0
2019-09-23,544.31,547.78,536.37,540.09,540.09,339879,0.0,1.0
2019-09-20,549.0,558.18,543.1185,547.97,547.97,494563,0.0,1.0
2019-09-19,542.5,556.53,541.85,549.31,549.31,454333,0.0,1.0
2019-09-18,548.28,551.58,530.76,542.52,542.52,573687,0.0,1.0
2019-09-17,553.12,559.0555,546.99,549.98,549.98,433254,0.0,1.0
2019-09-16,557.55,561.0,548.72,554.05,554.05,514781,0.0,1.0
2019-09-13,571.01,573.97,563.19,566.83,566.83,415626,0.0,1.0
2019-09-12,568.44,573.77,559.99,571.73,571.73,371814,0.0,1.0
2019-09-11,551.05,574.09,543.765,560.88,560.88,672887,0.0,1.0
2019-09-10,550.0,559.0,536.26,549.17,549.17,1074105,0.0,1.0
2019-09-09,608.4,608.4,555.93,571.13,571.13,583889,0.0,1.0
2019-09-06,605.36,608.99,594.58,597.79,597.79,198381,0.0,1.0
2019-09-05,602.02,612.83,597.1601,605.69,605.69,306880,0.0,1.0
2019-09-04,586.0,594.79,581.29,590.0,590.0,379235,0.0,1.0
2019-09-03,587.19,592.94,573.92,581.0,581.0,420906,0.0,1.0
2019-08-30,602.4,604.99,584.625,594.6,594.6,290213,0.0,1.0
2019-08-29,590.79,596.8,578.85,593.49,593.49,394955,0.0,1.0
2019-08-28,593.41,593.765,584.06,588.15,588.15,384541,0.0,1.0
2019-08-27,609.75,614.79,591.75,594.13,594.13,507733,0.0,1.0
2019-08-26,605.97,612.88,599.82,602.62,602.62,332054,0.0,1.0
2019-08-23,613.89,619.74,595.0,598.18,598.18,408061,0.0,1.0
2019-08-22,626.06,630.8837,608.49,619.4,619.4,278054,0.0,1.0
2019-08-21,622.52,634.5399,620.01,629.83,629.83,348447,0.0,1.0
2019-08-20,603.36,620.315,596.62,612.3,612.3,362187,0.0,1.0
2019-08-19,637.44,639.69,597.34,603.35,603.35,614695,0.0,1.0
2019-08-16,623.0,631.375,619.015,624.53,624.53,354189,0.0,1.0
2019-08-15,620.99,628.5,604.54,613.25,613.25,414128,0.0,1.0
2019-08-14,620.99,632.36,616.36,620.0,620.0,464944,0.0,1.0
2019-08-13,644.89,656.14,627.03,637.57,637.57,801827,0.0,1.0
2019-08-12,612.56,633.043,585.735,623.65,623.65,1761241,0.0,1.0
2019-08-09,682.69,698.98,675.0937,690.1,690.1,544417,0.0,1.0
2019-08-08,645.0,693.84,640.0,688.1,688.1,1140855,0.0,1.0
2019-08-07,596.98,614.96,581.13,613.54,613.54,638075,0.0,1.0
2019-08-06,588.53,601.99,586.88,601.04,601.04,566021,0.0,1.0
2019-08-05,598.52,602.66,567.39,574.25,574.25,887176,0.0,1.0
2019-08-02,622.63,625.0,609.6,614.71,614.71,341773,0.0,1.0
2019-08-01,624.53,648.55,617.025,626.45,626.45,455917,0.0,1.0
2019-07-31,636.9,643.44,614.13,621.42,621.42,427112,0.0,1.0
2019-07-30,646.73,650.05,629.6325,633.78,633.78,467100,0.0,1.0
2019-07-29,656.13,658.3,646.01,653.39,653.39,312909,0.0,1.0
2019-07-26,650.0,662.9,647.1375,654.71,654.71,397641,0.0,1.0
2019-07-25,662.46,666.18,650.86,652.5,652.5,558344,0.0,1.0
2019-07-24,631.34,660.3,627.54,660.0,660.0,582030,0.0,1.0
2019-07-23,638.59,641.61,623.3,634.83,634.83,417097,0.0,1.0
2019-07-22,631.4,640.95,630.0,636.51,636.51,316476,0.0,1.0
2019-07-19,652.99,657.1855,626.35,626.7,626.7,479284,0.0,1.0
2019-07-18,630.13,650.9,629.9755,648.67,648.67,581004,0.0,1.0
2019-07-17,632.95,640.8908,623.26,631.73,631.73,383905,0.0,1.0
2019-07-16,649.78,652.98,629.995,633.95,633.95,571956,0.0,1.0
2019-07-15,649.25,660.63,639.95,645.11,645.11,636759,0.0,1.0
2019-07-12,633.85,647.86,628.765,644.79,644.79,514696,0.0,1.0
2019-07-11,632.21,638.71,625.67,634.29,634.29,467754,0.0,1.0
2019-07-10,646.0,654.1689,619.5,633.33,633.33,755087,0.0,1.0
2019-07-09,626.83,641.17,624.81,640.56,640.56,339373,0.0,1.0
2019-07-08,635.71,635.71,624.22,629.97,629.97,313739,0.0,1.0
2019-07-05,628.0,641.57,621.63,638.18,638.18,300935,0.0,1.0
2019-07-03,630.98,633.52,619.01,633.52,633.52,207503,0.0,1.0
2019-07-02,616.0,631.55,613.53,626.98,626.98,425091,0.0,1.0
2019-07-01,627.19,637.0,612.38,619.31,619.31,501524,0.0,1.0
2019-06-28,613.12,613.12,603.1,611.77,611.77,375085,0.0,1.0
2019-06-27,608.83,614.395,607.34,610.67,610.67,573627,0.0,1.0
2019-06-26,625.32,625.32,605.56,609.22,609.22,462157,0.0,1.0
2019-06-25,623.43,624.99,609.0,614.54,614.54,389095,0.0,1.0
2019-06-24,633.88,637.37,619.13,621.8,621.8,357671,0.0,1.0
2019-06-21,635.92,644.71,624.89,630.65,630.65,454922,0.0,1.0
2019-06-20,659.36,672.55,619.15,636.44,636.44,581876,0.0,1.0
2019-06-19,623.42,643.97,616.19,641.39,641.39,390918,0.0,1.0
2019-06-18,626.72,632.09,621.68,622.75,622.75,465255,0.0,1.0
2019-06-17,620.93,623.45,612.24,618.85,618.85,460026,0.0,1.0
2019-06-14,632.87,635.59,609.41,616.0,616.0,621995,0.0,1.0
2019-06-13,630.0,635.71,616.83,635.59,635.59,568003,0.0,1.0
2019-06-12,608.33,633.11,608.33,623.41,623.41,625313,0.0,1.0
2019-06-11,628.06,634.0,608.39,613.3,613.3,455835,0.0,1.0
2019-06-10,625.89,632.6691,613.03,616.46,616.46,564695,0.0,1.0
2019-06-07,582.0,618.0,582.0,604.49,604.49,695299,0.0,1.0
2019-06-06,569.14,587.37,565.4819,581.69,581.69,555435,0.0,1.0
2019-06-05,564.22,569.81,546.99,569.15,569.15,700002,0.0,1.0
2019-06-04,568.0,577.69,544.4406,551.71,551.71,1173907,0.0,1.0
2019-06-03,567.59,589.815,564.74,568.77,568.77,688093,0.0,1.0
2019-05-31,566.56,576.71,560.4131,570.52,570.52,522921,0.0,1.0
2019-05-30,576.62,590.0,575.92,578.29,578.29,400167,0.0,1.0
2019-05-29,595.0,597.4067,568.34,573.61,573.61,936587,0.0,1.0
2019-05-28,596.0,611.955,595.5,600.58,600.58,593762,0.0,1.0
2019-05-24,584.44,595.68,584.0,592.55,592.55,512636,0.0,1.0
2019-05-23,563.11,582.735,563.0,580.67,580.67,424591,0.0,1.0
2019-05-22,565.85,589.0,563.03,569.49,569.49,653510,0.0,1.0
2019-05-21,578.34,580.0,567.51,572.95,572.95,366481,0.0,1.0
2019-05-20,572.99,577.66,564.68,574.09,574.09,510491,0.0,1.0
2019-05-17,585.01,589.89,573.63,574.57,574.57,551642,0.0,1.0
2019-05-16,573.57,596.7,573.57,595.73,595.73,698150,0.0,1.0
2019-05-15,558.24,582.48,558.24,572.93,572.93,583059,0.0,1.0
2019-05-14,551.24,565.0,546.9551,562.69,562.69,660025,0.0,1.0
2019-05-13,540.02,549.85,539.1553,543.03,543.03,664463,0.0,1.0
2019-05-10,542.7,558.77,536.58,557.84,557.84,544575,0.0,1.0
2019-05-09,529.48,551.37,520.87,542.64,542.64,546743,0.0,1.0
2019-05-08,536.29,554.37,535.66,536.06,536.06,541216,0.0,1.0
2019-05-07,557.91,562.62,535.12,539.41,539.41,726959,0.0,1.0
2019-05-06,565.58,580.43,562.31,567.69,567.69,625095,0.0,1.0
2019-05-03,541.85,589.5643,529.19,578.94,578.94,2195105,0.0,1.0
2019-05-02,484.35,491.98,478.7801,482.35,482.35,508289,0.0,1.0
2019-05-01,487.78,493.04,483.56,484.73,484.73,320090,0.0,1.0
2019-04-30,491.57,495.65,482.33,484.14,484.14,451653,0.0,1.0
2019-04-29,489.67,494.85,481.6007,494.16,494.16,437727,0.0,1.0
2019-04-26,491.19,495.0,485.3471,489.52,489.52,424998,0.0,1.0
2019-04-25,486.03,491.51,460.0,487.57,487.57,1223899,0.0,1.0
2019-04-24,503.34,504.945,475.1383,486.01,486.01,777582,0.0,1.0
2019-04-23,480.55,500.365,480.55,500.0,500.0,661766,0.0,1.0
2019-04-22,490.8,495.095,488.0,490.77,490.77,432727,0.0,1.0
2019-04-18,490.24,493.79,477.03,492.0,492.0,663587,0.0,1.0
2019-04-17,499.32,503.4601,486.69,498.38,498.38,502325,0.0,1.0
2019-04-16,515.05,518.58,498.0,501.96,501.96,469578,0.0,1.0
2019-04-15,503.03,516.39,502.69,513.68,513.68,496407,0.0,1.0
2019-04-12,505.46,509.09,503.315,504.52,504.52,358222,0.0,1.0
2019-04-11,507.0,510.5,499.185,503.73,503.73,387324,0.0,1.0
2019-04-10,507.12,516.91,504.71,514.34,514.34,347962,0.0,1.0
2019-04-09,500.74,510.0,500.74,505.18,505.18,240247,0.0,1.0
2019-04-08,503.84,506.84,496.62,506.5,506.5,210927,0.0,1.0
2019-04-05,511.7,511.7,498.44,502.85,502.85,391241,0.0,1.0
2019-04-04,508.55,508.79,490.865,501.48,501.48,708168,0.0,1.0
2019-04-03,522.55,527.09,507.7,508.58,508.58,775040,0.0,1.0
2019-04-02,517.02,521.55,508.32,509.99,509.99,575801,0.0,1.0
2019-04-01,516.28,525.9,514.9525,518.11,518.11,648034,0.0,1.0
2019-03-29,503.11,511.49,498.135,507.73,507.73,389617,0.0,1.0
2019-03-28,497.16,504.2,488.35,497.15,497.15,553043,0.0,1.0
2019-03-27,490.01,498.63,479.13,484.94,484.94,634620,0.0,1.0
2019-03-26,497.32,501.37,490.455,493.9,493.9,489398,0.0,1.0
2019-03-25,497.2,501.03,489.825,491.3,491.3,402623,0.0,1.0
2019-03-22,499.28,503.56,489.37,497.37,497.37,702977,0.0,1.0
2019-03-21,496.25,506.32,493.7013,504.48,504.48,463489,0.0,1.0
2019-03-20,484.86,500.5925,482.84,497.95,497.95,760801,0.0,1.0
2019-03-19,483.3,491.77,479.0,482.36,482.36,687538,0.0,1.0
2019-03-18,490.0,494.395,479.0,484.97,484.97,885722,0.0,1.0
2019-03-15,486.31,495.0,482.035,488.73,488.73,1120678,0.0,1.0
2019-03-14,503.36,506.8,491.76,493.79,493.79,1063884,0.0,1.0
2019-03-13,489.6,514.8969,488.0,507.93,507.93,3285329,0.0,1.0
2019-03-12,481.49,484.43,472.16,483.48,483.48,1488611,0.0,1.0
2019-03-11,455.23,483.75,450.85,481.11,481.11,1142784,0.0,1.0
2019-03-08,436.45,450.15,436.45,449.59,449.59,588384,0.0,1.0
2019-03-07,460.0,462.1013,446.58,451.15,451.15,1317163,0.0,1.0
2019-03-06,466.6,469.08,457.16,461.53,461.53,448140,0.0,1.0
2019-03-05,469.71,478.595,461.9646,467.77,467.77,705435,0.0,1.0
2019-03-04,455.88,465.0,449.68,463.8,463.8,724658,0.0,1.0
2019-03-01,461.75,474.84,446.995,451.64,451.64,1408250,0.0,1.0
2019-02-28,444.18,462.07,443.45,458.79,458.79,1136455,0.0,1.0
2019-02-27,408.0,452.43,405.01,446.68,446.68,2625297,0.0,1.0
2019-02-26,372.0,374.92,362.5101,369.49,369.49,781158,0.0,1.0
2019-02-25,375.23,382.84,373.85,375.09,375.09,548343,0.0,1.0
2019-02-22,367.17,374.31,366.255,374.06,374.06,304734,0.0,1.0
2019-02-21,367.0,368.88,358.0709,364.98,364.98,427140,0.0,1.0
2019-02-20,367.35,372.48,363.17,368.34,368.34,399167,0.0,1.0
2019-02-19,362.61,370.89,361.385,367.21,367.21,488870,0.0,1.0
2019-02-15,364.19,365.5599,360.01,363.1,363.1,243300,0.0,1.0
2019-02-14,357.0,364.56,356.0,359.84,359.84,373567,0.0,1.0
2019-02-13,365.03,367.86,357.54,360.57,360.57,228207,0.0,1.0
2019-02-12,354.38,367.61,351.51,364.0,364.0,527211,0.0,1.0
2019-02-11,350.0,355.11,346.99,350.83,350.83,559903,0.0,1.0
2019-02-08,351.19,353.27,338.95,347.82,347.82,908111,0.0,1.0
2019-02-07,354.58,361.5,345.39,358.2,358.2,332162,0.0,1.0
2019-02-06,360.37,365.75,352.9591,358.92,358.92,501510,0.0,1.0
2019-02-05,370.28,374.97,362.31,363.25,363.25,451109,0.0,1.0
2019-02-04,361.85,369.03,354.39,368.08,368.08,358416,0.0,1.0
2019-02-01,365.73,366.89,359.0,364.66,364.66,495599,0.0,1.0
2019-01-31,361.7,368.27,356.06,364.0,364.0,733797,0.0,1.0
2019-01-30,352.13,366.34,351.3,362.02,362.02,575417,0.0,1.0
2019-01-29,354.7,356.9999,346.4,351.23,351.23,453184,0.0,1.0
2019-01-28,338.12,356.4212,335.28,355.0,355.0,468673,0.0,1.0
2019-01-25,344.33,347.51,339.09,342.88,342.88,469313,0.0,1.0
2019-01-24,331.07,339.835,329.9972,339.15,339.15,456261,0.0,1.0
2019-01-23,334.79,337.0639,322.82,328.88,328.88,420517,0.0,1.0
2019-01-22,340.99,342.38,324.12,330.86,330.86,622210,0.0,1.0
2019-01-18,347.07,353.97,341.12,350.66,350.66,475905,0.0,1.0
2019-01-17,341.26,346.285,335.11,342.23,342.23,388104,0.0,1.0
2019-01-16,340.0,349.61,336.47,344.92,344.92,643606,0.0,1.0
2019-01-15,341.19,350.99,341.19,350.1,350.1,513224,0.0,1.0
2019-01-14,340.7,346.57,337.0,339.77,339.77,400675,0.0,1.0
2019-01-11,337.49,348.4585,333.86,344.95,344.95,431938,0.0,1.0
2019-01-10,336.09,343.99,331.0,339.59,339.59,620410,0.0,1.0
2019-01-09,333.1,347.79,330.545,339.96,339.96,590486,0.0,1.0
2019-01-08,334.17,334.99,317.735,328.49,328.49,500925,0.0,1.0
2019-01-07,315.73,330.89,315.73,328.94,328.94,467744,0.0,1.0
2019-01-04,301.67,317.97,301.01,315.33,315.33,606574,0.0,1.0
2019-01-03,295.08,300.5,289.14,296.59,296.59,564326,0.0,1.0
2019-01-02,285.61,298.87,282.88,298.01,298.01,349028,0.0,1.0
2018-12-31,295.0,298.32,285.11,292.85,292.85,390323,0.0,1.0
2018-12-28,291.89,299.81,282.44,292.09,292.09,735622,0.0,1.0
2018-12-27,274.17,290.29,272.6126,289.1,289.1,579304,0.0,1.0
2018-12-26,261.23,283.91,260.4199,281.81,281.81,1031369,0.0,1.0
2018-12-24,281.92,284.44,257.52,257.52,257.52,1005360,0.0,1.0
2018-12-21,308.1,315.64,285.58,286.56,286.56,1423599,0.0,1.0
2018-12-20,311.52,319.02,304.1,306.4,306.4,489518,0.0,1.0
2018-12-19,312.78,330.85,309.3,312.39,312.39,747848,0.0,1.0
2018-12-18,312.9,320.16,307.42,310.83,310.83,454889,0.0,1.0
2018-12-17,324.79,324.87,309.74,310.49,310.49,535054,0.0,1.0
2018-12-14,329.0,337.33,324.13,326.52,326.52,497445,0.0,1.0
2018-12-13,360.1,361.0,333.33,333.51,333.51,721475,0.0,1.0
2018-12-12,359.65,366.12,354.93,361.36,361.36,487773,0.0,1.0
2018-12-11,361.0,364.9375,351.6801,355.24,355.24,591678,0.0,1.0
2018-12-10,345.02,357.525,342.4873,353.52,353.52,446875,0.0,1.0
2018-12-07,349.5,357.91,341.65,346.56,346.56,389967,0.0,1.0
2018-12-06,344.02,350.89,340.26,350.56,350.56,600830,0.0,1.0
2018-12-04,369.0,373.9159,351.06,354.85,354.85,718799,0.0,1.0
2018-12-03,360.91,374.84,359.0,369.51,369.51,788909,0.0,1.0
2018-11-30,359.34,362.03,351.71,351.97,351.97,915360,0.0,1.0
2018-11-29,343.52,359.38,342.0,357.99,357.99,616410,0.0,1.0
2018-11-28,335.0,346.02,326.8639,345.78,345.78,658522,0.0,1.0
2018-11-27,320.32,332.01,314.21,331.72,331.72,391100,0.0,1.0
2018-11-26,316.79,323.675,314.1184,322.18,322.18,644249,0.0,1.0
2018-11-23,314.08,321.16,308.53,309.82,309.82,480023,0.0,1.0
2018-11-21,319.0,321.99,312.515,319.0,319.0,692045,0.0,1.0
2018-11-20,327.33,332.3,312.03,313.79,313.79,1136822,0.0,1.0
2018-11-19,341.16,343.94,333.26,335.39,335.39,519794,0.0,1.0
2018-11-16,336.39,347.59,331.81,344.61,344.61,450405,0.0,1.0
2018-11-15,336.96,344.61,331.5519,340.77,340.77,624723,0.0,1.0
2018-11-14,339.0,341.0,329.3,336.86,336.86,614815,0.0,1.0
2018-11-13,323.71,330.57,321.46,327.94,327.94,396378,0.0,1.0
2018-11-12,325.69,328.345,318.41,322.0,322.0,596344,0.0,1.0
2018-11-09,326.93,328.93,318.4363,325.69,325.69,427954,0.0,1.0
2018-11-08,347.51,348.4318,327.58,331.47,331.47,568307,0.0,1.0
2018-11-07,340.0,349.91,329.5292,349.56,349.56,549204,0.0,1.0
2018-11-06,352.76,356.36,335.24,336.19,336.19,593315,0.0,1.0
2018-11-05,353.59,360.49,350.7361,357.62,357.62,386466,0.0,1.0
2018-11-02,348.0,368.84,346.3651,354.39,354.39,1361383,0.0,1.0
2018-11-01,330.89,343.445,320.06,341.65,341.65,846257,0.0,1.0
2018-10-31,315.07,329.51,315.0,324.5,324.5,1042284,0.0,1.0
2018-10-30,286.68,312.8,285.1,310.41,310.41,868624,0.0,1.0
2018-10-29,300.98,304.5,281.3,287.34,287.34,956246,0.0,1.0
2018-10-26,295.71,302.879,287.28,295.37,295.37,725299,0.0,1.0
2018-10-25,296.17,302.2,291.0,297.59,297.59,601765,0.0,1.0
2018-10-24,306.76,309.45,291.07,291.4,291.4,490794,0.0,1.0
2018-10-23,303.02,309.38,295.6,306.86,306.86,505613,0.0,1.0
2018-10-22,305.99,318.14,301.95,313.56,313.56,580946,0.0,1.0
2018-10-19,300.92,312.135,298.78,301.87,301.87,418440,0.0,1.0
2018-10-18,313.18,317.25,297.0,298.76,298.76,499099,0.0,1.0
2018-10-17,307.91,319.03,304.69,313.37,313.37,536868,0.0,1.0
2018-10-16,297.2,309.3,296.01,308.6,308.6,1242225,0.0,1.0
2018-10-15,303.28,303.28,291.505,294.75,294.75,1291402,0.0,1.0
2018-10-12,311.94,314.21,295.4,303.42,303.42,1350695,0.0,1.0
2018-10-11,314.72,320.75,298.07,304.86,304.86,944963,0.0,1.0
2018-10-10,336.39,338.71,314.5301,319.07,319.07,835231,0.0,1.0
2018-10-09,337.47,341.495,333.865,340.06,340.06,495839,0.0,1.0
2018-10-08,348.94,351.41,327.51,339.5,339.5,1110096,0.0,1.0
2018-10-05,340.62,349.945,330.29,335.64,335.64,635265,0.0,1.0
2018-10-04,351.75,352.0,332.1605,339.46,339.46,595691,0.0,1.0
2018-10-03,356.56,362.33,350.26,354.1,354.1,716752,0.0,1.0
2018-10-02,334.59,354.49,332.82,353.9,353.9,1054120,0.0,1.0
2018-10-01,343.84,353.11,331.74,332.49,332.49,882795,0.0,1.0
2018-09-28,337.74,344.649,336.5252,340.47,340.47,487255,0.0,1.0
2018-09-27,333.31,346.1,325.09,340.08,340.08,1018481,0.0,1.0
2018-09-26,320.73,337.5,320.0,330.75,330.75,949677,0.0,1.0
2018-09-25,333.26,333.89,318.02,319.62,319.62,800313,0.0,1.0
2018-09-24,317.0,334.15,313.34,331.38,331.38,1042542,0.0,1.0
2018-09-21,324.42,330.11,319.3,319.68,319.68,643837,0.0,1.0
2018-09-20,318.88,325.28,316.69,323.08,323.08,520634,0.0,1.0
2018-09-19,315.5,319.5,310.6507,315.81,315.81,799454,0.0,1.0
2018-09-18,323.15,331.99,314.5,315.08,315.08,827920,0.0,1.0
2018-09-17,323.93,328.6941,317.11,322.26,322.26,530885,0.0,1.0
2018-09-14,321.61,329.52,318.25,325.04,325.04,745360,0.0,1.0
2018-09-13,320.31,332.831,319.6,320.67,320.67,532117,0.0,1.0
2018-09-12,318.0,321.42,310.7935,316.9,316.9,696308,0.0,1.0
2018-09-11,317.31,326.45,315.9731,318.73,318.73,568056,0.0,1.0
2018-09-10,327.72,329.25,318.36,319.43,319.43,426166,0.0,1.0
2018-09-07,320.0,332.5,317.77,326.5,326.5,554468,0.0,1.0
2018-09-06,328.97,331.7,320.31,320.76,320.76,992924,0.0,1.0
2018-09-05,339.91,340.6819,323.01,328.0,328.0,1269159,0.0,1.0
2018-09-04,340.0,345.6,336.97,342.27,342.27,708061,0.0,1.0
2018-08-31,338.44,343.37,336.55,342.41,342.41,883623,0.0,1.0
2018-08-30,375.41,375.41,339.3301,340.15,340.15,1831504,0.0,1.0
2018-08-29,379.4,381.01,374.0,377.44,377.44,638102,0.0,1.0
2018-08-28,374.95,381.8989,372.28,378.18,378.18,578886,0.0,1.0
2018-08-27,370.98,377.57,368.77,374.85,374.85,658411,0.0,1.0
2018-08-24,350.07,373.115,349.17,367.54,367.54,1453416,0.0,1.0
2018-08-23,342.5,355.0,341.86,348.33,348.33,653954,0.0,1.0
2018-08-22,332.92,345.98,328.0,344.93,344.93,1663922,0.0,1.0
2018-08-21,319.0,335.66,315.1526,328.45,328.45,1182902,0.0,1.0
2018-08-20,323.83,325.2055,315.25,319.75,319.75,863420,0.0,1.0
2018-08-17,333.29,334.66,321.57,324.2,324.2,860165,0.0,1.0
2018-08-16,349.04,351.0,333.61,334.8,334.8,717041,0.0,1.0
2018-08-15,355.0,357.4893,339.94,344.79,344.79,1156941,0.0,1.0
2018-08-14,362.36,365.61,355.305,363.51,363.51,267538,0.0,1.0
2018-08-13,371.95,371.95,357.09,358.86,358.86,726100,0.0,1.0
2018-08-10,378.86,384.97,365.61,372.35,372.35,986528,0.0,1.0
2018-08-09,337.88,394.92,337.19,384.39,384.39,2099005,0.0,1.0
2018-08-08,348.07,356.1327,343.0105,344.43,344.43,672404,0.0,1.0
2018-08-07,349.52,351.51,343.23,347.42,347.42,893929,0.0,1.0
2018-08-06,342.82,349.74,340.4,348.52,348.52,339870,0.0,1.0
2018-08-03,340.89,344.11,336.5,343.88,343.88,380951,0.0,1.0
2018-08-02,343.09,345.0,335.08,339.27,339.27,662038,0.0,1.0
2018-08-01,342.06,353.26,339.8,346.14,346.14,580901,0.0,1.0
2018-07-31,342.69,354.56,339.5177,342.91,342.91,658364,0.0,1.0
2018-07-30,355.97,356.6202,340.435,343.25,343.25,787158,0.0,1.0
2018-07-27,365.63,366.43,350.22,354.57,354.57,562497,0.0,1.0
2018-07-26,355.61,367.0,355.61,363.73,363.73,397429,0.0,1.0
2018-07-25,355.99,366.56,351.87,364.99,364.99,516289,0.0,1.0
2018-07-24,366.79,368.11,350.33,353.0,353.0,671673,0.0,1.0
2018-07-23,373.8,374.98,357.25,363.29,363.29,961277,0.0,1.0
2018-07-20,372.93,381.5,368.741,373.46,373.46,779118,0.0,1.0
2018-07-19,366.51,375.4464,363.701,374.61,374.61,948086,0.0,1.0
2018-07-18,360.23,377.6607,359.7,369.35,369.35,2050708,0.0,1.0
2018-07-17,339.0,362.74,332.106,359.8,359.8,1705961,0.0,1.0
2018-07-16,328.76,346.66,326.2617,343.25,343.25,1031776,0.0,1.0
2018-07-13,318.0,329.15,315.131,327.68,327.68,935104,0.0,1.0
2018-07-12,306.09,321.605,303.67,318.05,318.05,715924,0.0,1.0
2018-07-11,303.12,306.6,300.0,303.24,303.24,392192,0.0,1.0
2018-07-10,311.3,312.0,305.265,308.15,308.15,590816,0.0,1.0
