date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,56.8,56.97,55.94,56.46,56.46,2230138,0.0,1.0
2019-11-29,57.15,57.41,56.58,56.67,56.67,894924,0.0,1.0
2019-11-27,57.08,57.71,57.025,57.3,57.3,1391887,0.0,1.0
2019-11-26,56.5,57.01,56.16,56.89,56.89,1804336,0.48,1.0
2019-11-25,55.3,57.01,55.3,56.94,56.4636,3581928,0.0,1.0
2019-11-22,55.29,55.49,54.78,55.29,54.8274,1863218,0.0,1.0
2019-11-21,55.24,55.625,54.27,54.93,54.4704,2486924,0.0,1.0
2019-11-20,55.85,56.33,55.24,55.47,55.0059,2138012,0.0,1.0
2019-11-19,56.9,57.08,55.85,56.0,55.5315,4021538,0.0,1.0
2019-11-18,57.59,57.74,56.53,56.62,56.1463,1954024,0.0,1.0
2019-11-15,58.38,58.42,56.98,57.81,57.3263,3465135,0.0,1.0
2019-11-14,58.44,58.58,57.71,57.78,57.2966,3042058,0.0,1.0
2019-11-13,58.18,58.62,57.67,58.46,57.9709,2075516,0.0,1.0
2019-11-12,59.12,59.49,58.26,58.39,57.9015,2419327,0.0,1.0
2019-11-11,59.06,59.12,58.765,59.1,58.6055,1159252,0.0,1.0
2019-11-08,59.25,59.63,58.95,59.55,59.0518,1366136,0.0,1.0
2019-11-07,60.3,60.39,59.255,59.6,59.1013,1398678,0.0,1.0
2019-11-06,60.64,60.64,59.3,59.64,59.141,1788380,0.0,1.0
2019-11-05,60.69,61.15,60.14,60.87,60.3607,1758844,0.0,1.0
2019-11-04,61.38,61.5488,60.32,60.55,60.0434,1681010,0.0,1.0
2019-11-01,59.11,60.5954,59.11,60.55,60.0434,1516195,0.0,1.0
2019-10-31,58.7,58.87,57.05,58.66,58.1692,2024101,0.0,1.0
2019-10-30,62.0,62.11,58.7,58.87,58.3774,3354030,0.0,1.0
2019-10-29,58.19,59.38,58.18,58.66,58.1692,3619689,0.0,1.0
2019-10-28,57.63,58.15,57.6,57.98,57.4949,2201196,0.0,1.0
2019-10-25,57.25,57.74,56.965,57.16,56.6818,1826799,0.0,1.0
2019-10-24,56.96,57.41,56.69,57.13,56.652,1796187,0.0,1.0
2019-10-23,56.995,57.7,56.05,56.5,56.0273,2781160,0.0,1.0
2019-10-22,58.81,59.02,58.32,58.61,58.1196,1176973,0.0,1.0
2019-10-21,58.33,58.6,57.96,58.52,58.0304,1381482,0.0,1.0
