date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2016-11-07,90.34,90.34,90.34,90.34,90.34,0,0.0,1.0
2016-11-04,90.34,90.34,90.34,90.34,90.34,0,0.0,1.0
2016-11-03,94.0,94.0,94.0,94.0,94.0,0,0.0,1.0
2016-11-02,89.16,89.16,89.16,89.16,89.16,0,0.0,1.0
2016-11-01,90.0,90.0,90.0,90.0,90.0,0,0.0,1.0
2016-10-31,93.12,93.12,93.12,93.12,93.12,0,0.0,1.0
2016-10-28,95.02,95.02,95.02,95.02,95.02,0,0.0,1.0
2016-10-27,94.37,94.37,94.37,94.37,94.37,0,0.0,1.0
2016-10-26,99.35,99.35,99.35,99.35,99.35,0,0.0,1.0
2016-10-25,100.75,100.75,100.75,100.75,100.75,0,0.0,1.0
2016-10-24,101.49,101.49,101.49,101.49,101.49,0,0.0,1.0
2016-10-21,102.92,102.92,102.92,102.92,102.92,0,0.0,1.0
2016-10-20,101.63,101.63,101.63,101.63,101.63,0,0.0,1.0
2016-10-19,100.54,100.54,100.54,100.54,100.54,0,0.0,1.0
2016-10-18,100.49,100.49,100.49,100.49,100.49,0,0.0,1.0
2016-10-17,100.52,100.52,100.52,100.52,100.52,0,0.0,1.0
2016-10-14,101.9,101.9,101.9,101.9,101.9,0,0.0,1.0
2016-10-13,102.42,102.42,102.42,102.42,102.42,0,0.0,1.0
2016-10-12,102.47,102.47,102.47,102.47,102.47,0,0.0,1.0
2016-10-11,102.6,102.6,102.6,102.6,102.6,0,0.0,1.0
2016-10-10,104.09,104.09,104.09,104.09,104.09,0,0.0,1.0
2016-10-07,105.19,105.19,105.19,105.19,105.19,0,0.0,1.0
2016-10-06,109.29,109.29,109.29,109.29,109.29,0,0.0,1.0
2016-10-05,109.54,109.54,109.54,109.54,109.54,0,0.0,1.0
2016-10-04,109.3,109.3,109.3,109.3,109.3,0,0.0,1.0
2016-10-03,109.91,109.91,109.91,109.91,109.91,0,0.0,1.0
2016-09-30,110.69,110.69,110.69,110.69,110.69,0,0.0,1.0
2016-09-29,109.85,109.85,109.85,109.85,109.85,0,0.0,1.0
2016-09-28,110.17,110.17,110.17,110.17,110.17,0,0.0,1.0
2016-09-27,109.83,109.83,109.83,109.83,109.83,0,0.0,1.0
2016-09-26,108.89,108.89,108.89,108.89,108.89,0,0.0,1.0
2016-09-23,108.78,108.78,108.78,108.78,108.78,0,0.0,1.0
2016-09-22,108.9,108.9,108.9,108.9,108.9,0,0.0,1.0
2016-09-21,108.98,108.98,108.98,108.98,108.98,0,0.0,1.0
2016-09-20,109.18,109.18,109.18,109.18,109.18,0,0.0,1.0
2016-09-19,109.32,109.32,109.32,109.32,109.32,0,0.0,1.0
2016-09-16,109.19,109.19,109.19,109.19,109.19,0,0.0,1.0
2016-09-15,109.6,109.6,109.6,109.6,109.6,0,0.0,1.0
2016-09-14,109.9,109.9,109.9,109.9,109.9,0,0.0,1.0
2016-09-13,110.2,110.2,110.2,110.2,110.2,0,0.0,1.0
2016-09-12,110.05,110.05,110.05,110.05,110.05,0,0.0,1.0
2016-09-09,110.01,110.01,110.01,110.01,110.01,0,0.0,1.0
2016-09-08,109.3,109.3,109.3,109.3,109.3,0,0.0,1.0
2016-09-07,109.29,109.29,109.29,109.29,109.29,0,0.0,1.0
2016-09-06,108.91,108.91,108.91,108.91,108.91,0,0.0,1.0
2016-09-02,108.96,108.96,108.96,108.96,108.96,0,0.0,1.0
2016-09-01,109.01,109.01,109.01,109.01,109.01,0,0.0,1.0
2016-08-31,108.9,108.9,108.9,108.9,108.9,0,0.0,1.0
2016-08-30,108.98,108.98,108.98,108.98,108.98,0,0.0,1.0
2016-08-29,108.98,108.98,108.98,108.98,108.98,0,0.0,1.0
2016-08-26,108.94,108.94,108.94,108.94,108.94,0,0.0,1.0
