date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,60.1,60.74,59.38,59.42,59.42,1728217,0.0,1.0
2019-11-29,60.47,61.07,60.47,60.59,60.59,838660,0.0,1.0
2019-11-27,60.56,60.92,60.15,60.55,60.55,1654860,0.0,1.0
2019-11-26,62.42,62.59,60.18,60.51,60.51,4633615,0.0,1.0
2019-11-25,61.77,62.98,61.26,62.65,62.65,2196193,0.0,1.0
2019-11-22,60.92,61.28,60.45,61.23,61.23,2502154,0.0,1.0
2019-11-21,61.65,61.85,60.645,60.7,60.7,2246859,0.0,1.0
2019-11-20,62.33,62.87,61.08,61.44,61.44,2471282,0.0,1.0
2019-11-19,63.8,63.9263,62.0,62.9,62.9,2972750,0.0,1.0
2019-11-18,62.56,63.785,62.165,63.49,63.49,2389762,0.0,1.0
2019-11-15,62.49,63.07,61.76,62.87,62.87,2456797,0.0,1.0
2019-11-14,59.86,63.0,59.5,61.98,61.98,7651616,0.0,1.0
2019-11-13,60.01,60.94,59.9,60.07,60.07,4540323,0.0,1.0
2019-11-12,60.16,60.24,59.51,60.14,60.14,2005050,0.0,1.0
2019-11-11,59.22,60.2,58.91,59.87,59.87,1978066,0.0,1.0
2019-11-08,58.63,59.485,58.26,59.41,59.41,1597695,0.0,1.0
2019-11-07,58.37,59.495,58.25,58.94,58.94,1742054,0.0,1.0
2019-11-06,59.32,59.7,57.84,57.88,57.88,2771252,0.0,1.0
2019-11-05,57.92,59.705,57.75,59.53,59.53,2665947,0.0,1.0
2019-11-04,57.91,58.69,57.435,57.92,57.92,2201344,0.0,1.0
2019-11-01,56.45,57.11,55.67,57.09,57.09,2217048,0.0,1.0
2019-10-31,56.18,56.36,55.42,55.88,55.88,1983381,0.0,1.0
2019-10-30,55.29,56.405,55.0,56.37,56.37,1558774,0.0,1.0
2019-10-29,55.78,55.93,55.345,55.47,55.47,1645628,0.0,1.0
2019-10-28,56.31,56.635,55.67,55.86,55.86,2223227,0.0,1.0
2019-10-25,55.54,56.4,55.28,56.01,56.01,1437283,0.0,1.0
2019-10-24,56.32,56.47,54.78,55.45,55.45,1596802,0.0,1.0
2019-10-23,55.21,56.12,55.12,56.01,56.01,1689348,0.0,1.0
2019-10-22,54.66,55.59,54.15,55.18,55.18,1538687,0.0,1.0
2019-10-21,54.14,55.43,53.9,54.57,54.57,2665093,0.0,1.0
2019-10-18,53.96,53.9783,53.04,53.49,53.49,1682389,0.0,1.0
2019-10-17,53.44,54.04,53.24,54.02,54.02,1599350,0.0,1.0
2019-10-16,53.13,53.64,52.91,53.22,53.22,1327606,0.0,1.0
2019-10-15,52.23,53.11,51.85,53.04,53.04,1740988,0.0,1.0
2019-10-14,51.51,52.38,51.195,52.2,52.2,1762977,0.0,1.0
2019-10-11,50.49,51.91,50.39,51.49,51.49,2060791,0.0,1.0
2019-10-10,49.04,50.53,48.81,49.78,49.78,3990595,0.0,1.0
2019-10-09,51.07,51.84,50.91,51.37,51.37,1416621,0.0,1.0
