date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,216.46,217.0,208.64,209.25,209.25,9241482,0.0,1.0
2019-11-29,217.0,218.14,215.78,216.74,216.74,3538924,0.0,1.0
2019-11-27,218.67,220.05,217.18,218.24,218.24,5410718,0.16,1.0
2019-11-26,220.5,220.6897,216.74,217.0,216.841,9642023,0.0,1.0
2019-11-25,216.04,221.41,215.52,221.21,221.0479,12683686,0.0,1.0
2019-11-22,211.09,212.9633,209.94,210.89,210.7355,5602470,0.0,1.0
2019-11-21,211.0,213.24,209.31,210.18,210.026,7209730,0.0,1.0
2019-11-20,207.07,214.55,206.5643,211.18,211.0253,11825438,0.0,1.0
2019-11-19,211.032,211.98,205.65,207.99,207.8376,10384506,0.0,1.0
2019-11-18,203.89,213.35,203.77,212.28,212.1245,14382963,0.0,1.0
2019-11-15,209.7,211.7799,200.6377,204.19,204.0404,26355409,0.0,1.0
2019-11-14,208.93,209.88,206.516,209.79,209.6363,13175171,0.0,1.0
2019-11-13,208.35,209.46,205.9,208.57,208.4172,7559124,0.0,1.0
2019-11-12,209.72,211.86,208.31,209.61,209.4564,7095971,0.0,1.0
2019-11-11,207.75,209.11,204.2801,208.18,208.0275,6094736,0.0,1.0
2019-11-08,207.66,209.05,206.15,207.78,207.6278,4735187,0.0,1.0
2019-11-07,211.106,211.7,206.54,208.34,208.1874,7008498,0.0,1.0
2019-11-06,208.64,209.67,204.11,207.63,207.4779,6725335,0.0,1.0
2019-11-05,210.49,211.54,207.68,209.61,209.4564,7521712,0.0,1.0
2019-11-04,205.85,211.0,204.9203,210.5,210.3458,9417905,0.0,1.0
2019-11-01,199.6,203.89,198.5925,202.59,202.4416,7090956,0.0,1.0
2019-10-31,202.16,203.0,197.81,201.02,200.8727,5243315,0.0,1.0
2019-10-30,204.0,204.23,200.26,203.0,202.8513,5149038,0.0,1.0
2019-10-29,206.23,206.49,202.14,202.92,202.7713,5280920,0.0,1.0
2019-10-28,206.3,208.9,205.1168,206.79,206.6385,8116718,0.0,1.0
2019-10-25,200.1,205.3804,199.79,204.54,204.3902,10577288,0.0,1.0
2019-10-24,196.75,198.21,195.38,196.86,196.7158,5975933,0.0,1.0
2019-10-23,192.31,195.66,191.03,195.09,194.9471,7144250,0.0,1.0
2019-10-22,198.3,202.53,195.3,195.61,195.4667,8434228,0.0,1.0
2019-10-21,192.96,196.55,192.2,196.01,195.8664,6546711,0.0,1.0
2019-10-18,194.31,195.62,187.5,190.49,190.3504,7548039,0.0,1.0
2019-10-17,196.0,197.8143,192.1,194.29,194.1477,6607924,0.0,1.0
2019-10-16,195.0,199.22,193.75,194.21,194.0677,10818828,0.0,1.0
2019-10-15,190.16,199.29,189.6,196.37,196.2261,16699633,0.0,1.0
2019-10-14,185.64,187.37,184.385,186.53,186.3933,5258394,0.0,1.0
2019-10-11,186.41,189.34,185.65,185.99,185.8537,11271668,0.0,1.0
2019-10-10,180.62,185.08,180.41,183.03,182.8959,8187889,0.0,1.0
2019-10-09,180.32,182.7,179.1601,180.71,180.5776,7697082,0.0,1.0
2019-10-08,180.64,180.64,176.5,177.23,177.1002,11233566,0.0,1.0
2019-10-07,184.58,188.34,184.23,184.33,184.195,12207839,0.0,1.0
2019-10-04,181.4,183.15,178.78,181.97,181.8367,6699005,0.0,1.0
2019-10-03,173.22,181.56,172.0,181.31,181.1772,11568265,0.0,1.0
2019-10-02,173.12,173.6,170.13,173.04,172.9132,7391544,0.0,1.0
2019-10-01,175.0,181.0,173.81,174.0,173.8725,9189150,0.0,1.0
2019-09-30,172.8,174.48,171.5401,174.07,173.9425,4829977,0.0,1.0
2019-09-27,175.66,177.7,169.32,171.76,171.6342,9148974,0.0,1.0
2019-09-26,177.84,178.19,175.29,177.34,177.2101,5945648,0.0,1.0
2019-09-25,172.51,179.02,170.71,178.23,178.0994,7827672,0.0,1.0
2019-09-24,176.1,177.29,171.1,172.53,172.4036,8031045,0.0,1.0
2019-09-23,172.7,176.67,172.55,174.84,174.7119,6395647,0.0,1.0
2019-09-20,176.9,177.85,172.28,172.69,172.5635,8931295,0.0,1.0
2019-09-19,180.22,180.96,176.5101,176.94,176.8104,6408569,0.0,1.0
2019-09-18,180.79,181.42,176.5,179.98,179.8481,6600942,0.0,1.0
2019-09-17,180.48,181.2356,178.61,181.07,180.9373,5711828,0.0,1.0
2019-09-16,178.92,181.6,178.5,180.21,180.078,5795796,0.0,1.0
2019-09-13,181.59,183.08,180.18,181.94,181.8067,8114787,0.0,1.0
2019-09-12,186.2,188.4,183.95,184.27,184.135,8196025,0.0,1.0
2019-09-11,183.77,186.27,182.6006,184.33,184.195,9037782,0.0,1.0
2019-09-10,179.18,184.25,178.79,183.18,183.0458,8820305,0.0,1.0
2019-09-09,179.9,183.98,179.84,180.5,180.3678,10438133,0.0,1.0
2019-09-06,178.8,181.09,177.12,178.65,178.5191,9424419,0.0,1.0
2019-09-05,172.865,179.99,172.8,179.74,179.6083,17412125,0.0,1.0
2019-09-04,166.61,169.06,166.61,168.76,168.6364,5703009,0.0,1.0
2019-09-03,164.58,165.91,163.252,164.17,164.0497,7412770,0.0,1.0
2019-08-30,168.86,170.86,166.78,167.51,167.3873,7272712,0.0,1.0
2019-08-29,164.9,168.3,164.76,167.0,166.8777,8959326,0.0,1.0
2019-08-28,160.58,163.34,159.0,161.22,161.1019,6376719,0.16,1.0
2019-08-27,166.99,167.1,160.62,161.8,161.5212,7288739,0.0,1.0
2019-08-26,165.61,166.58,163.91,165.45,165.1649,7964854,0.0,1.0
2019-08-23,168.4,170.59,161.64,162.44,162.1601,14237433,0.0,1.0
2019-08-22,171.62,173.33,169.9045,171.48,171.1845,7593918,0.0,1.0
2019-08-21,170.53,173.45,169.66,171.23,170.9349,10697773,0.0,1.0
2019-08-20,170.56,170.58,167.02,167.87,167.5807,11588040,0.0,1.0
2019-08-19,164.12,171.42,163.47,170.78,170.4857,20408061,0.0,1.0
2019-08-16,159.35,161.54,156.88,159.56,159.285,25384628,0.0,1.0
2019-08-15,150.83,151.63,147.394,148.77,148.5136,13861551,0.0,1.0
2019-08-14,152.5035,152.95,148.3111,150.07,149.8114,10497033,0.0,1.0
2019-08-13,151.39,157.9,149.8201,156.05,155.7811,9012811,0.0,1.0
2019-08-12,152.08,154.18,150.57,151.45,151.189,6980012,0.0,1.0
2019-08-09,156.61,156.75,152.15,154.18,153.9143,8545418,0.0,1.0
2019-08-08,156.21,158.31,153.9,158.26,157.9873,7732472,0.0,1.0
2019-08-07,149.9,154.37,149.2,153.89,153.6248,9314045,0.0,1.0
2019-08-06,153.8,155.63,150.43,152.35,152.0875,9031767,0.0,1.0
2019-08-05,153.8,153.85,148.9,150.79,150.5301,14728936,0.0,1.0
2019-08-02,161.19,163.98,159.28,161.19,160.9122,10708732,0.0,1.0
2019-08-01,169.14,172.78,162.8204,164.92,164.6358,10530314,0.0,1.0
2019-07-31,174.18,174.215,167.02,168.72,168.4292,8985391,0.0,1.0
2019-07-30,172.95,175.94,172.37,175.45,175.1476,4944261,0.0,1.0
2019-07-29,174.78,175.4697,171.27,174.82,174.5187,6204049,0.0,1.0
2019-07-26,174.47,176.95,174.47,175.07,174.7683,6853997,0.0,1.0
2019-07-25,176.99,177.5,172.44,173.38,173.0812,9817453,0.0,1.0
2019-07-24,177.4,178.89,174.34,178.66,178.3521,9155937,0.0,1.0
2019-07-23,172.9,175.74,172.27,175.66,175.3573,10704414,0.0,1.0
2019-07-22,169.3,171.84,169.0,171.32,171.0248,7898498,0.0,1.0
2019-07-19,171.72,171.98,168.2,168.44,168.1497,8622395,0.0,1.0
2019-07-18,170.125,172.71,167.85,170.18,169.8867,11079474,0.0,1.0
2019-07-17,167.15,169.99,165.974,169.71,169.4175,8705107,0.0,1.0
2019-07-16,166.67,168.17,164.8425,167.08,166.7921,8536098,0.0,1.0
2019-07-15,168.46,169.1058,166.13,167.27,166.9817,7245993,0.0,1.0
2019-07-12,167.4,170.47,167.4,167.61,167.3212,12659816,0.0,1.0
2019-07-11,163.0,167.92,161.5,166.28,165.9934,17063964,0.0,1.0
2019-07-10,159.06,162.3689,158.5,160.06,159.7842,11301899,0.0,1.0
2019-07-09,155.51,158.44,155.0,157.31,157.0389,8571512,0.0,1.0
2019-07-08,157.83,158.59,156.0,157.21,156.9391,8244669,0.0,1.0
2019-07-05,160.4,160.58,157.68,160.23,159.9539,9913847,0.0,1.0
2019-07-03,163.17,163.4,160.3415,162.75,162.4695,6165856,0.0,1.0
2019-07-02,165.5,166.3493,161.7,162.23,161.9504,10005688,0.0,1.0
2019-07-01,172.57,173.95,164.66,166.17,165.8836,17788327,0.0,1.0
2019-06-28,165.0,165.37,162.35,164.23,163.947,9941659,0.0,1.0
2019-06-27,162.71,164.0,161.26,163.23,162.9487,11136038,0.0,1.0
