date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,86.02,86.02,84.31,84.7,84.7,1277431,0.0,1.0
2019-11-29,86.45,86.77,85.93,86.12,86.12,578642,0.0,1.0
2019-11-27,86.43,86.49,85.74,86.49,86.49,1249909,0.0,1.0
2019-11-26,85.04,86.155,85.0,86.12,86.12,3269754,0.0,1.0
2019-11-25,84.97,85.3,84.49,84.86,84.86,1028750,0.0,1.0
2019-11-22,85.04,85.47,84.21,84.64,84.64,1024787,0.0,1.0
2019-11-21,85.98,85.98,84.59,84.96,84.96,1130097,0.0,1.0
2019-11-20,85.55,86.07,85.275,85.75,85.75,1151800,0.0,1.0
2019-11-19,85.39,86.13,85.01,85.79,85.79,1062597,0.0,1.0
2019-11-18,84.7,85.34,84.555,85.06,85.06,1172131,0.0,1.0
2019-11-15,84.81,84.83,84.14,84.7,84.7,1319053,0.0,1.0
2019-11-14,83.27,84.53,83.21,84.47,84.47,1077518,0.0,1.0
2019-11-13,82.86,83.68,82.785,83.53,83.53,1874005,0.0,1.0
2019-11-12,82.8,83.29,82.64,83.04,83.04,1194765,0.0,1.0
2019-11-11,82.97,83.4829,82.56,82.83,82.83,1014949,0.0,1.0
2019-11-08,82.99,83.28,82.42,83.25,83.25,1718510,0.0,1.0
2019-11-07,83.2,83.45,82.54,82.88,82.88,1381124,0.0,1.0
2019-11-06,82.86,83.23,82.1,82.66,82.66,1478226,0.0,1.0
2019-11-05,83.38,83.97,81.89,82.59,82.59,1735002,0.0,1.0
2019-11-04,84.38,84.48,83.2382,83.46,83.46,994811,0.0,1.0
2019-11-01,84.16,84.54,83.47,83.89,83.89,983484,0.0,1.0
2019-10-31,84.0,84.29,83.29,83.64,83.64,1174369,0.62,1.0
2019-10-30,84.63,84.75,83.5,84.65,84.0271,1138571,0.0,1.0
2019-10-29,84.61,85.12,84.375,84.55,83.9279,1155289,0.0,1.0
2019-10-28,85.03,85.08,84.05,84.42,83.7988,1033741,0.0,1.0
2019-10-25,84.29,84.97,84.09,84.53,83.908,923409,0.0,1.0
2019-10-24,84.09,84.81,83.6865,84.7,84.0768,1003383,0.0,1.0
2019-10-23,83.17,84.09,83.07,84.07,83.4514,1507629,0.0,1.0
2019-10-22,84.81,85.26,83.175,83.27,82.6573,1125207,0.0,1.0
2019-10-21,84.81,84.81,83.83,84.68,84.0569,1066906,0.0,1.0
2019-10-18,84.99,85.4,84.0,84.245,83.6251,1570315,0.0,1.0
2019-10-17,84.85,85.41,84.51,84.73,84.1065,1092562,0.0,1.0
2019-10-16,84.28,84.85,84.0,84.75,84.1264,1160766,0.0,1.0
2019-10-15,84.72,85.0,84.32,84.86,84.2356,1019121,0.0,1.0
2019-10-14,84.56,85.0,84.51,84.695,84.0718,1134669,0.0,1.0
2019-10-11,84.89,85.42,84.56,84.63,84.0073,1367359,0.0,1.0
2019-10-10,82.99,84.22,82.8139,83.94,83.3224,1074968,0.0,1.0
2019-10-09,82.17,83.43,82.17,83.1,82.4885,1333807,0.0,1.0
2019-10-08,82.62,83.0822,81.785,82.08,81.476,1350028,0.0,1.0
2019-10-07,83.84,84.08,82.89,82.93,82.3198,1489164,0.0,1.0
2019-10-04,83.01,84.49,82.68,84.35,83.7293,1801899,0.0,1.0
2019-10-03,83.14,83.35,80.0,82.56,81.9525,2206275,0.0,1.0
2019-10-02,82.8,83.9,81.33,83.35,82.7367,3868085,0.0,1.0
2019-10-01,83.15,83.6,81.65,81.89,81.2874,1850871,0.0,1.0
2019-09-30,81.95,82.89,81.55,82.77,82.161,1652139,0.0,1.0
2019-09-27,83.0,83.5,80.95,81.52,80.9202,1541099,0.0,1.0
2019-09-26,82.32,82.87,81.985,82.57,81.9624,938415,0.0,1.0
2019-09-25,81.71,82.675,80.66,82.26,81.6547,1403283,0.0,1.0
2019-09-24,82.45,83.26,81.45,81.67,81.0691,1575139,0.0,1.0
2019-09-23,82.66,82.86,82.07,82.2,81.5952,1401889,0.0,1.0
2019-09-20,82.58,83.49,82.46,82.54,81.9327,2503745,0.0,1.0
2019-09-19,82.85,83.63,82.372,82.5,81.893,1128767,0.0,1.0
2019-09-18,82.56,82.87,81.56,82.77,82.161,1348157,0.0,1.0
2019-09-17,81.51,82.57,81.5,82.55,81.9426,1313237,0.0,1.0
2019-09-16,81.41,81.99,80.87,81.06,80.4635,1468896,0.0,1.0
2019-09-13,81.7,82.58,81.27,81.62,81.0194,2430241,0.0,1.0
2019-09-12,81.72,82.72,81.54,81.69,81.0889,1804623,0.0,1.0
2019-09-11,80.74,81.4374,80.1,81.25,80.6521,1876635,0.0,1.0
2019-09-10,81.21,81.5,78.81,80.74,80.1459,3050240,0.0,1.0
2019-09-09,84.3,84.47,81.13,81.81,81.208,1820481,0.0,1.0
2019-09-06,83.88,84.49,83.85,84.07,83.4514,1261946,0.0,1.0
2019-09-05,83.21,83.905,82.9,83.8,83.1834,1793723,0.0,1.0
2019-09-04,81.75,82.49,81.67,82.39,81.7838,1368500,0.0,1.0
2019-09-03,81.09,82.05,80.7,81.0,80.404,1452157,0.0,1.0
2019-08-30,82.38,82.405,81.28,81.7,81.0988,1271762,0.0,1.0
2019-08-29,81.96,82.31,81.61,81.86,81.2577,794952,0.0,1.0
2019-08-28,80.27,81.14,79.95,81.03,80.4338,973892,0.0,1.0
2019-08-27,80.92,81.22,80.46,80.66,80.0665,947927,0.0,1.0
2019-08-26,80.58,80.75,79.655,80.45,79.858,1314548,0.0,1.0
2019-08-23,82.1,82.43,79.37,79.72,79.1334,1708698,0.0,1.0
2019-08-22,82.92,82.92,81.25,82.24,81.6349,1254521,0.0,1.0
2019-08-21,82.37,82.78,82.2,82.52,81.9128,998049,0.0,1.0
2019-08-20,82.34,82.67,81.79,81.95,81.347,790753,0.0,1.0
2019-08-19,82.46,82.52,81.887,82.29,81.6845,1036719,0.0,1.0
2019-08-16,80.82,81.665,80.6,81.47,80.8705,1732100,0.0,1.0
2019-08-15,79.78,80.86,79.65,80.09,79.5007,2072328,0.0,1.0
2019-08-14,82.68,82.95,80.97,81.06,80.4635,1685671,0.0,1.0
2019-08-13,82.9,83.88,82.58,83.73,83.1139,1331357,0.0,1.0
2019-08-12,83.41,83.586,82.34,82.8,82.1907,1109221,0.0,1.0
2019-08-09,84.21,84.28,82.71,83.55,82.9352,1353118,0.0,1.0
2019-08-08,82.61,84.41,81.24,84.41,83.7889,1460874,0.0,1.0
2019-08-07,81.23,82.59,80.66,82.25,81.6448,2307257,0.0,1.0
2019-08-06,81.05,82.6,80.64,82.27,81.6646,2222441,0.0,1.0
2019-08-05,82.73,83.06,80.36,80.88,80.2849,2561505,0.0,1.0
2019-08-02,83.36,84.47,83.0,83.93,83.3124,1869932,0.0,1.0
2019-08-01,83.12,84.47,82.8,83.88,83.2628,2216791,0.0,1.0
