date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,83.98,84.29,82.31,82.45,82.45,7534767,0.0,1.0
2019-11-29,84.51,85.1,83.42,83.55,83.55,3882382,0.0,1.0
2019-11-27,85.16,85.31,84.4713,84.8,84.8,5217649,0.0,1.0
2019-11-26,85.25,85.545,84.14,84.63,84.63,11587629,0.0,1.0
2019-11-25,85.76,86.29,85.08,85.29,85.29,8967364,0.0,1.0
2019-11-22,85.29,85.82,84.53,84.89,84.89,6166677,0.0,1.0
2019-11-21,84.79,86.3,84.55,85.11,85.11,10180379,0.0,1.0
2019-11-20,87.82,88.36,85.31,85.62,85.62,13050440,0.0,1.0
2019-11-19,91.25,91.39,86.68,87.96,87.96,18096637,0.0,1.0
2019-11-18,90.81,91.975,89.28,90.48,90.48,10367010,0.0,1.0
2019-11-15,92.6,93.94,90.5801,90.81,90.81,25491086,0.0,1.0
2019-11-14,90.31,90.58,89.43,90.48,90.48,8794397,0.0,1.0
2019-11-13,90.7,91.9,89.62,90.47,90.47,9519644,0.0,1.0
2019-11-12,92.18,92.25,90.17,90.97,90.97,9335820,0.0,1.0
2019-11-11,91.71,92.5244,90.89,91.84,91.84,11301319,0.0,1.0
2019-11-08,89.98,94.11,89.6,94.03,94.03,16375239,0.0,1.0
2019-11-07,89.83,92.5,88.32,89.98,89.98,30254016,0.0,1.0
2019-11-06,85.34,85.605,84.2242,84.63,84.63,9755311,0.0,1.0
2019-11-05,85.2,85.74,84.73,85.46,85.46,7280027,0.0,1.0
2019-11-04,84.54,85.87,84.3082,85.09,85.09,8389196,0.0,1.0
2019-11-01,81.59,83.65,81.25,83.58,83.58,8620326,0.0,1.0
2019-10-31,81.44,81.47,79.84,80.44,80.44,5693660,0.0,1.0
2019-10-30,82.1,82.2482,80.85,81.44,81.44,3970995,0.0,1.0
2019-10-29,82.75,82.85,81.44,81.66,81.66,4993553,0.0,1.0
2019-10-28,80.55,83.13,80.54,83.05,83.05,9750884,0.0,1.0
2019-10-25,79.0,80.23,78.91,80.17,80.17,6712346,0.0,1.0
2019-10-24,78.06,79.02,77.59,78.99,78.99,5422321,0.0,1.0
2019-10-23,77.21,78.13,76.87,77.24,77.24,5937606,0.0,1.0
2019-10-22,78.93,79.07,78.2405,78.47,78.47,5107829,0.0,1.0
2019-10-21,78.38,79.09,78.01,78.98,78.98,5119811,0.0,1.0
2019-10-18,78.62,79.22,77.6725,77.68,77.68,5866187,0.0,1.0
2019-10-17,78.7,79.96,78.4,78.97,78.97,5923920,0.0,1.0
2019-10-16,77.49,78.32,77.28,78.23,78.23,6366587,0.0,1.0
2019-10-15,76.88,77.98,76.28,77.82,77.82,5241661,0.0,1.0
2019-10-14,76.65,77.37,76.28,76.3,76.3,4660287,0.0,1.0
2019-10-11,76.19,77.82,76.01,76.7,76.7,7398164,0.0,1.0
2019-10-10,74.35,75.9656,74.17,74.97,74.97,6199401,0.0,1.0
2019-10-09,73.91,74.8,73.56,74.35,74.35,5271440,0.0,1.0
2019-10-08,75.52,75.82,72.81,72.85,72.85,9194400,0.0,1.0
2019-10-07,77.01,77.55,76.27,76.34,76.34,4400559,0.0,1.0
2019-10-04,76.32,77.56,75.84,77.49,77.49,4920357,0.0,1.0
2019-10-03,73.93,75.83,73.16,75.73,75.73,5633505,0.0,1.0
2019-10-02,75.26,75.71,73.77,73.99,73.99,6288051,0.0,1.0
2019-10-01,77.06,78.06,74.97,75.47,75.47,7049574,0.0,1.0
2019-09-30,76.89,76.95,76.02,76.28,76.28,5286277,0.0,1.0
2019-09-27,77.01,78.2,76.21,76.63,76.63,5013911,0.0,1.0
2019-09-26,77.16,77.69,75.94,77.35,77.35,3803609,0.0,1.0
2019-09-25,75.03,77.49,74.88,77.26,77.26,5700037,0.0,1.0
