date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,85.38,85.77,83.82,84.57,84.57,6377802,0.0,1.0
2019-11-29,85.91,86.73,85.25,85.43,85.43,3857027,0.0,1.0
2019-11-27,84.85,85.81,84.42,85.77,85.77,7506564,0.0,1.0
2019-11-26,84.13,84.65,84.0,84.56,84.56,7652316,0.0,1.0
2019-11-25,83.16,84.0,82.93,83.75,83.75,5450981,0.0,1.0
2019-11-22,82.69,83.39,82.66,83.02,83.02,6080782,0.0,1.0
2019-11-21,83.75,84.04,81.762,82.3,82.3,8300483,0.0,1.0
2019-11-20,83.54,84.49,82.98,83.6,83.6,6251318,0.0,1.0
2019-11-19,84.06,84.28,83.5708,83.66,83.66,6010423,0.0,1.0
2019-11-18,83.92,84.11,83.2505,84.02,84.02,6433068,0.0,1.0
2019-11-15,84.68,84.94,83.57,84.21,84.21,7537205,0.0,1.0
2019-11-14,84.1,84.52,83.8,84.38,84.38,5287433,0.0,1.0
2019-11-13,83.29,84.29,83.2,83.94,83.94,7439003,0.0,1.0
2019-11-12,82.69,83.976,82.605,83.32,83.32,8552693,0.41,1.0
2019-11-11,81.75,82.5312,81.37,82.43,82.0264,5832575,0.0,1.0
2019-11-08,82.19,82.64,81.45,81.77,81.3696,7088064,0.0,1.0
2019-11-07,83.06,83.29,81.84,81.95,81.5487,7221382,0.0,1.0
2019-11-06,82.08,83.37,82.0,82.99,82.5836,6365267,0.0,1.0
2019-11-05,82.34,82.34,81.0301,81.89,81.489,7054400,0.0,1.0
2019-11-04,83.3,83.435,81.9,82.37,81.9667,8271187,0.0,1.0
2019-11-01,84.79,85.31,82.61,83.21,82.8025,10658473,0.0,1.0
2019-10-31,86.71,87.22,83.28,84.56,84.1459,14008811,0.0,1.0
2019-10-30,84.61,84.7,83.32,84.19,83.7777,8731291,0.0,1.0
2019-10-29,83.81,84.63,83.64,84.13,83.718,5699093,0.0,1.0
2019-10-28,84.47,84.98,83.36,83.6,83.1906,6642114,0.0,1.0
2019-10-25,83.21,83.565,82.63,83.38,82.9717,5235296,0.0,1.0
2019-10-24,82.8,83.53,82.6605,83.18,82.7727,4632619,0.0,1.0
2019-10-23,84.31,84.41,82.1262,82.74,82.3348,7186615,0.0,1.0
2019-10-22,85.23,85.35,83.39,83.46,83.0513,5806608,0.0,1.0
2019-10-21,86.0,86.24,85.0801,85.35,84.9321,4861157,0.0,1.0
2019-10-18,86.35,86.75,85.52,86.03,85.6087,4621272,0.0,1.0
2019-10-17,86.88,87.02,86.16,86.29,85.8675,4397738,0.0,1.0
2019-10-16,86.53,86.83,86.045,86.71,86.2854,3706830,0.0,1.0
