date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,24.77,25.23,24.75,24.99,24.99,6287821,0.0,1.0
2019-11-29,24.87,24.94,24.7,24.9,24.9,2883695,0.0,1.0
2019-11-27,25.0,25.0,24.745,24.92,24.92,3169925,0.0,1.0
2019-11-26,24.89,25.0,24.85,25.0,25.0,4153343,0.0,1.0
2019-11-25,24.56,24.92,24.5,24.91,24.91,3094291,0.0,1.0
2019-11-22,24.47,24.68,24.38,24.515,24.515,3284437,0.125,1.0
2019-11-21,24.51,24.71,24.49,24.565,24.4404,2252616,0.0,1.0
2019-11-20,24.61,24.78,24.5,24.56,24.4354,2645743,0.0,1.0
2019-11-19,24.54,24.8,24.48,24.7,24.5747,2412067,0.0,1.0
2019-11-18,24.85,24.8995,24.41,24.55,24.4255,2682152,0.0,1.0
2019-11-15,24.66,24.855,24.46,24.83,24.704,3738981,0.0,1.0
2019-11-14,24.46,24.64,24.26,24.52,24.3956,4614490,0.0,1.0
2019-11-13,24.15,24.57,24.12,24.57,24.4454,2963444,0.0,1.0
2019-11-12,24.38,24.56,24.11,24.2,24.0772,5021497,0.0,1.0
2019-11-11,24.56,24.62,24.085,24.35,24.2265,4664731,0.0,1.0
2019-11-08,24.36,24.895,23.37,24.83,24.704,7482878,0.0,1.0
2019-11-07,24.0,24.41,23.89,24.34,24.2165,7005829,0.0,1.0
2019-11-06,24.21,24.31,23.86,24.0,23.8782,6215677,0.0,1.0
2019-11-05,23.84,24.49,23.73,24.19,24.0673,5741903,0.0,1.0
2019-11-04,23.59,24.03,23.38,23.75,23.6295,8131659,0.0,1.0
2019-11-01,23.0,23.44,22.84,23.41,23.2912,4139286,0.0,1.0
2019-10-31,22.97,23.02,22.64,22.88,22.7639,8044148,0.0,1.0
2019-10-30,23.1,23.1897,22.89,22.99,22.8734,2275632,0.0,1.0
2019-10-29,22.75,23.21,22.72,23.1,22.9828,5815674,0.0,1.0
2019-10-28,22.82,22.9,22.72,22.85,22.7341,2933380,0.0,1.0
2019-10-25,22.95,22.95,22.6,22.69,22.5749,3656550,0.0,1.0
2019-10-24,23.17,23.23,22.74,23.03,22.9132,3120777,0.0,1.0
2019-10-23,23.08,23.14,22.731,23.01,22.8933,3018026,0.0,1.0
2019-10-22,23.13,23.3,23.0,23.15,23.0326,2174361,0.0,1.0
2019-10-21,23.13,23.3,22.97,23.08,22.9629,2594898,0.0,1.0
2019-10-18,23.51,23.51,23.01,23.01,22.8933,3384068,0.0,1.0
2019-10-17,23.63,23.79,23.44,23.48,23.3609,3322990,0.0,1.0
2019-10-16,23.49,23.52,23.355,23.5,23.3808,5750759,0.0,1.0
2019-10-15,23.42,23.71,23.3301,23.59,23.4703,3359491,0.0,1.0
2019-10-14,23.51,23.59,23.315,23.415,23.2962,2561428,0.0,1.0
2019-10-11,23.65,23.93,23.52,23.56,23.4405,6391707,0.0,1.0
2019-10-10,23.47,23.68,23.37,23.49,23.3708,2440136,0.0,1.0
2019-10-09,23.42,23.63,23.27,23.52,23.4007,2808570,0.0,1.0
2019-10-08,23.32,23.545,23.14,23.23,23.1122,3903010,0.0,1.0
2019-10-07,23.47,23.74,23.275,23.47,23.3509,3183271,0.0,1.0
2019-10-04,23.56,23.59,23.36,23.48,23.3609,3162750,0.0,1.0
2019-10-03,23.33,23.57,23.17,23.49,23.3708,5708940,0.0,1.0
2019-10-02,23.01,23.36,23.0,23.29,23.1718,3929845,0.0,1.0
2019-10-01,23.75,23.76,23.43,23.51,23.3907,3179833,0.0,1.0
2019-09-30,23.52,23.74,23.465,23.63,23.5101,3728760,0.0,1.0
2019-09-27,23.75,23.75,23.325,23.5,23.3808,2299605,0.0,1.0
2019-09-26,23.71,23.81,23.555,23.74,23.6196,2429730,0.0,1.0
2019-09-25,23.34,23.89,23.33,23.8,23.6793,6891898,0.0,1.0
2019-09-24,23.87,23.9,23.36,23.37,23.2514,5098022,0.0,1.0
2019-09-23,23.81,24.03,23.63,23.76,23.6395,5283554,0.0,1.0
