date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,120.12,120.19,117.91,118.79,118.79,4701700,0.0,1.0
2019-11-29,121.15,121.64,119.99,120.21,120.21,3498895,0.0,1.0
2019-11-27,119.91,121.81,119.5,121.73,121.73,4878164,0.0,1.0
2019-11-26,119.04,119.495,117.89,119.13,119.13,7099760,0.0,1.0
2019-11-25,117.79,119.47,117.71,119.01,119.01,3726369,0.0,1.0
2019-11-22,116.73,117.5285,116.55,117.01,117.01,3008883,0.0,1.0
2019-11-21,116.2,116.35,114.59,116.1,116.1,5447650,0.0,1.0
2019-11-20,117.25,117.7,115.49,116.23,116.23,4369014,0.0,1.0
2019-11-19,118.48,118.48,116.98,117.84,117.84,3860785,0.0,1.0
2019-11-18,117.92,118.29,117.17,117.89,117.89,5337778,0.0,1.0
2019-11-15,118.57,118.76,117.56,118.0,118.0,4496831,0.0,1.0
2019-11-14,118.19,118.356,116.78,117.57,117.57,4568722,0.0,1.0
2019-11-13,118.06,118.96,117.61,118.42,118.42,4953304,0.0,1.0
2019-11-12,118.18,119.9099,118.18,119.02,119.02,4761093,0.0,1.0
2019-11-11,119.07,119.7,117.97,118.075,118.075,5165647,0.0,1.0
2019-11-08,119.7,120.14,118.8172,120.11,120.11,3804876,0.0,1.0
2019-11-07,120.94,121.86,119.08,119.92,119.92,4271380,0.0,1.0
2019-11-06,119.67,120.55,118.86,120.36,120.36,3904664,0.0,1.0
2019-11-05,121.1,121.73,119.66,119.86,119.86,3994507,0.0,1.0
2019-11-04,119.92,121.405,119.48,120.97,120.97,5175390,0.0,1.0
2019-11-01,119.19,119.59,117.87,118.04,118.04,4430079,0.0,1.0
2019-10-31,117.65,118.31,116.49,117.99,117.99,4778447,0.0,1.0
2019-10-30,119.73,120.0746,117.58,117.79,117.79,5276221,0.9,1.0
2019-10-29,120.52,120.92,119.52,120.29,119.3779,4622177,0.0,1.0
2019-10-28,121.06,122.1,119.24,120.0,119.0901,6429258,0.0,1.0
