date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,147.56,148.22,146.03,146.11,146.11,791774,0.0,1.0
2019-11-29,148.4,148.97,147.18,147.48,147.48,480807,0.0,1.0
2019-11-27,147.98,148.58,147.51,148.51,148.51,555139,0.0,1.0
2019-11-26,145.58,147.79,145.0,147.78,147.78,1365157,0.0,1.0
2019-11-25,146.08,147.07,145.27,145.41,145.41,807942,0.0,1.0
2019-11-22,145.16,146.25,144.27,145.98,145.98,1338217,0.0,1.0
2019-11-21,144.72,145.51,143.46,144.45,144.45,1502329,0.0,1.0
2019-11-20,143.44,144.81,142.79,144.34,144.34,1276751,0.0,1.0
2019-11-19,142.78,144.43,142.22,143.98,143.98,1047421,0.0,1.0
2019-11-18,141.54,142.99,141.0,142.1,142.1,1124041,0.0,1.0
2019-11-15,141.82,141.82,140.44,141.18,141.18,1077770,0.0,1.0
2019-11-14,139.6,141.27,138.97,141.03,141.03,825093,0.0,1.0
2019-11-13,138.09,140.23,137.88,139.78,139.78,935219,0.0,1.0
2019-11-12,137.38,138.99,137.28,138.085,138.085,1049790,0.0,1.0
2019-11-11,135.71,137.41,135.4,137.38,137.38,934783,0.0,1.0
2019-11-08,139.07,140.35,136.39,136.75,136.75,1178534,0.0,1.0
2019-11-07,140.66,141.56,139.24,139.8,139.8,1066080,0.0,1.0
2019-11-06,139.31,141.1,139.14,140.78,140.78,1042537,0.0,1.0
2019-11-05,140.27,140.89,137.63,138.78,138.78,1276019,0.0,1.0
2019-11-04,145.5,145.5,140.01,140.3,140.3,1030762,0.0,1.0
2019-11-01,144.79,146.2409,144.79,145.36,145.36,1004218,0.0,1.0
2019-10-31,147.36,148.5,144.32,144.7,144.7,1033315,0.0,1.0
2019-10-30,146.17,148.68,145.005,147.92,147.92,1365458,0.0,1.0
2019-10-29,147.77,151.32,147.77,150.12,150.12,2020668,0.0,1.0
2019-10-28,148.94,149.7,148.45,148.55,148.55,716700,0.0,1.0
2019-10-25,150.15,150.95,148.62,148.92,148.92,564038,0.0,1.0
2019-10-24,149.36,150.725,148.27,149.75,149.75,760273,0.0,1.0
2019-10-23,150.47,151.935,147.71,148.63,148.63,1548793,0.0,1.0
2019-10-22,157.8,157.8,150.99,151.02,151.02,830979,0.0,1.0
2019-10-21,154.89,155.39,152.36,153.47,153.47,654391,0.0,1.0
2019-10-18,155.49,155.49,153.63,154.42,154.42,953688,0.0,1.0
2019-10-17,155.81,156.75,154.89,155.22,155.22,884948,0.0,1.0
2019-10-16,155.19,155.73,152.95,155.59,155.59,988789,0.0,1.0
2019-10-15,156.11,156.8,155.38,156.08,156.08,700062,0.0,1.0
2019-10-14,157.44,158.4,155.26,155.38,155.38,504414,0.0,1.0
2019-10-11,158.88,159.57,156.99,157.11,157.11,690375,0.0,1.0
2019-10-10,156.81,158.515,156.13,157.86,157.86,487303,0.0,1.0
2019-10-09,155.95,157.97,155.47,157.09,157.09,488978,0.0,1.0
2019-10-08,156.43,156.92,154.79,154.9,154.9,427749,0.0,1.0
2019-10-07,157.55,157.83,156.3,157.17,157.17,374507,0.0,1.0
2019-10-04,154.73,158.0,154.625,157.535,157.535,647479,0.0,1.0
2019-10-03,153.64,154.4,151.88,154.3,154.3,853759,0.0,1.0
2019-10-02,155.25,155.94,152.72,153.33,153.33,824344,0.0,1.0
2019-10-01,158.33,158.62,156.3,156.45,156.45,600246,0.0,1.0
2019-09-30,155.59,158.735,155.1802,158.14,158.14,960364,0.0,1.0
2019-09-27,159.89,160.56,154.4,155.59,155.59,860868,0.0,1.0
2019-09-26,158.06,160.09,157.42,159.29,159.29,623344,0.0,1.0
2019-09-25,157.96,158.06,156.26,157.8,157.8,647211,0.0,1.0
2019-09-24,158.04,160.28,156.77,157.47,157.47,670268,0.0,1.0
2019-09-23,158.78,158.97,157.0,157.32,157.32,563330,0.0,1.0
2019-09-20,158.24,159.14,157.53,158.42,158.42,999755,0.0,1.0
2019-09-19,158.93,159.94,158.45,158.7,158.7,428115,0.0,1.0
2019-09-18,158.13,159.5,157.05,159.33,159.33,631807,0.0,1.0
2019-09-17,157.56,158.92,156.52,158.65,158.65,749031,0.0,1.0
2019-09-16,154.88,157.06,153.5227,156.52,156.52,642827,0.0,1.0
2019-09-13,157.13,158.15,155.3,155.76,155.76,1002442,0.0,1.0
2019-09-12,157.12,159.17,156.36,157.43,157.43,686367,0.25,1.0
2019-09-11,155.02,156.19,153.03,155.11,154.8641,1175169,0.0,1.0
2019-09-10,159.17,159.44,153.69,155.12,154.8741,1127102,0.0,1.0
2019-09-09,164.33,164.54,159.925,160.2,159.946,853708,0.0,1.0
2019-09-06,163.97,164.97,163.55,164.58,164.3191,572201,0.0,1.0
2019-09-05,164.06,164.91,163.095,163.54,163.2807,698729,0.0,1.0
2019-09-04,162.41,164.0,162.18,162.84,162.5818,655223,0.0,1.0
2019-09-03,161.86,163.98,160.42,161.74,161.4836,635339,0.0,1.0
2019-08-30,161.85,162.13,160.47,161.54,161.2839,662714,0.0,1.0
2019-08-29,160.45,161.79,159.35,160.78,160.5251,460084,0.0,1.0
2019-08-28,158.32,159.91,157.435,159.78,159.5267,465456,0.0,1.0
2019-08-27,158.36,159.55,157.87,158.91,158.658,593074,0.0,1.0
2019-08-26,155.75,159.38,155.7,157.36,157.1105,583421,0.0,1.0
2019-08-23,157.58,158.52,153.91,154.61,154.3649,696205,0.0,1.0
2019-08-22,159.36,159.63,157.375,158.05,157.7994,537501,0.0,1.0
2019-08-21,159.14,159.7197,158.39,158.68,158.4284,537299,0.0,1.0
2019-08-20,158.17,158.57,156.7,158.21,157.9592,634323,0.0,1.0
2019-08-19,158.0,158.64,157.46,158.29,158.039,545921,0.0,1.0
2019-08-16,156.11,157.16,155.2501,156.88,156.6313,762311,0.0,1.0
2019-08-15,153.72,155.62,153.49,155.17,154.924,470712,0.0,1.0
2019-08-14,154.87,155.87,152.7,153.09,152.8473,973026,0.0,1.0
2019-08-13,155.5,157.6,154.85,155.92,155.6728,838814,0.0,1.0
2019-08-12,156.28,156.99,155.27,155.46,155.2135,505006,0.0,1.0
2019-08-09,156.06,157.24,154.7901,156.46,156.2119,654731,0.0,1.0
2019-08-08,154.49,156.31,153.95,156.17,155.9224,969002,0.0,1.0
2019-08-07,150.73,154.5,149.08,153.9,153.656,662615,0.0,1.0
2019-08-06,150.16,152.62,149.77,152.34,152.0985,805908,0.0,1.0
2019-08-05,151.93,152.365,148.43,149.41,149.1731,957979,0.0,1.0
2019-08-02,152.31,154.15,151.11,153.23,152.9871,874599,0.0,1.0
2019-08-01,150.51,155.495,150.51,152.92,152.6775,830558,0.0,1.0
2019-07-31,152.04,153.47,150.02,151.72,151.4794,1234698,0.0,1.0
