date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,196.8,196.8,194.84,195.22,195.22,504897,0.0,1.0
2019-11-29,195.49,197.38,195.49,196.44,196.44,344477,0.0,1.0
2019-11-27,195.55,196.665,194.18,196.35,196.35,361370,0.0,1.0
2019-11-26,189.15,195.16,189.15,194.82,194.82,1043952,0.0,1.0
2019-11-25,190.35,193.37,188.61,193.13,193.13,1090444,0.0,1.0
2019-11-22,190.28,190.37,188.6475,189.76,189.76,409872,0.0,1.0
2019-11-21,190.04,190.56,188.95,189.93,189.93,507512,0.0,1.0
2019-11-20,189.07,191.14,188.04,190.15,190.15,475020,0.0,1.0
2019-11-19,188.42,190.24,188.42,190.2,190.2,542456,0.0,1.0
2019-11-18,188.98,189.25,187.36,187.85,187.85,466945,0.0,1.0
2019-11-15,190.7,190.7,188.08,188.95,188.95,567704,0.0,1.0
2019-11-14,187.03,190.12,186.29,189.75,189.75,637936,0.0,1.0
2019-11-13,186.82,188.29,185.45,187.62,187.62,426577,0.0,1.0
2019-11-12,186.89,187.51,185.78,187.22,187.22,501254,0.0,1.0
2019-11-11,183.99,186.92,183.21,186.58,186.58,368909,0.0,1.0
2019-11-08,185.04,185.79,183.66,185.1,185.1,474491,0.0,1.0
2019-11-07,187.06,188.23,184.74,184.99,184.99,491733,0.0,1.0
2019-11-06,185.52,187.06,185.0,186.67,186.67,677994,0.0,1.0
2019-11-05,186.59,187.79,183.79,185.01,185.01,562096,0.0,1.0
2019-11-04,189.88,190.0,185.7,186.83,186.83,501324,0.0,1.0
2019-11-01,187.34,190.25,186.75,188.99,188.99,676647,0.0,1.0
2019-10-31,185.72,190.81,182.77,186.9,186.9,1411155,0.0,1.0
2019-10-30,185.79,190.25,185.465,190.24,190.24,656150,0.0,1.0
2019-10-29,182.65,186.38,182.65,185.65,185.65,666275,0.0,1.0
2019-10-28,185.88,185.88,183.05,183.38,183.38,537336,0.0,1.0
2019-10-25,187.23,188.6,184.32,184.98,184.98,490704,0.0,1.0
2019-10-24,185.35,187.49,183.272,187.34,187.34,464107,0.0,1.0
2019-10-23,188.26,189.37,184.44,184.77,184.77,550103,0.0,1.0
2019-10-22,190.04,191.29,188.49,188.78,188.78,528561,0.0,1.0
2019-10-21,189.21,190.25,187.72,190.05,190.05,533190,0.0,1.0
2019-10-18,187.89,188.12,186.67,187.77,187.77,619708,0.0,1.0
2019-10-17,188.77,189.945,187.745,187.89,187.89,548034,0.0,1.0
2019-10-16,187.46,189.04,186.48,188.59,188.59,539605,0.0,1.0
2019-10-15,187.9,189.23,187.76,188.0,188.0,364004,0.0,1.0
2019-10-14,188.08,192.015,187.3,187.64,187.64,608434,0.0,1.0
2019-10-11,189.78,191.69,187.93,188.1,188.1,645293,0.0,1.0
2019-10-10,186.81,189.11,185.54,187.69,187.69,459382,0.0,1.0
2019-10-09,185.83,186.88,183.66,186.2,186.2,494056,0.0,1.0
