date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,120.78,122.05,119.19,119.39,119.39,1561600,0.0,1.0
2019-11-29,120.88,121.51,120.18,120.85,120.85,772747,0.0,1.0
2019-11-27,121.86,123.4182,121.35,121.97,121.97,753827,0.0,1.0
2019-11-26,123.9,124.2,121.295,121.55,121.55,1323885,0.0,1.0
2019-11-25,119.77,124.0,119.53,123.97,123.97,1753011,0.0,1.0
2019-11-22,119.93,119.93,118.56,119.16,119.16,1301639,0.0,1.0
2019-11-21,117.65,119.3,117.17,118.35,118.35,1457325,0.0,1.0
2019-11-20,119.6,120.94,116.17,117.55,117.55,1819100,0.0,1.0
2019-11-19,121.06,121.0962,118.765,120.25,120.25,1320561,0.0,1.0
2019-11-18,116.54,120.23,115.12,120.15,120.15,1593191,0.0,1.0
2019-11-15,119.05,119.2,116.64,117.7,117.7,1743864,0.0,1.0
2019-11-14,118.84,119.74,118.3,118.68,118.68,1120035,0.0,1.0
2019-11-13,119.0,119.61,117.79,118.84,118.84,1386636,1.0,1.0
2019-11-12,122.18,122.76,120.67,120.74,119.7325,1156034,0.0,1.0
2019-11-11,123.92,124.4753,120.59,121.62,120.6051,1854200,0.0,1.0
2019-11-08,124.74,127.21,123.6,126.47,125.4147,1397036,0.0,1.0
2019-11-07,125.45,128.55,124.66,125.49,124.4429,3107527,0.0,1.0
2019-11-06,127.1,127.1,121.73,122.56,121.5373,2067343,0.0,1.0
2019-11-05,126.71,128.22,125.92,126.6,125.5436,1168018,0.0,1.0
2019-11-04,125.0,127.04,124.81,126.72,125.6626,2228868,0.0,1.0
2019-11-01,122.93,123.39,120.95,123.19,122.162,1383776,0.0,1.0
2019-10-31,122.87,123.18,119.35,121.34,120.3275,1543721,0.0,1.0
2019-10-30,120.27,124.4,118.75,123.72,122.6876,2754577,0.0,1.0
2019-10-29,120.14,121.79,119.49,120.22,119.2168,1235852,0.0,1.0
2019-10-28,121.7,123.43,121.41,123.0,121.9736,1430411,0.0,1.0
2019-10-25,116.55,121.04,116.55,120.85,119.8416,1628075,0.0,1.0
2019-10-24,116.89,119.16,115.75,117.11,116.1328,1078240,0.0,1.0
2019-10-23,115.17,116.95,114.0,115.86,114.8932,883197,0.0,1.0
2019-10-22,117.56,117.88,115.08,115.7,114.7345,991278,0.0,1.0
2019-10-21,114.25,117.03,114.19,116.87,115.8948,1348846,0.0,1.0
2019-10-18,113.81,115.055,113.09,113.52,112.5727,1183534,0.0,1.0
2019-10-17,114.74,114.83,113.385,114.05,113.0983,1858548,0.0,1.0
