date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-04,13.26,13.75,13.17,13.34,13.34,13411832,0.0,1.0
2019-12-03,13.3,13.3,12.75,13.14,13.14,14848161,0.0,1.0
2019-12-02,13.28,13.72,13.18,13.67,13.67,12539970,0.0,1.0
2019-11-29,13.74,13.75,12.52,13.12,13.12,24312090,0.0,1.0
2019-11-27,13.6,13.93,13.57,13.93,13.93,7252467,0.0,1.0
2019-11-26,13.82,13.94,13.61,13.68,13.68,8331719,0.0,1.0
2019-11-25,13.56,13.99,13.42,13.79,13.79,11511128,0.0,1.0
2019-11-22,13.06,13.69,13.0,13.46,13.46,12495884,0.0,1.0
2019-11-21,12.85,13.1,12.56,12.88,12.88,7495271,0.0,1.0
2019-11-20,12.67,13.21,12.59,12.78,12.78,11834533,0.0,1.0
2019-11-19,13.42,13.46,12.74,12.83,12.83,9281124,0.0,1.0
2019-11-18,13.05,13.41,12.88,13.28,13.28,8908799,0.0,1.0
2019-11-15,13.13,13.48,12.96,13.08,13.08,8465281,0.0,1.0
2019-11-14,13.27,13.54,12.73,12.91,12.91,12983634,0.0,1.0
2019-11-13,13.5,13.83,13.35,13.42,13.42,10278249,0.0,1.0
2019-11-12,13.69,14.03,13.53,13.73,13.73,11274482,0.05,1.0
2019-11-11,13.34,13.82,13.14,13.8,13.7499,11343232,0.0,1.0
2019-11-08,13.4,13.68,13.22,13.57,13.5208,9175330,0.0,1.0
2019-11-07,13.25,13.73,13.045,13.56,13.5108,16866198,0.0,1.0
2019-11-06,13.0,13.31,12.83,12.84,12.7934,10887887,0.0,1.0
2019-11-05,13.44,13.48,13.02,13.1,13.0525,13465725,0.0,1.0
2019-11-04,13.41,13.6,13.03,13.3,13.2517,17309822,0.0,1.0
2019-11-01,12.3,13.78,12.25,13.21,13.1621,46883136,0.0,1.0
2019-10-31,11.69,11.99,11.43,11.51,11.4682,13371249,0.0,1.0
2019-10-30,12.13,12.18,11.76,12.01,11.9664,10470080,0.0,1.0
2019-10-29,12.23,12.47,11.98,12.22,12.1757,11156164,0.0,1.0
2019-10-28,11.89,12.56,11.89,12.31,12.2653,18295326,0.0,1.0
2019-10-25,11.25,11.885,11.24,11.71,11.6675,18321735,0.0,1.0
2019-10-24,11.29,11.33,10.815,11.27,11.2291,13531873,0.0,1.0
2019-10-23,11.25,11.57,10.965,11.17,11.1295,17814423,0.0,1.0
2019-10-22,10.78,11.24,10.3935,11.22,11.1793,18367676,0.0,1.0
2019-10-21,10.9,11.13,10.605,10.64,10.6014,13363678,0.0,1.0
2019-10-18,10.59,10.88,10.53,10.72,10.6811,13043286,0.0,1.0
2019-10-17,10.39,10.655,10.28,10.63,10.5914,31389187,0.0,1.0
2019-10-16,11.04,11.39,10.415,10.48,10.442,36564962,0.0,1.0
2019-10-15,11.07,11.75,10.82,11.43,11.3885,15992026,0.0,1.0
2019-10-14,11.16,11.4,11.0,11.16,11.1195,11997214,0.0,1.0
2019-10-11,10.32,11.52,10.32,11.34,11.2989,33220067,0.0,1.0
2019-10-10,10.21,10.59,10.02,10.14,10.1032,25707654,0.0,1.0
2019-10-09,10.91,10.95,9.93,10.09,10.0534,34280310,0.0,1.0
2019-10-08,10.76,11.18,10.72,11.03,10.99,10346052,0.0,1.0
2019-10-07,10.69,11.25,10.66,10.92,10.8804,11452697,0.0,1.0
2019-10-04,10.86,10.94,10.46,10.77,10.7309,10890181,0.0,1.0
2019-10-03,10.91,11.11,10.55,10.79,10.7508,12133999,0.0,1.0
2019-10-02,11.56,11.59,10.72,10.94,10.9003,22590592,0.0,1.0
2019-10-01,11.61,12.66,11.6,11.93,11.8867,30934897,0.0,1.0
2019-09-30,11.3,11.58,11.0,11.55,11.5081,10839510,0.0,1.0
2019-09-27,11.32,11.69,11.22,11.33,11.2889,13102419,0.0,1.0
2019-09-26,11.37,11.45,10.99,11.3,11.259,11925780,0.0,1.0
2019-09-25,10.67,11.5,10.65,11.45,11.4085,16923390,0.0,1.0
2019-09-24,11.0,11.08,10.45,10.71,10.6711,13401876,0.0,1.0
2019-09-23,10.27,11.19,10.17,11.04,10.9999,17003504,0.0,1.0
2019-09-20,11.07,11.3,10.76,10.81,10.7708,20061023,0.0,1.0
2019-09-19,10.86,11.35,10.63,11.06,11.0199,44667264,0.0,1.0
2019-09-18,12.85,12.94,12.12,12.45,12.4048,12156633,0.0,1.0
2019-09-17,12.9,13.08,12.56,12.96,12.913,9879683,0.0,1.0
2019-09-16,12.87,13.425,12.8,13.29,13.2418,7956783,0.0,1.0
2019-09-13,13.47,13.63,13.02,13.1,13.0525,9466573,0.0,1.0
2019-09-12,13.23,13.23,12.73,13.13,13.0824,13110870,0.0,1.0
2019-09-11,12.52,13.27,12.21,13.23,13.182,16532372,0.0,1.0
2019-09-10,12.35,12.56,12.04,12.42,12.3749,11609777,0.0,1.0
2019-09-09,11.54,12.25,11.52,12.23,12.1856,14180035,0.0,1.0
2019-09-06,11.67,11.76,11.36,11.39,11.3487,7655733,0.0,1.0
2019-09-05,11.49,11.93,11.47,11.6,11.5579,11423732,0.0,1.0
2019-09-04,10.96,11.335,10.91,11.26,11.2191,11223512,0.0,1.0
2019-09-03,10.84,10.86,10.475,10.68,10.6412,9012819,0.0,1.0
2019-08-30,11.19,11.275,10.88,11.07,11.0298,8157135,0.0,1.0
2019-08-29,10.91,11.15,10.9,11.08,11.0398,9542032,0.0,1.0
2019-08-28,10.35,10.85,10.16,10.7,10.6612,11978346,0.0,1.0
2019-08-27,11.16,11.18,10.33,10.34,10.3025,14415857,0.0,1.0
2019-08-26,11.34,11.42,10.99,11.13,11.0896,12153620,0.0,1.0
2019-08-23,11.69,11.78,11.08,11.18,11.1394,13311588,0.0,1.0
2019-08-22,12.21,12.22,11.79,11.8,11.7572,7238994,0.0,1.0
2019-08-21,12.42,12.49,11.82,12.11,12.0661,8468650,0.0,1.0
2019-08-20,12.3,12.5,12.17,12.31,12.2653,8058461,0.0,1.0
2019-08-19,11.69,12.43,11.62,12.43,12.3849,15558534,0.0,1.0
2019-08-16,11.05,11.505,10.95,11.28,11.2391,10884165,0.0,1.0
2019-08-15,11.63,11.63,10.85,10.91,10.8704,13411554,0.0,1.0
2019-08-14,11.61,11.855,11.47,11.56,11.5181,12203411,0.0,1.0
2019-08-13,11.54,12.33,11.41,12.11,12.0661,12976598,0.05,1.0
2019-08-12,11.97,11.98,11.52,11.615,11.5253,11226375,0.0,1.0
2019-08-09,12.45,12.5789,11.9,12.05,11.9569,13589142,0.0,1.0
2019-08-08,12.33,12.78,12.2823,12.73,12.6317,9152406,0.0,1.0
2019-08-07,12.25,12.41,12.06,12.28,12.1851,12927346,0.0,1.0
2019-08-06,12.87,12.94,12.08,12.57,12.4729,15371351,0.0,1.0
2019-08-05,12.8,13.06,12.5,12.64,12.5424,16681242,0.0,1.0
2019-08-02,14.14,14.14,13.02,13.27,13.1675,23869278,0.0,1.0
2019-08-01,14.82,15.11,14.18,14.52,14.4078,16524075,0.0,1.0
2019-07-31,15.71,15.9,14.8,15.03,14.9139,11585116,0.0,1.0
2019-07-30,15.09,15.71,14.88,15.71,15.5886,9549037,0.0,1.0
2019-07-29,15.12,15.3,14.87,15.27,15.152,8068430,0.0,1.0
2019-07-26,15.31,15.3997,15.07,15.19,15.0727,7068516,0.0,1.0
2019-07-25,15.85,15.88,15.125,15.28,15.162,8314566,0.0,1.0
2019-07-24,15.4097,15.87,15.31,15.83,15.7077,9483503,0.0,1.0
2019-07-23,15.5,15.87,15.47,15.62,15.4993,9812427,0.0,1.0
2019-07-22,15.22,15.5,14.82,15.38,15.2612,12330349,0.0,1.0
2019-07-19,14.86,15.27,14.82,15.07,14.9536,10579753,0.0,1.0
2019-07-18,14.8,14.91,14.55,14.68,14.5666,7823748,0.0,1.0
2019-07-17,15.13,15.13,14.7,14.94,14.8246,10183977,0.0,1.0
2019-07-16,14.64,15.4142,14.54,15.13,15.0131,15430093,0.0,1.0
2019-07-15,14.45,14.64,14.27,14.61,14.4971,9906906,0.0,1.0
2019-07-12,13.87,14.3691,13.84,14.15,14.0407,10600875,0.0,1.0
2019-07-11,13.46,13.92,13.36,13.79,13.6835,14030073,0.0,1.0
2019-07-10,13.83,13.95,13.41,13.47,13.3659,13279853,0.0,1.0
2019-07-09,13.45,13.76,13.18,13.73,13.6239,15144501,0.0,1.0
2019-07-08,14.65,14.735,13.54,13.59,13.485,16216192,0.0,1.0
2019-07-05,14.47,14.79,14.4,14.75,14.6361,8208172,0.0,1.0
2019-07-03,14.67,14.86,14.5,14.59,14.4773,5393102,0.0,1.0
2019-07-02,15.07,15.09,14.6544,14.68,14.5666,8726693,0.0,1.0
2019-07-01,15.6,15.72,15.05,15.25,15.1322,9589200,0.0,1.0
2019-06-28,15.18,15.34,14.94,15.31,15.1917,10390927,0.0,1.0
2019-06-27,15.32,15.42,15.04,15.11,14.9933,7752484,0.0,1.0
2019-06-26,15.18,15.3,14.72,15.25,15.1322,11212329,0.0,1.0
2019-06-25,14.52,15.37,14.27,14.93,14.8147,14053057,0.0,1.0
2019-06-24,14.63,14.745,14.35,14.45,14.3384,9673759,0.0,1.0
2019-06-21,14.5,14.78,14.45,14.67,14.5567,9280337,0.0,1.0
2019-06-20,15.45,15.62,14.49,14.55,14.4376,14850120,0.0,1.0
2019-06-19,15.07,15.68,14.9,15.17,15.0528,23579615,0.0,1.0
2019-06-18,14.15,14.865,14.1,14.58,14.4674,15581364,0.0,1.0
2019-06-17,13.62,14.17,13.32,13.96,13.8522,7516436,0.0,1.0
2019-06-14,14.19,14.19,13.665,13.78,13.6735,8590246,0.0,1.0
2019-06-13,13.88,14.28,13.755,14.27,14.1598,8567787,0.0,1.0
2019-06-12,13.83,13.95,13.61,13.75,13.6438,7828752,0.0,1.0
2019-06-11,14.46,14.54,13.96,13.99,13.8819,12968341,0.0,1.0
2019-06-10,13.8,14.07,13.73,13.8,13.6934,10359278,0.0,1.0
2019-06-07,13.21,13.66,12.97,13.58,13.4751,17675557,0.0,1.0
2019-06-06,13.12,13.28,12.755,13.21,13.1079,10453583,0.0,1.0
2019-06-05,13.36,13.44,12.75,13.09,12.9889,14948983,0.0,1.0
2019-06-04,12.75,13.29,12.41,13.29,13.1873,16157073,0.0,1.0
2019-06-03,11.85,12.64,11.85,12.52,12.4233,13816857,0.0,1.0
2019-05-31,11.82,12.06,11.67,11.82,11.7287,15490026,0.0,1.0
2019-05-30,12.51,12.61,12.04,12.21,12.1157,21122242,0.0,1.0
2019-05-29,13.04,13.15,12.64,12.85,12.7507,14237829,0.0,1.0
2019-05-28,13.63,13.67,13.16,13.26,13.1576,9145809,0.0,1.0
2019-05-24,13.81,13.89,13.5,13.63,13.5247,8599000,0.0,1.0
2019-05-23,13.83,13.9,13.315,13.7,13.5942,16216642,0.0,1.0
2019-05-22,14.8,14.85,13.92,14.25,14.1399,17223168,0.0,1.0
2019-05-21,14.3,15.02,14.28,14.9,14.7849,10039023,0.0,1.0
2019-05-20,14.44,14.57,14.13,14.26,14.1498,8470141,0.0,1.0
2019-05-17,14.66,14.83,14.42,14.59,14.4773,12975246,0.0,1.0
2019-05-16,15.17,15.2201,14.82,14.86,14.7452,8813268,0.0,1.0
2019-05-15,14.77,15.08,14.63,15.06,14.9437,10149810,0.0,1.0
2019-05-14,14.88,15.22,14.65,15.11,14.9933,10664924,0.0,1.0
2019-05-13,15.08,15.16,14.41,14.72,14.6063,17781251,0.0,1.0
2019-05-10,15.8,15.97,15.39,15.66,15.539,11507345,0.05,1.0
2019-05-09,15.27,15.89,15.07,15.8,15.628,14328699,0.0,1.0
2019-05-08,15.52,15.78,15.18,15.4,15.2324,20006576,0.0,1.0
2019-05-07,16.45,16.93,16.0,16.41,16.2314,16487737,0.0,1.0
2019-05-06,16.55,16.86,16.21,16.63,16.449,21709066,0.0,1.0
2019-05-03,15.06,16.99,14.88,16.88,16.6963,43786627,0.0,1.0
2019-05-02,14.72,14.84,14.16,14.39,14.2334,25885835,0.0,1.0
2019-05-01,15.61,15.78,15.27,15.27,15.1038,8279951,0.0,1.0
2019-04-30,15.98,15.98,15.48,15.6,15.4302,8902305,0.0,1.0
2019-04-29,15.75,15.84,15.56,15.8,15.628,8312072,0.0,1.0
2019-04-26,15.5,15.82,15.49,15.67,15.4995,7516731,0.0,1.0
2019-04-25,16.15,16.19,15.5249,15.68,15.5093,9934023,0.0,1.0
2019-04-24,16.13,16.2,15.935,16.1,15.9248,8454707,0.0,1.0
2019-04-23,16.1,16.41,16.01,16.15,15.9742,11558846,0.0,1.0
2019-04-22,16.39,16.48,15.87,16.11,15.9347,10015822,0.0,1.0
2019-04-18,16.64,16.92,16.28,16.42,16.2413,11889118,0.0,1.0
2019-04-17,16.9,17.42,16.66,16.66,16.4787,13508769,0.0,1.0
