date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-12-02,61.28,61.53,60.85,61.2,61.2,2622950,0.0,1.0
2019-11-29,61.77,62.07,61.37,61.49,61.49,1730658,0.0,1.0
2019-11-27,61.26,61.62,60.91,61.56,61.56,2685638,0.0,1.0
2019-11-26,60.79,61.27,60.6,61.18,61.18,5900195,0.0,1.0
2019-11-25,61.39,61.55,60.67,60.8,60.8,2743060,0.0,1.0
2019-11-22,61.75,61.96,60.735,61.26,61.26,2414640,0.0,1.0
2019-11-21,61.74,61.875,61.2681,61.7,61.7,2093490,0.0,1.0
2019-11-20,61.31,61.8,61.18,61.69,61.69,2266915,0.0,1.0
2019-11-19,60.95,61.645,60.47,61.32,61.32,2625505,0.0,1.0
2019-11-18,60.94,61.65,60.75,60.88,60.88,3341363,0.0,1.0
2019-11-15,61.37,61.45,60.32,60.87,60.87,4244133,0.0,1.0
2019-11-14,61.55,62.12,61.145,61.3,61.3,3425476,0.0,1.0
2019-11-13,60.3,61.755,60.3,61.64,61.64,3093970,0.0,1.0
2019-11-12,60.2,60.335,59.98,60.17,60.17,1519219,0.0,1.0
2019-11-11,60.11,60.3,59.87,60.07,60.07,2715852,0.0,1.0
2019-11-08,59.97,60.45,59.66,60.08,60.08,4196259,0.0,1.0
2019-11-07,60.59,60.87,59.46,60.33,60.33,4917401,0.0,1.0
2019-11-06,60.6,61.35,60.47,61.26,61.26,5043356,0.0,1.0
2019-11-05,61.34,61.63,60.395,60.54,60.54,4225709,0.0,1.0
2019-11-04,63.03,63.03,61.51,61.65,61.65,3182954,0.0,1.0
2019-11-01,63.46,63.86,62.92,63.1,63.1,3157891,0.0,1.0
2019-10-31,63.32,63.785,63.1,63.51,63.51,8824603,0.0,1.0
2019-10-30,62.61,63.49,62.61,63.32,63.32,2761801,0.0,1.0
2019-10-29,62.53,62.695,62.18,62.58,62.58,2566375,0.0,1.0
2019-10-28,63.07,63.33,62.28,62.44,62.44,3329598,0.0,1.0
2019-10-25,64.67,64.99,63.33,63.64,63.64,3367216,0.0,1.0
2019-10-24,64.97,65.14,64.05,64.54,64.54,2580773,0.0,1.0
2019-10-23,64.16,64.59,64.11,64.44,64.44,3358107,0.0,1.0
2019-10-22,64.59,64.63,64.075,64.21,64.21,2607038,0.0,1.0
2019-10-21,64.16,64.31,63.66,64.29,64.29,1797871,0.0,1.0
2019-10-18,63.8,64.14,63.33,64.01,64.01,2500401,0.0,1.0
2019-10-17,63.42,63.89,63.29,63.67,63.67,1789059,0.0,1.0
2019-10-16,63.19,63.52,62.8,63.49,63.49,2199568,0.0,1.0
2019-10-15,63.32,63.63,62.865,63.15,63.15,2027264,0.0,1.0
2019-10-14,63.71,63.77,63.05,63.28,63.28,2301253,0.0,1.0
2019-10-11,63.83,63.93,63.0392,63.33,63.33,2634686,0.0,1.0
2019-10-10,63.5,64.17,63.13,63.95,63.95,2085165,0.0,1.0
2019-10-09,63.66,64.19,63.56,63.92,63.92,1926417,0.0,1.0
2019-10-08,64.28,64.34,63.56,63.59,63.59,2810893,0.0,1.0
2019-10-07,64.4,64.49,64.02,64.28,64.28,2733035,0.0,1.0
2019-10-04,63.56,64.81,63.55,64.63,64.63,2720841,0.0,1.0
2019-10-03,63.64,63.64,62.92,63.465,63.465,4269193,0.0,1.0
2019-10-02,64.97,65.0,62.99,63.34,63.34,7811844,0.0,1.0
2019-10-01,64.75,65.05,64.18,64.95,64.95,3453264,0.0,1.0
2019-09-30,64.86,65.51,64.695,64.89,64.89,3950310,0.0,1.0
2019-09-27,65.66,65.84,64.85,65.36,65.36,2429645,0.0,1.0
2019-09-26,65.38,65.83,64.96,65.57,65.57,3929497,0.0,1.0
2019-09-25,65.35,65.45,64.7,65.05,65.05,3641110,0.0,1.0
2019-09-24,64.94,65.68,64.69,65.43,65.43,5658140,0.0,1.0
2019-09-23,64.81,65.015,64.44,64.6,64.6,2876729,0.0,1.0
2019-09-20,64.12,64.785,64.02,64.62,64.62,6071186,0.0,1.0
2019-09-19,64.04,64.33,63.89,64.26,64.26,1775206,0.0,1.0
2019-09-18,64.01,64.16,63.41,64.01,64.01,3646782,0.0,1.0
2019-09-17,63.23,63.93,63.05,63.73,63.73,4729602,0.0,1.0
2019-09-16,62.71,63.02,62.28,62.83,62.83,5341294,0.0,1.0
