date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient,ticker
2000-01-03,192.38,192.38,181.5,189.5,83.4983,18172600,0.0,1.0,QQQ
2000-01-04,184.0,187.0,175.9,176.5,77.7701,16893300,0.0,1.0,QQQ
2000-01-05,175.0,178.3,168.5,176.6,77.8142,21248300,0.0,1.0,QQQ
2000-01-06,173.8,176.0,159.5,160.2,70.588,18567400,0.0,1.0,QQQ
2000-01-07,165.9,180.0,165.0,180.0,79.3123,14069100,0.0,1.0,QQQ
2000-01-10,182.0,187.9,179.9,185.0,81.5155,14837800,0.0,1.0,QQQ
2000-01-11,183.5,185.8,175.3,176.8,77.9023,16273300,0.0,1.0,QQQ
2000-01-12,178.0,178.5,172.0,172.1,75.8314,14525000,0.0,1.0,QQQ
2000-01-13,177.0,183.0,174.2,182.5,80.4139,12582600,0.0,1.0,QQQ
2000-01-14,186.0,187.3,184.0,186.8,82.3086,10949300,0.0,1.0,QQQ
2000-01-18,184.1,188.9,182.9,187.8,82.7492,8376200,0.0,1.0,QQQ
2000-01-19,187.0,192.0,184.9,192.0,84.5998,9503000,0.0,1.0,QQQ
2000-01-20,191.0,193.8,188.0,190.1,83.7626,12979000,0.0,1.0,QQQ
2000-01-21,193.0,193.1,190.1,192.5,84.8201,9349100,0.0,1.0,QQQ
2000-01-24,194.9,195.3,181.9,183.3,80.7664,14170200,0.0,1.0,QQQ
2000-01-25,183.8,188.2,178.8,186.0,81.9561,16638100,0.0,1.0,QQQ
2000-01-26,186.5,186.6,178.0,178.5,78.6514,11547800,0.0,1.0,QQQ
2000-01-27,183.5,185.0,175.3,181.1,79.797,15369600,0.0,1.0,QQQ
2000-01-28,180.0,180.9,169.5,172.0,75.7873,17656900,0.0,1.0,QQQ
2000-01-31,171.8,180.0,167.0,179.4,79.048,18007300,0.0,1.0,QQQ
2000-02-01,179.1,185.0,176.9,184.2,81.163,13208800,0.0,1.0,QQQ
2000-02-02,184.5,189.4,184.2,185.8,81.868,13084600,0.0,1.0,QQQ
2000-02-03,188.6,193.3,184.6,193.0,85.0404,15289900,0.0,1.0,QQQ
2000-02-04,194.0,196.5,192.4,194.3,85.6133,13320000,0.0,1.0,QQQ
2000-02-07,194.5,197.3,192.5,197.0,86.8029,8880500,0.0,1.0,QQQ
2000-02-08,198.8,205.8,198.8,205.3,90.4601,10999700,0.0,1.0,QQQ
2000-02-09,204.1,204.4,197.5,198.0,87.2436,13629100,0.0,1.0,QQQ
2000-02-10,199.6,204.5,197.1,204.5,90.1076,13170800,0.0,1.0,QQQ
2000-02-11,204.1,204.1,196.0,199.8,88.0367,12438000,0.0,1.0,QQQ
2000-02-14,200.0,200.0,195.5,199.5,87.9045,11407300,0.0,1.0,QQQ
2000-02-15,197.9,201.3,191.8,200.9,88.5214,15286400,0.0,1.0,QQQ
2000-02-16,199.8,203.4,198.6,200.0,88.1248,12655300,0.0,1.0,QQQ
2000-02-17,202.4,206.5,199.3,204.3,90.0195,15040100,0.0,1.0,QQQ
2000-02-18,205.3,206.0,196.9,196.9,86.7589,12635600,0.0,1.0,QQQ
2000-02-22,198.0,199.9,192.5,197.5,87.0233,18613100,0.0,1.0,QQQ
2000-02-23,199.4,210.0,198.3,208.5,91.8701,16085400,0.0,1.0,QQQ
2000-02-24,209.8,213.6,204.0,213.0,93.8529,24434100,0.0,1.0,QQQ
2000-02-25,212.4,215.0,207.8,208.1,91.6939,16308800,0.0,1.0,QQQ
2000-02-28,206.5,211.4,201.0,208.0,91.6498,19108100,0.0,1.0,QQQ
