date,QQQ,SPY
2019-12-09,204.16,314.01
2019-12-06,205.0,314.87
2019-12-05,202.83,312.02
2019-12-04,202.43,311.46
2019-12-03,201.41,309.55
2019-12-02,203.0,311.64
2019-11-29,205.1,314.31
2019-11-27,206.04,315.48
2019-11-26,204.61,314.08
2019-11-25,204.22,313.37
2019-11-22,201.83,310.96
2019-11-21,201.7,310.27
2019-11-20,202.15,310.77
2019-11-19,203.37,311.93
2019-11-18,203.07,312.02
2019-11-15,202.91,311.79
2019-11-14,201.43,309.55
2019-11-13,201.59,309.1
2019-11-12,201.54,309.0
2019-11-11,200.96,308.35
2019-11-08,201.23,308.94
2019-11-07,200.43,308.18
2019-11-06,199.76,307.1
2019-11-05,200.21,307.03
2019-11-04,200.1,307.37
2019-11-01,198.87,306.14
2019-10-31,197.08,303.33
2019-10-30,196.99,304.14
2019-10-29,196.04,303.21
2019-10-28,197.57,303.3
2019-10-25,195.64,301.6
2019-10-24,194.09,300.37
2019-10-23,192.22,299.88
2019-10-22,191.85,299.01
2019-10-21,193.39,299.99
2019-10-18,191.69,297.97
2019-10-17,193.55,299.28
2019-10-16,193.04,298.4
2019-10-15,193.52,298.88
2019-10-14,191.09,295.95
2019-10-11,191.11,296.28
2019-10-10,188.68,293.24
2019-10-09,187.23,291.27
2019-10-08,185.42,288.53
2019-10-07,188.24,293.08
2019-10-04,188.81,294.35
2019-10-03,186.07,290.42
2019-10-02,184.05,288.06
2019-10-01,187.27,293.24
2019-09-30,188.81,296.77
2019-09-27,187.03,295.4
2019-09-26,189.38,297.0
2019-09-25,190.08,297.62
2019-09-24,187.97,295.87
2019-09-23,190.5,298.21
2019-09-20,190.416,298.28
2019-09-19,192.4519,299.6898
2019-09-18,192.1326,299.7097
2019-09-17,192.2124,299.5306
2019-09-16,191.2942,298.7741
2019-09-13,192.1525,299.6998
2019-09-12,192.8411,299.8989
2019-09-11,192.0427,298.8637
2019-09-10,190.2563,296.7535
2019-09-09,190.8052,296.8231
2019-09-06,191.2044,296.6738
2019-09-05,191.394,296.3752
2019-09-04,187.951,292.6127
2019-09-03,185.2764,289.4075
2019-08-30,187.0927,291.1024
2019-08-29,187.5418,291.2291
2019-08-28,184.7175,287.5561
2019-08-27,184.0588,285.5455
2019-08-26,184.4481,286.6702
2019-08-23,181.7036,283.5348
2019-08-22,187.6416,291.0101
2019-08-21,188.2504,291.0997
2019-08-20,186.5937,288.7506
